metric	value
family	TCA_cycle_Citrate_synthase
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	374
viral_total	14
viral_full_length_like	13
viral_fragments	1
cellular_length_n	185
cellular_length_min	301.0
cellular_length_q05	372.0
cellular_length_q10	374.0
cellular_length_q25	378.0
cellular_length_median	427.0
cellular_length_q75	443.0
cellular_length_q90	469.0
cellular_length_max	472.0
cellular_length_mad	42.0
cellular_length_robust_floor_median_minus_3mad	301.0
cellular_length_chosen_min_length	374.0
