metric	value
family	Ferritin
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	162
viral_total	11
viral_full_length_like	11
viral_fragments	0
cellular_length_n	200
cellular_length_min	93.0
cellular_length_q05	155.9
cellular_length_q10	162.0
cellular_length_q25	169.75
cellular_length_median	172.0
cellular_length_q75	182.0
cellular_length_q90	221.1
cellular_length_max	233.0
cellular_length_mad	5.0
cellular_length_robust_floor_median_minus_3mad	157.0
cellular_length_chosen_min_length	162.0
