metric	value
family	Glycolysis_Glyc_3_P_dehydrogenase
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	306
viral_total	51
viral_full_length_like	51
viral_fragments	0
cellular_length_n	226
cellular_length_min	123.0
cellular_length_q05	245.25
cellular_length_q10	306.5
cellular_length_q25	334.0
cellular_length_median	341.0
cellular_length_q75	384.75
cellular_length_q90	481.0
cellular_length_max	503.0
cellular_length_mad	13.0
cellular_length_robust_floor_median_minus_3mad	302.0
cellular_length_chosen_min_length	306.0
