metric	value
family	Glycolysis_phosphofructokinase
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	320
viral_total	8
viral_full_length_like	1
viral_fragments	7
cellular_length_n	171
cellular_length_min	244.0
cellular_length_q05	319.0
cellular_length_q10	320.0
cellular_length_q25	331.0
cellular_length_median	358.0
cellular_length_q75	687.5
cellular_length_q90	926.0
cellular_length_max	948.0
cellular_length_mad	39.0
cellular_length_robust_floor_median_minus_3mad	241.0
cellular_length_chosen_min_length	320.0
