metric	value
family	Glycolysis_phophoglycerate_mutase
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	211
viral_total	40
viral_full_length_like	26
viral_fragments	14
cellular_length_n	168
cellular_length_min	85.0
cellular_length_q05	156.35
cellular_length_q10	207.0
cellular_length_q25	224.0
cellular_length_median	247.0
cellular_length_q75	251.0
cellular_length_q90	259.0
cellular_length_max	287.0
cellular_length_mad	12.0
cellular_length_robust_floor_median_minus_3mad	211.0
cellular_length_chosen_min_length	211.0
