metric	value
family	Phosphate_starvation_inducible_PhoH
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	303
viral_total	208
viral_full_length_like	30
viral_fragments	178
cellular_length_n	164
cellular_length_min	198.0
cellular_length_q05	224.0
cellular_length_q10	241.3
cellular_length_q25	252.75
cellular_length_median	417.0
cellular_length_q75	454.0
cellular_length_q90	455.70000000000005
cellular_length_max	460.0
cellular_length_mad	38.0
cellular_length_robust_floor_median_minus_3mad	303.0
cellular_length_chosen_min_length	303.0
