metric	value
family	Phosphate_Sodium(Na)_symporter
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	464
viral_total	17
viral_full_length_like	12
viral_fragments	5
cellular_length_n	151
cellular_length_min	308.0
cellular_length_q05	351.0
cellular_length_q10	380.0
cellular_length_q25	509.5
cellular_length_median	548.0
cellular_length_q75	567.0
cellular_length_q90	598.0
cellular_length_max	636.0
cellular_length_mad	28.0
cellular_length_robust_floor_median_minus_3mad	464.0
cellular_length_chosen_min_length	464.0
