align_id	align_description	matched_label	group
PRGD_OTU300_otuREP_272fd0b108123c1cc5765ba85ce15a48	PRGD_OTU300_otuREP_272fd0b108123c1cc5765ba85ce15a48	PRGD_OTU300_otuREP_272fd0b108123c1cc5765ba85ce15a48	cellular
PRGD_OTU365_otuREP_d6aea0776591045868cdd3b49267c9fd	PRGD_OTU365_otuREP_d6aea0776591045868cdd3b49267c9fd	PRGD_OTU365_otuREP_d6aea0776591045868cdd3b49267c9fd	cellular
PRGD_OTU064_otuREP_058d7dec787121ea7151001544a00c0e	PRGD_OTU064_otuREP_058d7dec787121ea7151001544a00c0e	PRGD_OTU064_otuREP_058d7dec787121ea7151001544a00c0e	cellular
PRGD_OTU190_otuREP_2db346f52dbe4e6d3cff7e778fae36b7	PRGD_OTU190_otuREP_2db346f52dbe4e6d3cff7e778fae36b7	PRGD_OTU190_otuREP_2db346f52dbe4e6d3cff7e778fae36b7	cellular
PRGD_OTU149b_otuREP_3360d11130d3b44c8d359376e86ef92c	PRGD_OTU149b_otuREP_3360d11130d3b44c8d359376e86ef92c	PRGD_OTU149b_otuREP_3360d11130d3b44c8d359376e86ef92c	cellular
PRGD_OTU283_otuREP_912f741e7532944849f90fdf95fc1441	PRGD_OTU283_otuREP_912f741e7532944849f90fdf95fc1441	PRGD_OTU283_otuREP_912f741e7532944849f90fdf95fc1441	cellular
PRGD_OTU080b_246bf2e0298778a89b5df85c8ce6a43a	PRGD_OTU080b_246bf2e0298778a89b5df85c8ce6a43a	PRGD_OTU080b_246bf2e0298778a89b5df85c8ce6a43a	cellular
PRGD_OTU089_5bf42744c9ea476f843214002938262e	PRGD_OTU089_5bf42744c9ea476f843214002938262e	PRGD_OTU089_5bf42744c9ea476f843214002938262e	cellular
PRGD_OTU044_41cfa413ecdccba30ed7799e3c59e2ce	PRGD_OTU044_41cfa413ecdccba30ed7799e3c59e2ce	PRGD_OTU044_41cfa413ecdccba30ed7799e3c59e2ce	cellular
PRGD_OTU100_950b192b94b9679e91aadc94caddc691	PRGD_OTU100_950b192b94b9679e91aadc94caddc691	PRGD_OTU100_950b192b94b9679e91aadc94caddc691	cellular
PF13002_env_samples_EF088627	PF13002_env_samples_EF088627	PF13002_env_samples_EF088627	cellular
JCVI_ORF_1105075316287_GS035_Coastal_2m	JCVI_ORF_1105075316287_GS035_Coastal_2m	JCVI_ORF_1105075316287_GS035_Coastal_2m	cellular
BOUM_OTU037_env_samples	BOUM_OTU037_env_samples	BOUM_OTU037_env_samples	cellular
JCVI_ORF_1105156437590_GS027_Coastal_3m	JCVI_ORF_1105156437590_GS027_Coastal_3m	JCVI_ORF_1105156437590_GS027_Coastal_3m	cellular
PF13012_env_samples_EF088636	PF13012_env_samples_EF088636	PF13012_env_samples_EF088636	cellular
US080230_env_samples_EU915896	US080230_env_samples_EU915896	US080230_env_samples_EU915896	cellular
ARCTIC13_B_6_genomic_EU795234	ARCTIC13_B_6_genomic_EU795234	ARCTIC13_B_6_genomic_EU795234	cellular
BOUM_OTU038_env_samples	BOUM_OTU038_env_samples	BOUM_OTU038_env_samples	cellular
JCVI_ORF_1105125611704_GS031_Coastal_upwelling_12m	JCVI_ORF_1105125611704_GS031_Coastal_upwelling_12m	JCVI_ORF_1105125611704_GS031_Coastal_upwelling_12m	cellular
JCVI_ORF_1105163960674_GS000a_Open_Ocean_5m	JCVI_ORF_1105163960674_GS000a_Open_Ocean_5m	JCVI_ORF_1105163960674_GS000a_Open_Ocean_5m	cellular
PRGD_OTU041c_9fbd1fc095fd8c09cccea021bb9b56ed	PRGD_OTU041c_9fbd1fc095fd8c09cccea021bb9b56ed	PRGD_OTU041c_9fbd1fc095fd8c09cccea021bb9b56ed	cellular
PRGD_OTU181_55b36feb8cd702ee46bf69431578e8b8	PRGD_OTU181_55b36feb8cd702ee46bf69431578e8b8	PRGD_OTU181_55b36feb8cd702ee46bf69431578e8b8	cellular
PRGD_OTU072_93895daf0019fa07da018bbcab3898a3	PRGD_OTU072_93895daf0019fa07da018bbcab3898a3	PRGD_OTU072_93895daf0019fa07da018bbcab3898a3	cellular
PRGD_OTU072_1270953727f41dc43caf273dceb646e5	PRGD_OTU072_1270953727f41dc43caf273dceb646e5	PRGD_OTU072_1270953727f41dc43caf273dceb646e5	cellular
PRGD_OTU042_25b1da417f99a9c8eeb47744cf70509e	PRGD_OTU042_25b1da417f99a9c8eeb47744cf70509e	PRGD_OTU042_25b1da417f99a9c8eeb47744cf70509e	cellular
PRGD_OTU141a_4792d474cfcadecdce611d90ba1ee5fa	PRGD_OTU141a_4792d474cfcadecdce611d90ba1ee5fa	PRGD_OTU141a_4792d474cfcadecdce611d90ba1ee5fa	cellular
PRGD_OTU362_otuREP_be8cda296e797e680845e4eefe46e533	PRGD_OTU362_otuREP_be8cda296e797e680845e4eefe46e533	PRGD_OTU362_otuREP_be8cda296e797e680845e4eefe46e533	cellular
PRGD_OTU198_otuREP_1aba812108628d49904a85a1300a2501	PRGD_OTU198_otuREP_1aba812108628d49904a85a1300a2501	PRGD_OTU198_otuREP_1aba812108628d49904a85a1300a2501	cellular
PRGD_OTU108_89894cb5d70632705fa8e88a89f44b48	PRGD_OTU108_89894cb5d70632705fa8e88a89f44b48	PRGD_OTU108_89894cb5d70632705fa8e88a89f44b48	cellular
PRGD_OTU039_42698739689ecfd316b802ece82db3a9	PRGD_OTU039_42698739689ecfd316b802ece82db3a9	PRGD_OTU039_42698739689ecfd316b802ece82db3a9	cellular
PRGD_OTU227_536355f3c1c805f4b88a5b35ffd71ec9	PRGD_OTU227_536355f3c1c805f4b88a5b35ffd71ec9	PRGD_OTU227_536355f3c1c805f4b88a5b35ffd71ec9	cellular
PRGD_OTU269_otuREP_c71425309e48e320c96d3c5a9b23d844	PRGD_OTU269_otuREP_c71425309e48e320c96d3c5a9b23d844	PRGD_OTU269_otuREP_c71425309e48e320c96d3c5a9b23d844	cellular
PRGD_OTU323_otuREP_598478a74f8d8618f51778bfda6ee6fc	PRGD_OTU323_otuREP_598478a74f8d8618f51778bfda6ee6fc	PRGD_OTU323_otuREP_598478a74f8d8618f51778bfda6ee6fc	cellular
