metric	value
family	Rhodopsin
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	97
viral_total	148
viral_full_length_like	148
viral_fragments	0
cellular_length_n	615
cellular_length_min	68.0
cellular_length_q05	95.0
cellular_length_q10	97.0
cellular_length_q25	98.0
cellular_length_median	106.0
cellular_length_q75	164.0
cellular_length_q90	239.0
cellular_length_max	248.0
cellular_length_mad	8.0
cellular_length_robust_floor_median_minus_3mad	82.0
cellular_length_chosen_min_length	97.0
