metric	value
family	TCA_succinate_dehydrogenase_subunit_A
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	517
viral_total	26
viral_full_length_like	14
viral_fragments	12
cellular_length_n	174
cellular_length_min	259.0
cellular_length_q05	502.3
cellular_length_q10	517.7
cellular_length_q25	534.0
cellular_length_median	567.5
cellular_length_q75	620.5
cellular_length_q90	640.0
cellular_length_max	658.0
cellular_length_mad	38.5
cellular_length_robust_floor_median_minus_3mad	452.0
cellular_length_chosen_min_length	517.0
