metric	value
family	TCA_succinate_dehydrogenase_subunit_B
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	230
viral_total	69
viral_full_length_like	45
viral_fragments	24
cellular_length_n	150
cellular_length_min	129.0
cellular_length_q05	224.45
cellular_length_q10	230.0
cellular_length_q25	237.0
cellular_length_median	258.5
cellular_length_q75	274.0
cellular_length_q90	287.0
cellular_length_max	297.0
cellular_length_mad	19.0
cellular_length_robust_floor_median_minus_3mad	201.5
cellular_length_chosen_min_length	230.0
