metric	value
family	TCA_cycle_Succ_Dhydrogenase_subunit_C
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	126
viral_total	32
viral_full_length_like	29
viral_fragments	3
cellular_length_n	221
cellular_length_min	72.0
cellular_length_q05	121.0
cellular_length_q10	126.0
cellular_length_q25	131.0
cellular_length_median	180.0
cellular_length_q75	205.0
cellular_length_q90	229.0
cellular_length_max	249.0
cellular_length_mad	39.0
cellular_length_robust_floor_median_minus_3mad	63.0
cellular_length_chosen_min_length	126.0
