metric	value
family	TCA_cycle_Aconitase
threshold_method	auto:max(q10, median-3.0*MAD)
min_length_threshold	847
viral_total	32
viral_full_length_like	21
viral_fragments	11
cellular_length_n	107
cellular_length_min	380.0
cellular_length_q05	835.5
cellular_length_q10	847.0
cellular_length_q25	852.0
cellular_length_median	862.0
cellular_length_q75	868.0
cellular_length_q90	870.4
cellular_length_max	892.0
cellular_length_mad	6.0
cellular_length_robust_floor_median_minus_3mad	844.0
cellular_length_chosen_min_length	847.0
