align_id	align_description	matched_label	group
SRX802073.61.fa.dc..contig_21329_9...MM01	SRX802073.61.fa.dc..contig_21329_9...MM01	SRX802073.61.fa.dc..contig_21329_9...MM01	viral
SRX802073.61.fa.dc..contig_2043_77...MM01	SRX802073.61.fa.dc..contig_2043_77...MM01	SRX802073.61.fa.dc..contig_2043_77...MM01	viral
SRX802074.38.fa.dc..contig_2425_30...LP01	SRX802074.38.fa.dc..contig_2425_30...LP01	SRX802074.38.fa.dc..contig_2425_30...LP01	viral
SRX802073.99.fa.dc..contig_34321_4...MM01	SRX802073.99.fa.dc..contig_34321_4...MM01	SRX802073.99.fa.dc..contig_34321_4...MM01	viral
SRX802076.42.fa.dc..contig_15552_15...LP01	SRX802076.42.fa.dc..contig_15552_15...LP01	SRX802076.42.fa.dc..contig_15552_15...LP01	viral
SRX802076.42.fa.dc..contig_553_14...LP01	SRX802076.42.fa.dc..contig_553_14...LP01	SRX802076.42.fa.dc..contig_553_14...LP01	viral
SRX802077.122.fa.dc..contig_19816_14...MM01	SRX802077.122.fa.dc..contig_19816_14...MM01	SRX802077.122.fa.dc..contig_19816_14...MM01	viral
SRX802077.116.fa.dc..contig_54150_21...LP03	SRX802077.116.fa.dc..contig_54150_21...LP03	SRX802077.116.fa.dc..contig_54150_21...LP03	viral
SRX802143.26.fa.dc..contig_1979_12...MM01	SRX802143.26.fa.dc..contig_1979_12...MM01	SRX802143.26.fa.dc..contig_1979_12...MM01	viral
SRX802077.84.fa.dc..contig_5272_4...MM01	SRX802077.84.fa.dc..contig_5272_4...MM01	SRX802077.84.fa.dc..contig_5272_4...MM01	viral
ERX552270.42.fa.dc..contig_26141_24...MM09	ERX552270.42.fa.dc..contig_26141_24...MM09	ERX552270.42.fa.dc..contig_26141_24...MM09	viral
ERX556028.57.fa.dc..contig_47140_20...MM01	ERX556028.57.fa.dc..contig_47140_20...MM01	ERX556028.57.fa.dc..contig_47140_20...MM01	viral
ERX556031.42.fa.dc..contig_71_7...MM01	ERX556031.42.fa.dc..contig_71_7...MM01	ERX556031.42.fa.dc..contig_71_7...MM01	viral
ERX556019.45.fa.dc..contig_28826_3...MM01	ERX556019.45.fa.dc..contig_28826_3...MM01	ERX556019.45.fa.dc..contig_28826_3...MM01	viral
ERX556022.14.fa.dc..contig_15444_15...MM01	ERX556022.14.fa.dc..contig_15444_15...MM01	ERX556022.14.fa.dc..contig_15444_15...MM01	viral
ERX556023.2.fa.dc..contig_6142_23...LP01	ERX556023.2.fa.dc..contig_6142_23...LP01	ERX556023.2.fa.dc..contig_6142_23...LP01	viral
ERX556023.2.fa.dc..contig_6409_24...LP01	ERX556023.2.fa.dc..contig_6409_24...LP01	ERX556023.2.fa.dc..contig_6409_24...LP01	viral
ERX556009.10.fa.dc..contig_53237_12...MM01	ERX556009.10.fa.dc..contig_53237_12...MM01	ERX556009.10.fa.dc..contig_53237_12...MM01	viral
ERX556015.14.fa.dc..contig_110100_14...MM09	ERX556015.14.fa.dc..contig_110100_14...MM09	ERX556015.14.fa.dc..contig_110100_14...MM09	viral
ERX556019.13.fa.dc..contig_3127_12...MM01	ERX556019.13.fa.dc..contig_3127_12...MM01	ERX556019.13.fa.dc..contig_3127_12...MM01	viral
ERX556019.45.fa.dc..contig_1744_85...MM01	ERX556019.45.fa.dc..contig_1744_85...MM01	ERX556019.45.fa.dc..contig_1744_85...MM01	viral
YP_009599611.1	YP_009599611.1	YP_009599611.1	cellular
YP_009623718.1	YP_009623718.1	YP_009623718.1	cellular
YP_009006252.1	YP_009006252.1	YP_009006252.1	cellular
YP_007674296.1	YP_007674296.1	YP_007674296.1	cellular
YP_009621031.1	YP_009621031.1	YP_009621031.1	cellular
YP_008125487.1	YP_008125487.1	YP_008125487.1	cellular
YP_007237069.1	YP_007237069.1	YP_007237069.1	cellular
YP_009599134.1	YP_009599134.1	YP_009599134.1	cellular
YP_009620615.1	YP_009620615.1	YP_009620615.1	cellular
YP_007674151.1	YP_007674151.1	YP_007674151.1	cellular
YP_009595592.1	YP_009595592.1	YP_009595592.1	cellular
YP_009597464.1	YP_009597464.1	YP_009597464.1	cellular
YP_009283893.1	YP_009283893.1	YP_009283893.1	cellular
YP_009220917.1	YP_009220917.1	YP_009220917.1	cellular
YP_004895250.1	YP_004895250.1	YP_004895250.1	cellular
160492.XF0960	160492.XF0960	160492.XF0960	cellular
YP_004324370.1	YP_004324370.1	YP_004324370.1	cellular
1045855.DSC_06825	1045855.DSC_06825	1045855.DSC_06825	cellular
