align_id	align_description	matched_label	group
521460.Athe_1983	521460.Athe_1983	521460.Athe_1983	cellular
525260.HMPREF0276_0909	525260.HMPREF0276_0909	525260.HMPREF0276_0909	cellular
9785.ENSLAFP00000019620	9785.ENSLAFP00000019620	9785.ENSLAFP00000019620	cellular
9685.ENSFCAP00000022297	9685.ENSFCAP00000022297	9685.ENSFCAP00000022297	cellular
9785.ENSLAFP00000027916	9785.ENSLAFP00000027916	9785.ENSLAFP00000027916	cellular
9785.ENSLAFP00000020504	9785.ENSLAFP00000020504	9785.ENSLAFP00000020504	cellular
9823.ENSSSCP00000026468	9823.ENSSSCP00000026468	9823.ENSSSCP00000026468	cellular
9785.ENSLAFP00000028887	9785.ENSLAFP00000028887	9785.ENSLAFP00000028887	cellular
9913.ENSBTAP00000054274	9913.ENSBTAP00000054274	9913.ENSBTAP00000054274	cellular
3694.POPTR_0008s07270.1	3694.POPTR_0008s07270.1	3694.POPTR_0008s07270.1	cellular
9986.ENSOCUP00000019639	9986.ENSOCUP00000019639	9986.ENSOCUP00000019639	cellular
351627.Csac_2712	351627.Csac_2712	351627.Csac_2712	cellular
349307.Mthe_0118	349307.Mthe_0118	349307.Mthe_0118	cellular
323259.Mhun_0044	323259.Mhun_0044	323259.Mhun_0044	cellular
313589.JNB_07229	313589.JNB_07229	313589.JNB_07229	cellular
312284.A20C1_05931	312284.A20C1_05931	312284.A20C1_05931	cellular
31033.ENSTRUP00000036550	31033.ENSTRUP00000036550	31033.ENSTRUP00000036550	cellular
306537.jk0479	306537.jk0479	306537.jk0479	cellular
608506.COB47_1783	608506.COB47_1783	608506.COB47_1783	cellular
632292.Calhy_0801	632292.Calhy_0801	632292.Calhy_0801	cellular
59463.ENSMLUP00000020835	59463.ENSMLUP00000020835	59463.ENSMLUP00000020835	cellular
59463.ENSMLUP00000022326	59463.ENSMLUP00000022326	59463.ENSMLUP00000022326	cellular
59689.Al_scaffold_0467_1	59689.Al_scaffold_0467_1	59689.Al_scaffold_0467_1	cellular
59689.scaffold_600047.1	59689.scaffold_600047.1	59689.scaffold_600047.1	cellular
59463.ENSMLUP00000016253	59463.ENSMLUP00000016253	59463.ENSMLUP00000016253	cellular
59463.ENSMLUP00000016977	59463.ENSMLUP00000016977	59463.ENSMLUP00000016977	cellular
59463.ENSMLUP00000017865	59463.ENSMLUP00000017865	59463.ENSMLUP00000017865	cellular
59463.ENSMLUP00000020380	59463.ENSMLUP00000020380	59463.ENSMLUP00000020380	cellular
762948.HMPREF0733_10957	762948.HMPREF0733_10957	762948.HMPREF0733_10957	cellular
632518.Calow_1697	632518.Calow_1697	632518.Calow_1697	cellular
632335.Calkr_0723	632335.Calkr_0723	632335.Calkr_0723	cellular
645127.ckrop_1410	645127.ckrop_1410	645127.ckrop_1410	cellular
633147.Olsu_0564	633147.Olsu_0564	633147.Olsu_0564	cellular
29760.VIT_08s0058g00440.t01	29760.VIT_08s0058g00440.t01	29760.VIT_08s0058g00440.t01	cellular
29760.VIT_13s0067g01840.t01	29760.VIT_13s0067g01840.t01	29760.VIT_13s0067g01840.t01	cellular
658655.HMPREF0988_02742	658655.HMPREF0988_02742	658655.HMPREF0988_02742	cellular
649764.HMPREF0762_00959	649764.HMPREF0762_00959	649764.HMPREF0762_00959	cellular
649754.HMPREF0281_00845	649754.HMPREF0281_00845	649754.HMPREF0281_00845	cellular
645991.Sgly_0921	645991.Sgly_0921	645991.Sgly_0921	cellular
288705.RSal33209_2231	288705.RSal33209_2231	288705.RSal33209_2231	cellular
290340.AAur_2834	290340.AAur_2834	290340.AAur_2834	cellular
662755.CRES_0416	662755.CRES_0416	662755.CRES_0416	cellular
658659.HMPREF0983_03819	658659.HMPREF0983_03819	658659.HMPREF0983_03819	cellular
29760.VIT_08s0058g00410.t01	29760.VIT_08s0058g00410.t01	29760.VIT_08s0058g00410.t01	cellular
