seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX555952.65|contig_26895_19|MM16	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	249	ERX555952.65|contig_26895_19|MM16 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX555952.65 protein=contig_26895_19 clade=MM16
ERX556094.26|contig_23978_6|MM16	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	249	ERX556094.26|contig_23978_6|MM16 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX556094.26 protein=contig_23978_6 clade=MM16
SRX802202.55|contig_118243_13|MM01	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	235	SRX802202.55|contig_118243_13|MM01 source=viral family=Glycolysis_phophoglycerate_mutase mag=SRX802202.55 protein=contig_118243_13 clade=MM01
ERX552252.49|contig_29689_2|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX552252.49|contig_29689_2|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX552252.49 protein=contig_29689_2 clade=MM09
ERX555941.31|contig_32903_41|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX555941.31|contig_32903_41|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX555941.31 protein=contig_32903_41 clade=MM09
ERX555945.3|contig_11999_20|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX555945.3|contig_11999_20|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX555945.3 protein=contig_11999_20 clade=MM09
ERX555978.20|contig_13048_25|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX555978.20|contig_13048_25|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX555978.20 protein=contig_13048_25 clade=MM09
ERX556015.14|contig_73217_2|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX556015.14|contig_73217_2|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX556015.14 protein=contig_73217_2 clade=MM09
ERX556017.61|contig_36207_13|MM09	8.052659648044262	13	0	0	1	1	12	12	1.0	1.0	229	ERX556017.61|contig_36207_13|MM09 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX556017.61 protein=contig_36207_13 clade=MM09
ERX556031.42|contig_839_60|MM01	7.3975455313916845	12	1	0	1	1	11	12	1.0	0.9166666666666666	242	ERX556031.42|contig_839_60|MM01 source=viral family=Glycolysis_phophoglycerate_mutase mag=ERX556031.42 protein=contig_839_60 clade=MM01
