clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552253.3|contig_17914_9|MM09	ERX552253.3	contig_17914_9	MM09	ERX552253.3.fa.dc..contig_17914_9...MM09	ERX552253.3.fa.dc.faa	126
ERX552255.59|contig_29295_7|MM09	ERX552255.59	contig_29295_7	MM09	ERX552255.59.fa.dc..contig_29295_7...MM09	ERX552255.59.fa.dc.faa	148
ERX552255.7|contig_869_8|MM09	ERX552255.7	contig_869_8	MM09	ERX552255.7.fa.dc..contig_869_8...MM09	ERX552255.7.fa.dc.faa	126
ERX552256.7|contig_23928_1|MM01	ERX552256.7	contig_23928_1	MM01	ERX552256.7.fa.dc..contig_23928_1...MM01	ERX552256.7.fa.dc.faa	74
ERX552270.10|contig_4764_19|MM09	ERX552270.10	contig_4764_19	MM09	ERX552270.10.fa.dc..contig_4764_19...MM09	ERX552270.10.fa.dc.faa	69
ERX552270.42|contig_13650_27|MM09	ERX552270.42	contig_13650_27	MM09	ERX552270.42.fa.dc..contig_13650_27...MM09	ERX552270.42.fa.dc.faa	227
ERX552270.51|contig_628_9|MM01	ERX552270.51	contig_628_9	MM01	ERX552270.51.fa.dc..contig_628_9...MM01	ERX552270.51.fa.dc.faa	96
ERX552298.2|contig_178080_6|MM09	ERX552298.2	contig_178080_6	MM09	ERX552298.2.fa.dc..contig_178080_6...MM09	ERX552298.2.fa.dc.faa	126
ERX552302.18|contig_21035_8|MM09	ERX552302.18	contig_21035_8	MM09	ERX552302.18.fa.dc..contig_21035_8...MM09	ERX552302.18.fa.dc.faa	130
ERX552302.45|contig_9238_15|MM09	ERX552302.45	contig_9238_15	MM09	ERX552302.45.fa.dc..contig_9238_15...MM09	ERX552302.45.fa.dc.faa	153
ERX555907.69|contig_34749_1|LP03	ERX555907.69	contig_34749_1	LP03	ERX555907.69.fa.dc..contig_34749_1...LP03	ERX555907.69.fa.dc.faa	174
ERX555907.72|contig_554_4|MM09	ERX555907.72	contig_554_4	MM09	ERX555907.72.fa.dc..contig_554_4...MM09	ERX555907.72.fa.dc.faa	146
ERX555907.87|contig_1795_11|MM09	ERX555907.87	contig_1795_11	MM09	ERX555907.87.fa.dc..contig_1795_11...MM09	ERX555907.87.fa.dc.faa	125
ERX555913.32|contig_17255_10|MM09	ERX555913.32	contig_17255_10	MM09	ERX555913.32.fa.dc..contig_17255_10...MM09	ERX555913.32.fa.dc.faa	126
ERX555926.32|contig_26568_17|MM16	ERX555926.32	contig_26568_17	MM16	ERX555926.32.fa.dc..contig_26568_17...MM16	ERX555926.32.fa.dc.faa	133
ERX555926.32|contig_26568_18|MM16	ERX555926.32	contig_26568_18	MM16	ERX555926.32.fa.dc..contig_26568_18...MM16	ERX555926.32.fa.dc.faa	205
ERX555951.15|contig_51296_7|MM09	ERX555951.15	contig_51296_7	MM09	ERX555951.15.fa.dc..contig_51296_7...MM09	ERX555951.15.fa.dc.faa	148
ERX555951.28|contig_105159_8|MM09	ERX555951.28	contig_105159_8	MM09	ERX555951.28.fa.dc..contig_105159_8...MM09	ERX555951.28.fa.dc.faa	130
ERX555961.47|contig_1710_37|MM09	ERX555961.47	contig_1710_37	MM09	ERX555961.47.fa.dc..contig_1710_37...MM09	ERX555961.47.fa.dc.faa	130
ERX555964.34|contig_18882_34|MM01	ERX555964.34	contig_18882_34	MM01	ERX555964.34.fa.dc..contig_18882_34...MM01	ERX555964.34.fa.dc.faa	56
ERX555990.11|contig_699_6|MM09	ERX555990.11	contig_699_6	MM09	ERX555990.11.fa.dc..contig_699_6...MM09	ERX555990.11.fa.dc.faa	125
ERX555997.39|contig_58978_23|MM12	ERX555997.39	contig_58978_23	MM12	ERX555997.39.fa.dc..contig_58978_23...MM12	ERX555997.39.fa.dc.faa	42
ERX556054.16|contig_10611_10|MM09	ERX556054.16	contig_10611_10	MM09	ERX556054.16.fa.dc..contig_10611_10...MM09	ERX556054.16.fa.dc.faa	148
ERX556134.17|contig_202_12|MM09	ERX556134.17	contig_202_12	MM09	ERX556134.17.fa.dc..contig_202_12...MM09	ERX556134.17.fa.dc.faa	125
