seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX556031.42|contig_30532_12|MM01	16.812413609782027	21	0	0	12	12	9	9	1.0	1.0	234	ERX556031.42|contig_30532_12|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556031.42 protein=contig_30532_12 clade=MM01
ERX556009.10|contig_8666_27|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	242	ERX556009.10|contig_8666_27|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556009.10 protein=contig_8666_27 clade=MM01
ERX552296.3|contig_62860_4|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	241	ERX552296.3|contig_62860_4|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552296.3 protein=contig_62860_4 clade=MM01
ERX556037.19|contig_3706_4|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	238	ERX556037.19|contig_3706_4|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556037.19 protein=contig_3706_4 clade=MM01
ERX552254.5|contig_9118_34|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	234	ERX552254.5|contig_9118_34|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552254.5 protein=contig_9118_34 clade=MM01
ERX552302.42|contig_30774_15|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	234	ERX552302.42|contig_30774_15|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552302.42 protein=contig_30774_15 clade=MM01
ERX555926.27|contig_351_15|MM01	16.12248803827751	20	1	0	12	12	8	9	1.0	0.8888888888888888	234	ERX555926.27|contig_351_15|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555926.27 protein=contig_351_15 clade=MM01
ERX555951.15|contig_471_9|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	240	ERX555951.15|contig_471_9|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555951.15 protein=contig_471_9 clade=MM09
ERX556054.16|contig_55688_19|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	240	ERX556054.16|contig_55688_19|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556054.16 protein=contig_55688_19 clade=MM09
ERX552255.7|contig_4107_18|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX552255.7|contig_4107_18|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552255.7 protein=contig_4107_18 clade=MM09
ERX552277.41|contig_80257_8|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX552277.41|contig_80257_8|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552277.41 protein=contig_80257_8 clade=MM09
ERX552298.2|contig_68360_16|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX552298.2|contig_68360_16|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552298.2 protein=contig_68360_16 clade=MM09
ERX552302.45|contig_2309_11|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX552302.45|contig_2309_11|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552302.45 protein=contig_2309_11 clade=MM09
ERX555907.45|contig_179_25|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX555907.45|contig_179_25|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555907.45 protein=contig_179_25 clade=MM09
ERX555917.28|contig_404_25|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX555917.28|contig_404_25|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555917.28 protein=contig_404_25 clade=MM09
ERX555961.43|contig_774_20|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX555961.43|contig_774_20|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555961.43 protein=contig_774_20 clade=MM09
ERX555987.28|contig_15542_40|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX555987.28|contig_15542_40|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555987.28 protein=contig_15542_40 clade=MM09
ERX556005.35|contig_1072_23|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX556005.35|contig_1072_23|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556005.35 protein=contig_1072_23 clade=MM09
ERX556060.39|contig_38135_24|MM09	16.07658643854816	20	1	0	12	12	8	9	1.0	0.8888888888888888	237	ERX556060.39|contig_38135_24|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556060.39 protein=contig_38135_24 clade=MM09
ERX552254.13|contig_33076_7|MM16	15.413290802764484	19	2	0	12	12	7	9	1.0	0.7777777777777778	251	ERX552254.13|contig_33076_7|MM16 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552254.13 protein=contig_33076_7 clade=MM16
ERX556049.12|contig_18569_17|MM01	15.196783625730994	19	2	0	11	12	8	9	0.9166666666666666	0.8888888888888888	255	ERX556049.12|contig_18569_17|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX556049.12 protein=contig_18569_17 clade=MM01
ERX555913.32|contig_8258_46|MM09	15.16638796256021	19	2	0	11	12	8	9	0.9166666666666666	0.8888888888888888	237	ERX555913.32|contig_8258_46|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555913.32 protein=contig_8258_46 clade=MM09
ERX552252.49|contig_84629_15|MM09	15.126988787395485	19	2	0	12	12	7	9	1.0	0.7777777777777778	234	ERX552252.49|contig_84629_15|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX552252.49 protein=contig_84629_15 clade=MM09
ERX555907.48|contig_17388_2|MM09	15.126988787395485	19	2	0	12	12	7	9	1.0	0.7777777777777778	234	ERX555907.48|contig_17388_2|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555907.48 protein=contig_17388_2 clade=MM09
ERX555945.3|contig_6012_18|MM09	15.126988787395485	19	2	0	12	12	7	9	1.0	0.7777777777777778	234	ERX555945.3|contig_6012_18|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555945.3 protein=contig_6012_18 clade=MM09
ERX555978.20|contig_24397_2|MM09	15.126988787395485	19	2	0	12	12	7	9	1.0	0.7777777777777778	234	ERX555978.20|contig_24397_2|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_B mag=ERX555978.20 protein=contig_24397_2 clade=MM09
