align_id	align_description	matched_label	group
563040.Saut_0660	563040.Saut_0660	563040.Saut_0660	cellular
563040.Saut_0673	563040.Saut_0673	563040.Saut_0673	cellular
7719.ENSCINP00000017268	7719.ENSCINP00000017268	7719.ENSCINP00000017268	cellular
2850.Phatr47239	2850.Phatr47239	2850.Phatr47239	cellular
2850.Phatr40433	2850.Phatr40433	2850.Phatr40433	cellular
2850.Phatr33266	2850.Phatr33266	2850.Phatr33266	cellular
273121.WS0890	273121.WS0890	273121.WS0890	cellular
273068.TTE2014	273068.TTE2014	273068.TTE2014	cellular
272952.HpaP804389	272952.HpaP804389	272952.HpaP804389	cellular
267377.MMP0666	267377.MMP0666	267377.MMP0666	cellular
247633.GP2143_04410	247633.GP2143_04410	247633.GP2143_04410	cellular
246200.SPO0209	246200.SPO0209	246200.SPO0209	cellular
246199.CUS_5026	246199.CUS_5026	246199.CUS_5026	cellular
65071.PYU1_T005437	65071.PYU1_T005437	65071.PYU1_T005437	cellular
65071.PYU1_T005439	65071.PYU1_T005439	65071.PYU1_T005439	cellular
634994.GCWU000323_00674	634994.GCWU000323_00674	634994.GCWU000323_00674	cellular
641112.RflaF_010100000799	641112.RflaF_010100000799	641112.RflaF_010100000799	cellular
65071.PYU1_T005434	65071.PYU1_T005434	65071.PYU1_T005434	cellular
65071.PYU1_T005436	65071.PYU1_T005436	65071.PYU1_T005436	cellular
6085.XP_002156751	6085.XP_002156751	6085.XP_002156751	cellular
6085.XP_002160476	6085.XP_002160476	6085.XP_002160476	cellular
633131.TR2A62_2999	633131.TR2A62_2999	633131.TR2A62_2999	cellular
633697.EubceDRAFT_1442	633697.EubceDRAFT_1442	633697.EubceDRAFT_1442	cellular
67593.Physo131520	67593.Physo131520	67593.Physo131520	cellular
244592.SADFL11_322	244592.SADFL11_322	244592.SADFL11_322	cellular
67593.Physo133444	67593.Physo133444	67593.Physo133444	cellular
67593.Physo131522	67593.Physo131522	67593.Physo131522	cellular
243276.TP0771	243276.TP0771	243276.TP0771	cellular
657318.EUR_02910	657318.EUR_02910	657318.EUR_02910	cellular
69293.ENSGACP00000023831	69293.ENSGACP00000023831	69293.ENSGACP00000023831	cellular
69042.WH5701_08809	69042.WH5701_08809	69042.WH5701_08809	cellular
67593.Physo142914	67593.Physo142914	67593.Physo142914	cellular
67593.Physo133446	67593.Physo133446	67593.Physo133446	cellular
207949.RED65_10569	207949.RED65_10569	207949.RED65_10569	cellular
207954.MED92_12786	207954.MED92_12786	207954.MED92_12786	cellular
6945.ISCW006373-PA	6945.ISCW006373-PA	6945.ISCW006373-PA	cellular
693746.OBV_40560	693746.OBV_40560	693746.OBV_40560	cellular
234831.PSM_A0641	234831.PSM_A0641	234831.PSM_A0641	cellular
243275.TDE1964	243275.TDE1964	243275.TDE1964	cellular
213810.RUM_03300	213810.RUM_03300	213810.RUM_03300	cellular
225937.HP15_2820	225937.HP15_2820	225937.HP15_2820	cellular
180281.CPCC7001_173	180281.CPCC7001_173	180281.CPCC7001_173	cellular
187272.Mlg_2701	187272.Mlg_2701	187272.Mlg_2701	cellular
7719.ENSCINP00000001618	7719.ENSCINP00000001618	7719.ENSCINP00000001618	cellular
7719.ENSCINP00000011241	7719.ENSCINP00000011241	7719.ENSCINP00000011241	cellular
754027.HMPREF9554_02422	754027.HMPREF9554_02422	754027.HMPREF9554_02422	cellular
765698.Mesci_5292	765698.Mesci_5292	765698.Mesci_5292	cellular
717773.Thicy_1634	717773.Thicy_1634	717773.Thicy_1634	cellular
744872.Spica_0544	744872.Spica_0544	744872.Spica_0544	cellular
697282.Mettu_0116	697282.Mettu_0116	697282.Mettu_0116	cellular
697329.Rumal_1883	697329.Rumal_1883	697329.Rumal_1883	cellular
156889.Mmc1_0226	156889.Mmc1_0226	156889.Mmc1_0226	cellular
1110509.Mhar_2393	1110509.Mhar_2393	1110509.Mhar_2393	cellular
164328.Phyra78938	164328.Phyra78938	164328.Phyra78938	cellular
164328.Phyra77685	164328.Phyra77685	164328.Phyra77685	cellular
164328.Phyra80716	164328.Phyra80716	164328.Phyra80716	cellular
164328.Phyra80715	164328.Phyra80715	164328.Phyra80715	cellular
164328.Phyra85866	164328.Phyra85866	164328.Phyra85866	cellular
7719.ENSCINP00000017272	7719.ENSCINP00000017272	7719.ENSCINP00000017272	cellular
164328.Phyra85678	164328.Phyra85678	164328.Phyra85678	cellular
51511.ENSCSAVP00000015098	51511.ENSCSAVP00000015098	51511.ENSCSAVP00000015098	cellular
51511.ENSCSAVP00000015160	51511.ENSCSAVP00000015160	51511.ENSCSAVP00000015160	cellular
51511.ENSCSAVP00000017377	51511.ENSCSAVP00000017377	51511.ENSCSAVP00000017377	cellular
519441.Smon_1501	519441.Smon_1501	519441.Smon_1501	cellular
498211.CJA_3145	498211.CJA_3145	498211.CJA_3145	cellular
501479.CSE45_4614	501479.CSE45_4614	501479.CSE45_4614	cellular
513049.AmaxDRAFT_5584	513049.AmaxDRAFT_5584	513049.AmaxDRAFT_5584	cellular
51511.ENSCSAVP00000010664	51511.ENSCSAVP00000010664	51511.ENSCSAVP00000010664	cellular
523794.Lebu_0986	523794.Lebu_0986	523794.Lebu_0986	cellular
545694.TREPR_3563	545694.TREPR_3563	545694.TREPR_3563	cellular
8090.ENSORLP00000006343	8090.ENSORLP00000006343	8090.ENSORLP00000006343	cellular
8083.ENSXMAP00000008745	8083.ENSXMAP00000008745	8083.ENSXMAP00000008745	cellular
857087.Metme_1589	857087.Metme_1589	857087.Metme_1589	cellular
8128.ENSONIP00000016392	8128.ENSONIP00000016392	8128.ENSONIP00000016392	cellular
10228.TriadP53889	10228.TriadP53889	10228.TriadP53889	cellular
7719.ENSCINP00000022041	7719.ENSCINP00000022041	7719.ENSCINP00000022041	cellular
8049.ENSGMOP00000006752	8049.ENSGMOP00000006752	8049.ENSGMOP00000006752	cellular
7955.ENSDARP00000123760	7955.ENSDARP00000123760	7955.ENSDARP00000123760	cellular
ERX556059.7.fa.dc..contig_1052_2...LP01	ERX556059.7.fa.dc..contig_1052_2...LP01	ERX556059.7.fa.dc..contig_1052_2...LP01	viral
SRX514547.41.fa.dc..contig_1356_19...LP01	SRX514547.41.fa.dc..contig_1356_19...LP01	SRX514547.41.fa.dc..contig_1356_19...LP01	viral
SRX514547.41.fa.dc..contig_1356_20...LP01	SRX514547.41.fa.dc..contig_1356_20...LP01	SRX514547.41.fa.dc..contig_1356_20...LP01	viral
10228.TriadP21879	10228.TriadP21879	10228.TriadP21879	cellular
869209.Tresu_2073	869209.Tresu_2073	869209.Tresu_2073	cellular
ERX555984.3.fa.dc..contig_3899_55...LP01	ERX555984.3.fa.dc..contig_3899_55...LP01	ERX555984.3.fa.dc..contig_3899_55...LP01	viral
ERX556035.15.fa.dc..contig_5103_59...LP01	ERX556035.15.fa.dc..contig_5103_59...LP01	ERX556035.15.fa.dc..contig_5103_59...LP01	viral
ERX556045.12.fa.dc..contig_8833_18...MM01	ERX556045.12.fa.dc..contig_8833_18...MM01	ERX556045.12.fa.dc..contig_8833_18...MM01	viral
489825.LYNGBM3L_40490	489825.LYNGBM3L_40490	489825.LYNGBM3L_40490	cellular
489825.LYNGBM3L_40360	489825.LYNGBM3L_40360	489825.LYNGBM3L_40360	cellular
45351.NEMVEDRAFT_v1g32113-PA	45351.NEMVEDRAFT_v1g32113-PA	45351.NEMVEDRAFT_v1g32113-PA	cellular
45351.NEMVEDRAFT_v1g238016-PA	45351.NEMVEDRAFT_v1g238016-PA	45351.NEMVEDRAFT_v1g238016-PA	cellular
444158.MmarC6_0220	444158.MmarC6_0220	444158.MmarC6_0220	cellular
439497.RR11_3308	439497.RR11_3308	439497.RR11_3308	cellular
4787.PITG_12941T0	4787.PITG_12941T0	4787.PITG_12941T0	cellular
4787.PITG_11140T0	4787.PITG_11140T0	4787.PITG_11140T0	cellular
4787.PITG_00831T0	4787.PITG_00831T0	4787.PITG_00831T0	cellular
456320.Mvol_0827	456320.Mvol_0827	456320.Mvol_0827	cellular
87626.PTD2_18265	87626.PTD2_18265	87626.PTD2_18265	cellular
878320.AcavA_010100006875	878320.AcavA_010100006875	878320.AcavA_010100006875	cellular
89187.ISM_10990	89187.ISM_10990	89187.ISM_10990	cellular
906968.Trebr_0610	906968.Trebr_0610	906968.Trebr_0610	cellular
906968.Trebr_1673	906968.Trebr_1673	906968.Trebr_1673	cellular
944547.ABLL_1268	944547.ABLL_1268	944547.ABLL_1268	cellular
990316.MCON_2629	990316.MCON_2629	990316.MCON_2629	cellular
998088.B565_2863	998088.B565_2863	998088.B565_2863	cellular
ERX552252.6.fa.dc..contig_7505_49...LP01	ERX552252.6.fa.dc..contig_7505_49...LP01	ERX552252.6.fa.dc..contig_7505_49...LP01	viral
ERX552252.37.fa.dc..contig_16371_2...MM07	ERX552252.37.fa.dc..contig_16371_2...MM07	ERX552252.37.fa.dc..contig_16371_2...MM07	viral
ERX552244.9.fa.dc..contig_8865_2...MM01	ERX552244.9.fa.dc..contig_8865_2...MM01	ERX552244.9.fa.dc..contig_8865_2...MM01	viral
ERX552295.44.fa.dc..contig_18987_32...LP01	ERX552295.44.fa.dc..contig_18987_32...LP01	ERX552295.44.fa.dc..contig_18987_32...LP01	viral
ERX552274.25.fa.dc..contig_2091_50...LP01	ERX552274.25.fa.dc..contig_2091_50...LP01	ERX552274.25.fa.dc..contig_2091_50...LP01	viral
ERX552257.96.fa.dc..contig_87940_15...MM11	ERX552257.96.fa.dc..contig_87940_15...MM11	ERX552257.96.fa.dc..contig_87940_15...MM11	viral
ERX552253.37.fa.dc..contig_5406_5...MM07	ERX552253.37.fa.dc..contig_5406_5...MM07	ERX552253.37.fa.dc..contig_5406_5...MM07	viral
ERX555965.60.fa.dc..contig_39981_12...MM01	ERX555965.60.fa.dc..contig_39981_12...MM01	ERX555965.60.fa.dc..contig_39981_12...MM01	viral
ERX555957.21.fa.dc..contig_8755_13...MM07	ERX555957.21.fa.dc..contig_8755_13...MM07	ERX555957.21.fa.dc..contig_8755_13...MM07	viral
