seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX552256.7|contig_23928_4|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	891	ERX552256.7|contig_23928_4|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552256.7 protein=contig_23928_4 clade=MM01
ERX552256.7|contig_5916_13|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	878	ERX552256.7|contig_5916_13|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552256.7 protein=contig_5916_13 clade=MM01
ERX288947.1|contig_4850_13|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	877	ERX288947.1|contig_4850_13|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX288947.1 protein=contig_4850_13 clade=MM01
ERX288965.16|contig_2422_13|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	877	ERX288965.16|contig_2422_13|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX288965.16 protein=contig_2422_13 clade=MM01
ERX288975.8|contig_12831_4|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	877	ERX288975.8|contig_12831_4|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX288975.8 protein=contig_12831_4 clade=MM01
ERX555926.27|contig_30772_11|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	875	ERX555926.27|contig_30772_11|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555926.27 protein=contig_30772_11 clade=MM01
ERX552302.42|contig_30774_14|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	865	ERX552302.42|contig_30774_14|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552302.42 protein=contig_30774_14 clade=MM01
ERX555967.90|contig_16658_38|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	865	ERX555967.90|contig_16658_38|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555967.90 protein=contig_16658_38 clade=MM01
ERX552254.32|contig_19166_34|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	863	ERX552254.32|contig_19166_34|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552254.32 protein=contig_19166_34 clade=MM01
ERX556068.30|contig_101664_3|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	863	ERX556068.30|contig_101664_3|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556068.30 protein=contig_101664_3 clade=MM01
ERX556088.18|contig_10377_13|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	863	ERX556088.18|contig_10377_13|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556088.18 protein=contig_10377_13 clade=MM01
ERX552252.49|contig_7299_10|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX552252.49|contig_7299_10|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552252.49 protein=contig_7299_10 clade=MM09
ERX555907.48|contig_3127_17|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX555907.48|contig_3127_17|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555907.48 protein=contig_3127_17 clade=MM09
ERX555941.31|contig_14892_4|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX555941.31|contig_14892_4|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555941.31 protein=contig_14892_4 clade=MM09
ERX555945.3|contig_3898_19|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX555945.3|contig_3898_19|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555945.3 protein=contig_3898_19 clade=MM09
ERX555978.20|contig_33772_11|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX555978.20|contig_33772_11|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX555978.20 protein=contig_33772_11 clade=MM09
ERX556009.6|contig_12041_14|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX556009.6|contig_12041_14|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556009.6 protein=contig_12041_14 clade=MM01
ERX556015.14|contig_66525_5|MM09	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	862	ERX556015.14|contig_66525_5|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556015.14 protein=contig_66525_5 clade=MM09
ERX552288.111|contig_19603_32|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	861	ERX552288.111|contig_19603_32|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552288.111 protein=contig_19603_32 clade=MM01
ERX556009.7|contig_6442_26|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	861	ERX556009.7|contig_6442_26|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556009.7 protein=contig_6442_26 clade=MM01
ERX552274.9|contig_13358_14|MM01	16.93837535014006	18	0	0	10	10	8	8	1.0	1.0	840	ERX552274.9|contig_13358_14|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552274.9 protein=contig_13358_14 clade=MM01
ERX288973.1|contig_356_13|MM01	4.014005602240896	9	0	9	4	10	5	8	0.4	0.625	416	ERX288973.1|contig_356_13|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX288973.1 protein=contig_356_13 clade=MM01
ERX552296.45|contig_89073_3|MM01	1.5224089635854339	7	0	11	4	10	3	8	0.4	0.375	402	ERX552296.45|contig_89073_3|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552296.45 protein=contig_89073_3 clade=MM01
ERX556101.13|contig_129694_21|MM01	1.5224089635854339	7	0	11	4	10	3	8	0.4	0.375	384	ERX556101.13|contig_129694_21|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556101.13 protein=contig_129694_21 clade=MM01
ERX556017.61|contig_73878_18|MM09	-1.5532212885154064	5	0	13	2	10	3	8	0.2	0.375	344	ERX556017.61|contig_73878_18|MM09 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX556017.61 protein=contig_73878_18 clade=MM09
ERX552270.100|contig_9516_8|MM01	-8.46918767507003	0	0	18	0	10	0	8	0.0	0.0	127	ERX552270.100|contig_9516_8|MM01 source=viral family=TCA_cycle_Succ_Dhydrogenase_subunit_C mag=ERX552270.100 protein=contig_9516_8 clade=MM01
