align_id	align_description	matched_label	group
A0A085MKY2	A0A085MKY2	A0A085MKY2	cellular
A0A0N4ZIM6	A0A0N4ZIM6	A0A0N4ZIM6	cellular
A0A0V1FIG5	A0A0V1FIG5	A0A0V1FIG5	cellular
A0A1G9CC77	A0A1G9CC77	A0A1G9CC77	cellular
Z9JSW2	Z9JSW2	Z9JSW2	cellular
A0A084RFD2	A0A084RFD2	A0A084RFD2	cellular
A0A1Z5T2T3	A0A1Z5T2T3	A0A1Z5T2T3	cellular
A0A072P5I7	A0A072P5I7	A0A072P5I7	cellular
A0A239PL48	A0A239PL48	A0A239PL48	cellular
A0A286EJH9	A0A286EJH9	A0A286EJH9	cellular
A0A2K3CVV6	A0A2K3CVV6	A0A2K3CVV6	cellular
A0A1Q6DWL6	A0A1Q6DWL6	A0A1Q6DWL6	cellular
A0A0B0DDR9	A0A0B0DDR9	A0A0B0DDR9	cellular
R9AEI7	R9AEI7	R9AEI7	cellular
A0A1I2ZLT1	A0A1I2ZLT1	A0A1I2ZLT1	cellular
A0A0D2HGM3	A0A0D2HGM3	A0A0D2HGM3	cellular
A0A0V0XQI5	A0A0V0XQI5	A0A0V0XQI5	cellular
A0A1L0FYD4	A0A1L0FYD4	A0A1L0FYD4	cellular
A0A137ZZ82	A0A137ZZ82	A0A137ZZ82	cellular
A0A177CKT8	A0A177CKT8	A0A177CKT8	cellular
A0A0M9G9T2	A0A0M9G9T2	A0A0M9G9T2	cellular
ERX556015.14.fa.dc..contig_79042_22...MM09	ERX556015.14.fa.dc..contig_79042_22...MM09	ERX556015.14.fa.dc..contig_79042_22...MM09	viral
ERX556009.10.fa.dc..contig_42354_8...MM01	ERX556009.10.fa.dc..contig_42354_8...MM01	ERX556009.10.fa.dc..contig_42354_8...MM01	viral
ERX556034.40.fa.dc..contig_310_39...LP01	ERX556034.40.fa.dc..contig_310_39...LP01	ERX556034.40.fa.dc..contig_310_39...LP01	viral
ERX556022.4.fa.dc..contig_5415_10...MM01	ERX556022.4.fa.dc..contig_5415_10...MM01	ERX556022.4.fa.dc..contig_5415_10...MM01	viral
ERX555988.97.fa.dc..contig_19341_20...MM01	ERX555988.97.fa.dc..contig_19341_20...MM01	ERX555988.97.fa.dc..contig_19341_20...MM01	viral
ERX555987.30.fa.dc..contig_23574_33...LP01	ERX555987.30.fa.dc..contig_23574_33...LP01	ERX555987.30.fa.dc..contig_23574_33...LP01	viral
ERX556005.59.fa.dc..contig_5798_1...LP04	ERX556005.59.fa.dc..contig_5798_1...LP04	ERX556005.59.fa.dc..contig_5798_1...LP04	viral
ERX556005.53.fa.dc..contig_56506_17...LP04	ERX556005.53.fa.dc..contig_56506_17...LP04	ERX556005.53.fa.dc..contig_56506_17...LP04	viral
ERX556037.25.fa.dc..contig_18949_16...MM01	ERX556037.25.fa.dc..contig_18949_16...MM01	ERX556037.25.fa.dc..contig_18949_16...MM01	viral
ERX556037.19.fa.dc..contig_5843_14...MM01	ERX556037.19.fa.dc..contig_5843_14...MM01	ERX556037.19.fa.dc..contig_5843_14...MM01	viral
C9SD46	C9SD46	C9SD46	cellular
A0A2H3BAW0	A0A2H3BAW0	A0A2H3BAW0	cellular
N4VP15	N4VP15	N4VP15	cellular
D4YN09	D4YN09	D4YN09	cellular
A0A010NRH9	A0A010NRH9	A0A010NRH9	cellular
A0A1H6WZI9	A0A1H6WZI9	A0A1H6WZI9	cellular
A0A0N4V8A4	A0A0N4V8A4	A0A0N4V8A4	cellular
A0A0N5A0K3	A0A0N5A0K3	A0A0N5A0K3	cellular
G2QJ53	G2QJ53	G2QJ53	cellular
A0A0M0JEB0	A0A0M0JEB0	A0A0M0JEB0	cellular
A0A1E3BKL7	A0A1E3BKL7	A0A1E3BKL7	cellular
M0H9B7	M0H9B7	M0H9B7	cellular
K2N124	K2N124	K2N124	cellular
A0A1Y1I3T7	A0A1Y1I3T7	A0A1Y1I3T7	cellular
I0Z383	I0Z383	I0Z383	cellular
A0A2A3YLC1	A0A2A3YLC1	A0A2A3YLC1	cellular
A0A261ATX7	A0A261ATX7	A0A261ATX7	cellular
A0A022L1F7	A0A022L1F7	A0A022L1F7	cellular
A0A167VZT4	A0A167VZT4	A0A167VZT4	cellular
A0A0P1G4Z7	A0A0P1G4Z7	A0A0P1G4Z7	cellular
A0A285NV92	A0A285NV92	A0A285NV92	cellular
A0A176WJ22	A0A176WJ22	A0A176WJ22	cellular
A0A0U3PMJ5	A0A0U3PMJ5	A0A0U3PMJ5	cellular
A0A1R4G2Q9	A0A1R4G2Q9	A0A1R4G2Q9	cellular
A0A1E4T7J5	A0A1E4T7J5	A0A1E4T7J5	cellular
S9UT68	S9UT68	S9UT68	cellular
ERX555965.10.fa.dc..contig_2505_17...MM01	ERX555965.10.fa.dc..contig_2505_17...MM01	ERX555965.10.fa.dc..contig_2505_17...MM01	viral
ERX552274.21.fa.dc..contig_1652_2...MM01	ERX552274.21.fa.dc..contig_1652_2...MM01	ERX552274.21.fa.dc..contig_1652_2...MM01	viral
A0A1Z5TL25	A0A1Z5TL25	A0A1Z5TL25	cellular
A0A1G4ASP4	A0A1G4ASP4	A0A1G4ASP4	cellular
A0A1Q3NI98	A0A1Q3NI98	A0A1Q3NI98	cellular
A0A0U5ABK9	A0A0U5ABK9	A0A0U5ABK9	cellular
A0A167VS39	A0A167VS39	A0A167VS39	cellular
A0A1H4JRT4	A0A1H4JRT4	A0A1H4JRT4	cellular
ERX555951.15.fa.dc..contig_1905_42...MM09	ERX555951.15.fa.dc..contig_1905_42...MM09	ERX555951.15.fa.dc..contig_1905_42...MM09	viral
A0A067D5P8	A0A067D5P8	A0A067D5P8	cellular
ERX555945.3.fa.dc..contig_5025_27...MM09	ERX555945.3.fa.dc..contig_5025_27...MM09	ERX555945.3.fa.dc..contig_5025_27...MM09	viral
ERX555935.160.fa.dc..contig_24009_2...MM05	ERX555935.160.fa.dc..contig_24009_2...MM05	ERX555935.160.fa.dc..contig_24009_2...MM05	viral
ERX555933.22.fa.dc..contig_22880_29...MM01	ERX555933.22.fa.dc..contig_22880_29...MM01	ERX555933.22.fa.dc..contig_22880_29...MM01	viral
ERX555931.9.fa.dc..contig_29946_7...MM05	ERX555931.9.fa.dc..contig_29946_7...MM05	ERX555931.9.fa.dc..contig_29946_7...MM05	viral
A0A0P1BDT7	A0A0P1BDT7	A0A0P1BDT7	cellular
ERX555927.8.fa.dc..contig_14772_2...LP01	ERX555927.8.fa.dc..contig_14772_2...LP01	ERX555927.8.fa.dc..contig_14772_2...LP01	viral
ERX555926.39.fa.dc..contig_13486_17...MM01	ERX555926.39.fa.dc..contig_13486_17...MM01	ERX555926.39.fa.dc..contig_13486_17...MM01	viral
ERX555919.35.fa.dc..contig_109803_5...LP04	ERX555919.35.fa.dc..contig_109803_5...LP04	ERX555919.35.fa.dc..contig_109803_5...LP04	viral
A0A1X0NXY5	A0A1X0NXY5	A0A1X0NXY5	cellular
A0A1E3PVN5	A0A1E3PVN5	A0A1E3PVN5	cellular
A0A0N5CFZ2	A0A0N5CFZ2	A0A0N5CFZ2	cellular
A0A0N5DHJ7	A0A0N5DHJ7	A0A0N5DHJ7	cellular
I0USK4	I0USK4	I0USK4	cellular
W6KQG3	W6KQG3	W6KQG3	cellular
A0A084G9H3	A0A084G9H3	A0A084G9H3	cellular
G7DWB7	G7DWB7	G7DWB7	cellular
S9V8Z9	S9V8Z9	S9V8Z9	cellular
A0A0D2MVW7	A0A0D2MVW7	A0A0D2MVW7	cellular
A0A0N0P8C5	A0A0N0P8C5	A0A0N0P8C5	cellular
X6NVF7	X6NVF7	X6NVF7	cellular
ERX555967.90.fa.dc..contig_20314_54...MM01	ERX555967.90.fa.dc..contig_20314_54...MM01	ERX555967.90.fa.dc..contig_20314_54...MM01	viral
A0A0K8L4R4	A0A0K8L4R4	A0A0K8L4R4	cellular
A0A221R1G9	A0A221R1G9	A0A221R1G9	cellular
S9UMD6	S9UMD6	S9UMD6	cellular
ERX552270.62.fa.dc..contig_9540_28...MM01	ERX552270.62.fa.dc..contig_9540_28...MM01	ERX552270.62.fa.dc..contig_9540_28...MM01	viral
E1ZTD5	E1ZTD5	E1ZTD5	cellular
A0A2H3EZP4	A0A2H3EZP4	A0A2H3EZP4	cellular
A0A133U7N4	A0A133U7N4	A0A133U7N4	cellular
M0MNK7	M0MNK7	M0MNK7	cellular
A0A062V7K9	A0A062V7K9	A0A062V7K9	cellular
G9PE38	G9PE38	G9PE38	cellular
A4HBH2	A4HBH2	A4HBH2	cellular
A0A2I0QLD4	A0A2I0QLD4	A0A2I0QLD4	cellular
A0A1I0ND61	A0A1I0ND61	A0A1I0ND61	cellular
V5X8J5	V5X8J5	V5X8J5	cellular
A0A1Y1I362	A0A1Y1I362	A0A1Y1I362	cellular
ERX555931.15.fa.dc..contig_9184_17...MM05	ERX555931.15.fa.dc..contig_9184_17...MM05	ERX555931.15.fa.dc..contig_9184_17...MM05	viral
A0A117MHC8	A0A117MHC8	A0A117MHC8	cellular
A0A1S1QES7	A0A1S1QES7	A0A1S1QES7	cellular
A0A1Y1U824	A0A1Y1U824	A0A1Y1U824	cellular
A0A176WP23	A0A176WP23	A0A176WP23	cellular
D8UJZ7	D8UJZ7	D8UJZ7	cellular
U6NZJ0	U6NZJ0	U6NZJ0	cellular
U1PAT1	U1PAT1	U1PAT1	cellular
A0A0A6VSW1	A0A0A6VSW1	A0A0A6VSW1	cellular
L0IG01	L0IG01	L0IG01	cellular
A0A2I0QLE2	A0A2I0QLE2	A0A2I0QLE2	cellular
A0A1I7RIZ4	A0A1I7RIZ4	A0A1I7RIZ4	cellular
D5GLS7	D5GLS7	D5GLS7	cellular
A0A1I7ZNR6	A0A1I7ZNR6	A0A1I7ZNR6	cellular
A0A0U5GUJ1	A0A0U5GUJ1	A0A0U5GUJ1	cellular
A0A1X6XPZ6	A0A1X6XPZ6	A0A1X6XPZ6	cellular
A0A1I0QI72	A0A1I0QI72	A0A1I0QI72	cellular
A0A099GCB4	A0A099GCB4	A0A099GCB4	cellular
A0A0P7HD78	A0A0P7HD78	A0A0P7HD78	cellular
A0A1A6A4C6	A0A1A6A4C6	A0A1A6A4C6	cellular
A0A1G6Z4E4	A0A1G6Z4E4	A0A1G6Z4E4	cellular
I2F4Z2	I2F4Z2	I2F4Z2	cellular
A0A1Y3GIV7	A0A1Y3GIV7	A0A1Y3GIV7	cellular
A0A0N5CNA5	A0A0N5CNA5	A0A0N5CNA5	cellular
A0A1Q6DSA0	A0A1Q6DSA0	A0A1Q6DSA0	cellular
A8F3A7	A8F3A7	A8F3A7	cellular
C5C8C8	C5C8C8	C5C8C8	cellular
A0A0N4ZLB1	A0A0N4ZLB1	A0A0N4ZLB1	cellular
A0A250X876	A0A250X876	A0A250X876	cellular
E9ACJ5	E9ACJ5	E9ACJ5	cellular
L2FMU5	L2FMU5	L2FMU5	cellular
A0A183BK38	A0A183BK38	A0A183BK38	cellular
ERX556127.29.fa.dc..contig_44094_10...MM01	ERX556127.29.fa.dc..contig_44094_10...MM01	ERX556127.29.fa.dc..contig_44094_10...MM01	viral
A0A0D2LTN7	A0A0D2LTN7	A0A0D2LTN7	cellular
A0A166TCQ3	A0A166TCQ3	A0A166TCQ3	cellular
W7TH77	W7TH77	W7TH77	cellular
ERX556063.22.fa.dc..contig_3057_9...MM05	ERX556063.22.fa.dc..contig_3057_9...MM05	ERX556063.22.fa.dc..contig_3057_9...MM05	viral
ERX556088.21.fa.dc..contig_6996_41...MM01	ERX556088.21.fa.dc..contig_6996_41...MM01	ERX556088.21.fa.dc..contig_6996_41...MM01	viral
ERX556091.17.fa.dc..contig_2052_2...MM12	ERX556091.17.fa.dc..contig_2052_2...MM12	ERX556091.17.fa.dc..contig_2052_2...MM12	viral
ERX556101.28.fa.dc..contig_659_56...LP04	ERX556101.28.fa.dc..contig_659_56...LP04	ERX556101.28.fa.dc..contig_659_56...LP04	viral
ERX556054.16.fa.dc..contig_6626_56...MM09	ERX556054.16.fa.dc..contig_6626_56...MM09	ERX556054.16.fa.dc..contig_6626_56...MM09	viral
ERX556054.25.fa.dc..contig_8722_44...MM01	ERX556054.25.fa.dc..contig_8722_44...MM01	ERX556054.25.fa.dc..contig_8722_44...MM01	viral
ERX556059.13.fa.dc..contig_65447_7...MM12	ERX556059.13.fa.dc..contig_65447_7...MM12	ERX556059.13.fa.dc..contig_65447_7...MM12	viral
ERX556059.41.fa.dc..contig_8126_16...MM12	ERX556059.41.fa.dc..contig_8126_16...MM12	ERX556059.41.fa.dc..contig_8126_16...MM12	viral
ERX555951.10.fa.dc..contig_17408_79...MM01	ERX555951.10.fa.dc..contig_17408_79...MM01	ERX555951.10.fa.dc..contig_17408_79...MM01	viral
T0M2J6	T0M2J6	T0M2J6	cellular
A0A2I0QLF3	A0A2I0QLF3	A0A2I0QLF3	cellular
A0A1D2VE97	A0A1D2VE97	A0A1D2VE97	cellular
A0A1V0GQM1	A0A1V0GQM1	A0A1V0GQM1	cellular
A0A1L2ZPG6	A0A1L2ZPG6	A0A1L2ZPG6	cellular
