clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552244.9|contig_20694_8|MM01	ERX552244.9	contig_20694_8	MM01	ERX552244.9.fa.dc..contig_20694_8...MM01	ERX552244.9.fa.dc.faa	181
ERX552257.96|contig_58673_1|MM11	ERX552257.96	contig_58673_1	MM11	ERX552257.96.fa.dc..contig_58673_1...MM11	ERX552257.96.fa.dc.faa	176
ERX552270.107|contig_1408_32|MM05	ERX552270.107	contig_1408_32	MM05	ERX552270.107.fa.dc..contig_1408_32...MM05	ERX552270.107.fa.dc.faa	174
ERX552274.9|contig_93856_14|MM01	ERX552274.9	contig_93856_14	MM01	ERX552274.9.fa.dc..contig_93856_14...MM01	ERX552274.9.fa.dc.faa	189
ERX555915.1|contig_52625_12|MM08	ERX555915.1	contig_52625_12	MM08	ERX555915.1.fa.dc..contig_52625_12...MM08	ERX555915.1.fa.dc.faa	181
ERX555933.51|contig_25536_4|MM06	ERX555933.51	contig_25536_4	MM06	ERX555933.51.fa.dc..contig_25536_4...MM06	ERX555933.51.fa.dc.faa	176
ERX555963.2|contig_72872_15|MM07	ERX555963.2	contig_72872_15	MM07	ERX555963.2.fa.dc..contig_72872_15...MM07	ERX555963.2.fa.dc.faa	171
ERX556043.42|contig_69503_11|MM15	ERX556043.42	contig_69503_11	MM15	ERX556043.42.fa.dc..contig_69503_11...MM15	ERX556043.42.fa.dc.faa	206
SRX802077.35|contig_5485_45|MM13	SRX802077.35	contig_5485_45	MM13	SRX802077.35.fa.dc..contig_5485_45...MM13	SRX802077.35.fa.dc.faa	205
SRX802143.100|contig_59986_5|MM07	SRX802143.100	contig_59986_5	MM07	SRX802143.100.fa.dc..contig_59986_5...MM07	SRX802143.100.fa.dc.faa	179
SRX802143.125|contig_8432_9|IR01	SRX802143.125	contig_8432_9	IR01	SRX802143.125.fa.dc..contig_8432_9...IR01	SRX802143.125.fa.dc.faa	177
