clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552244.17|contig_41245_13|MM09	ERX552244.17	contig_41245_13	MM09	ERX552244.17.fa.dc..contig_41245_13...MM09	ERX552244.17.fa.dc.faa	604
ERX552254.5|contig_9118_31|MM01	ERX552254.5	contig_9118_31	MM01	ERX552254.5.fa.dc..contig_9118_31...MM01	ERX552254.5.fa.dc.faa	530
ERX552270.56|contig_4343_8|MM09	ERX552270.56	contig_4343_8	MM09	ERX552270.56.fa.dc..contig_4343_8...MM09	ERX552270.56.fa.dc.faa	606
ERX552302.18|contig_8566_4|MM09	ERX552302.18	contig_8566_4	MM09	ERX552302.18.fa.dc..contig_8566_4...MM09	ERX552302.18.fa.dc.faa	604
ERX552302.42|contig_5953_19|MM01	ERX552302.42	contig_5953_19	MM01	ERX552302.42.fa.dc..contig_5953_19...MM01	ERX552302.42.fa.dc.faa	613
ERX555926.27|contig_351_11|MM01	ERX555926.27	contig_351_11	MM01	ERX555926.27.fa.dc..contig_351_11...MM01	ERX555926.27.fa.dc.faa	612
ERX555941.31|contig_2895_1|MM09	ERX555941.31	contig_2895_1	MM09	ERX555941.31.fa.dc..contig_2895_1...MM09	ERX555941.31.fa.dc.faa	627
ERX555945.3|contig_5025_24|MM09	ERX555945.3	contig_5025_24	MM09	ERX555945.3.fa.dc..contig_5025_24...MM09	ERX555945.3.fa.dc.faa	534
ERX555967.26|contig_3048_54|MM01	ERX555967.26	contig_3048_54	MM01	ERX555967.26.fa.dc..contig_3048_54...MM01	ERX555967.26.fa.dc.faa	725
ERX555967.81|contig_20121_29|MM01	ERX555967.81	contig_20121_29	MM01	ERX555967.81.fa.dc..contig_20121_29...MM01	ERX555967.81.fa.dc.faa	600
ERX556009.10|contig_8666_23|MM01	ERX556009.10	contig_8666_23	MM01	ERX556009.10.fa.dc..contig_8666_23...MM01	ERX556009.10.fa.dc.faa	614
ERX556049.12|contig_18569_24|MM01	ERX556049.12	contig_18569_24	MM01	ERX556049.12.fa.dc..contig_18569_24...MM01	ERX556049.12.fa.dc.faa	610
ERX556106.20|contig_1611_176|MM01	ERX556106.20	contig_1611_176	MM01	ERX556106.20.fa.dc..contig_1611_176...MM01	ERX556106.20.fa.dc.faa	610
ERX556127.29|contig_14182_29|MM01	ERX556127.29	contig_14182_29	MM01	ERX556127.29.fa.dc..contig_14182_29...MM01	ERX556127.29.fa.dc.faa	601
