align_id	align_description	matched_label	group
521045.Kole_1624	521045.Kole_1624	521045.Kole_1624	cellular
543734.LCABL_15840	543734.LCABL_15840	543734.LCABL_15840	cellular
224326.BB_0727	224326.BB_0727	224326.BB_0727	cellular
306902.XP_002618352.1	306902.XP_002618352.1	306902.XP_002618352.1	cellular
304371.MCP_0203	304371.MCP_0203	304371.MCP_0203	cellular
294747.XP_002546616.1	294747.XP_002546616.1	294747.XP_002546616.1	cellular
294746.XP_001485297.1	294746.XP_001485297.1	294746.XP_001485297.1	cellular
291272.BPEN_624	291272.BPEN_624	291272.BPEN_624	cellular
290340.AAur_2976	290340.AAur_2976	290340.AAur_2976	cellular
288705.RSal33209_0973	288705.RSal33209_0973	288705.RSal33209_0973	cellular
284593.XP_446318.1	284593.XP_446318.1	284593.XP_446318.1	cellular
284590.XP_451245.1	284590.XP_451245.1	284590.XP_451245.1	cellular
28377.ENSACAP00000005828	28377.ENSACAP00000005828	28377.ENSACAP00000005828	cellular
688269.Theth_1881	688269.Theth_1881	688269.Theth_1881	cellular
701521.PECL_893	701521.PECL_893	701521.PECL_893	cellular
660470.ThebaDRAFT_1046	660470.ThebaDRAFT_1046	660470.ThebaDRAFT_1046	cellular
663321.REG_0931	663321.REG_0931	663321.REG_0931	cellular
665571.STHERM_c02670	665571.STHERM_c02670	665571.STHERM_c02670	cellular
680646.RMDY18_04230	680646.RMDY18_04230	680646.RMDY18_04230	cellular
59729.ENSTGUP00000003673	59729.ENSTGUP00000003673	59729.ENSTGUP00000003673	cellular
622637.Met49242DRAFT_1093	622637.Met49242DRAFT_1093	622637.Met49242DRAFT_1093	cellular
644223.XP_002491303.1	644223.XP_002491303.1	644223.XP_002491303.1	cellular
644548.SCNU_01225	644548.SCNU_01225	644548.SCNU_01225	cellular
987059.RBXJA2T_14491	987059.RBXJA2T_14491	987059.RBXJA2T_14491	cellular
272623.L0002	272623.L0002	272623.L0002	cellular
706191.PANA_3869	706191.PANA_3869	706191.PANA_3869	cellular
754027.HMPREF9554_01403	754027.HMPREF9554_01403	754027.HMPREF9554_01403	cellular
744872.Spica_0182	744872.Spica_0182	744872.Spica_0182	cellular
713605.LineA_010100005037	713605.LineA_010100005037	713605.LineA_010100005037	cellular
281090.Lxx07530	281090.Lxx07530	281090.Lxx07530	cellular
7897.ENSLACP00000021730	7897.ENSLACP00000021730	7897.ENSLACP00000021730	cellular
768679.TTX_1277	768679.TTX_1277	768679.TTX_1277	cellular
764298.STRMA_0786	764298.STRMA_0786	764298.STRMA_0786	cellular
760011.Spico_1788	760011.Spico_1788	760011.Spico_1788	cellular
257314.LJ1079	257314.LJ1079	257314.LJ1079	cellular
261317.BCTU_197	261317.BCTU_197	261317.BCTU_197	cellular
243275.TDE0064	243275.TDE0064	243275.TDE0064	cellular
7955.ENSDARP00000023022	7955.ENSDARP00000023022	7955.ENSDARP00000023022	cellular
266835.mll5025	266835.mll5025	266835.mll5025	cellular
269796.Rru_A3407	269796.Rru_A3407	269796.Rru_A3407	cellular
264199.stu1197	264199.stu1197	264199.stu1197	cellular
266779.Meso_3467	266779.Meso_3467	266779.Meso_3467	cellular
7955.ENSDARP00000110274	7955.ENSDARP00000110274	7955.ENSDARP00000110274	cellular
243276.TP0108	243276.TP0108	243276.TP0108	cellular
859654.BVAF_605	859654.BVAF_605	859654.BVAF_605	cellular
861360.AARI_23750	861360.AARI_23750	861360.AARI_23750	cellular
8090.ENSORLP00000002140	8090.ENSORLP00000002140	8090.ENSORLP00000002140	cellular
8364.ENSXETP00000015829	8364.ENSXETP00000015829	8364.ENSXETP00000015829	cellular
8083.ENSXMAP00000002142	8083.ENSXMAP00000002142	8083.ENSXMAP00000002142	cellular
8083.ENSXMAP00000010535	8083.ENSXMAP00000010535	8083.ENSXMAP00000010535	cellular
8049.ENSGMOP00000008815	8049.ENSGMOP00000008815	8049.ENSGMOP00000008815	cellular
8049.ENSGMOP00000015931	8049.ENSGMOP00000015931	8049.ENSGMOP00000015931	cellular
