clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552252.49|contig_84629_15|MM09	ERX552252.49	contig_84629_15	MM09	ERX552252.49.fa.dc..contig_84629_15...MM09	ERX552252.49.fa.dc.faa	234
ERX552253.3|contig_17914_9|MM09	ERX552253.3	contig_17914_9	MM09	ERX552253.3.fa.dc..contig_17914_9...MM09	ERX552253.3.fa.dc.faa	126
ERX552254.13|contig_33076_7|MM16	ERX552254.13	contig_33076_7	MM16	ERX552254.13.fa.dc..contig_33076_7...MM16	ERX552254.13.fa.dc.faa	251
ERX552254.5|contig_9118_34|MM01	ERX552254.5	contig_9118_34	MM01	ERX552254.5.fa.dc..contig_9118_34...MM01	ERX552254.5.fa.dc.faa	234
ERX552255.59|contig_29295_7|MM09	ERX552255.59	contig_29295_7	MM09	ERX552255.59.fa.dc..contig_29295_7...MM09	ERX552255.59.fa.dc.faa	148
ERX552255.7|contig_869_8|MM09	ERX552255.7	contig_869_8	MM09	ERX552255.7.fa.dc..contig_869_8...MM09	ERX552255.7.fa.dc.faa	126
ERX552255.7|contig_4107_18|MM09	ERX552255.7	contig_4107_18	MM09	ERX552255.7.fa.dc..contig_4107_18...MM09	ERX552255.7.fa.dc.faa	237
ERX552256.7|contig_23928_1|MM01	ERX552256.7	contig_23928_1	MM01	ERX552256.7.fa.dc..contig_23928_1...MM01	ERX552256.7.fa.dc.faa	74
ERX552257.96|contig_70780_14|MM11	ERX552257.96	contig_70780_14	MM11	ERX552257.96.fa.dc..contig_70780_14...MM11	ERX552257.96.fa.dc.faa	261
ERX552270.10|contig_4764_19|MM09	ERX552270.10	contig_4764_19	MM09	ERX552270.10.fa.dc..contig_4764_19...MM09	ERX552270.10.fa.dc.faa	69
ERX552270.42|contig_13650_27|MM09	ERX552270.42	contig_13650_27	MM09	ERX552270.42.fa.dc..contig_13650_27...MM09	ERX552270.42.fa.dc.faa	227
ERX552270.51|contig_628_9|MM01	ERX552270.51	contig_628_9	MM01	ERX552270.51.fa.dc..contig_628_9...MM01	ERX552270.51.fa.dc.faa	96
ERX552270.56|contig_4353_133|MM09	ERX552270.56	contig_4353_133	MM09	ERX552270.56.fa.dc..contig_4353_133...MM09	ERX552270.56.fa.dc.faa	237
ERX552277.41|contig_80257_8|MM09	ERX552277.41	contig_80257_8	MM09	ERX552277.41.fa.dc..contig_80257_8...MM09	ERX552277.41.fa.dc.faa	237
ERX552296.31|contig_27115_23|MM01	ERX552296.31	contig_27115_23	MM01	ERX552296.31.fa.dc..contig_27115_23...MM01	ERX552296.31.fa.dc.faa	261
ERX552296.3|contig_62860_4|MM01	ERX552296.3	contig_62860_4	MM01	ERX552296.3.fa.dc..contig_62860_4...MM01	ERX552296.3.fa.dc.faa	241
ERX552296.8|contig_54970_18|MM01	ERX552296.8	contig_54970_18	MM01	ERX552296.8.fa.dc..contig_54970_18...MM01	ERX552296.8.fa.dc.faa	266
ERX552298.2|contig_68360_16|MM09	ERX552298.2	contig_68360_16	MM09	ERX552298.2.fa.dc..contig_68360_16...MM09	ERX552298.2.fa.dc.faa	237
ERX552298.2|contig_178080_6|MM09	ERX552298.2	contig_178080_6	MM09	ERX552298.2.fa.dc..contig_178080_6...MM09	ERX552298.2.fa.dc.faa	126
ERX552302.17|contig_37807_5|MM07	ERX552302.17	contig_37807_5	MM07	ERX552302.17.fa.dc..contig_37807_5...MM07	ERX552302.17.fa.dc.faa	303
ERX552302.18|contig_21035_8|MM09	ERX552302.18	contig_21035_8	MM09	ERX552302.18.fa.dc..contig_21035_8...MM09	ERX552302.18.fa.dc.faa	130
ERX552302.18|contig_29928_6|MM09	ERX552302.18	contig_29928_6	MM09	ERX552302.18.fa.dc..contig_29928_6...MM09	ERX552302.18.fa.dc.faa	234
