MAG_ID	Family	Clade	Clade_abbreviation	habitat	num_contigs	sum_len_contigs	min_len_contigs	avg_len_contigs	max_len_contigs	N50_contig_length	num_proteins	sum_protein_length	min_protein_len	avg_protein_len	max_protein_len	mag_id_original	mag_id_short	fasta_file	fasta_path
SRX327722.61.dc.fa	Asfarviridae	Asfarviridae_clade_1	AF01	mine tailing	4	202406	29961	50601.5	83250	47579	179	63852	52	356.7	2336	SRX327722.61.dc.fa	SRX327722.61	SRX327722.61.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX327722.61.fa.dc.faa
SRX802982.1.dc.fa	Asfarviridae	Asfarviridae_clade_1	AF01	Marine	6	120034	16724	20005.7	26918	18923	131	35781	33	273.1	1528	SRX802982.1.dc.fa	SRX802982.1	SRX802982.1.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802982.1.fa.dc.faa
ERX556003.45.dc.fa	Asfarviridae	Asfarviridae_clade_2	AF02	Marine	13	246693	10799	18976.4	32730	19050	215	74838	39	348.1	2045	ERX556003.45.dc.fa	ERX556003.45	ERX556003.45.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX556003.45.fa.dc.faa
SRX319064.32.dc.fa	Asfarviridae	Asfarviridae_clade_2	AF02	Freshwater	8	154393	10202	19299.1	31001	27897	145	47013	25	324.2	2328	SRX319064.32.dc.fa	SRX319064.32	SRX319064.32.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX319064.32.fa.dc.faa
SRX319065.14.dc.fa	Asfarviridae	Asfarviridae_clade_2	AF02	Freshwater	3	342906	35510	114302.0	178940	178940	305	103080	33	338.0	2537	SRX319065.14.dc.fa	SRX319065.14	SRX319065.14.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX319065.14.fa.dc.faa
SRX802963.109.dc.fa	Asfarviridae	Asfarviridae_clade_2	AF02	Marine	8	175258	10912	21907.3	73692	18153	161	52657	34	327.1	1616	SRX802963.109.dc.fa	SRX802963.109	SRX802963.109.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802963.109.fa.dc.faa
ERX552270.16.dc.fa	Asfarviridae	Asfarviridae_clade_5	AF05	Marine	10	262392	11348	26239.2	70640	25815	229	77951	31	340.4	3345	ERX552270.16.dc.fa	ERX552270.16	ERX552270.16.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552270.16.fa.dc.faa
ERX552244.21.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_1	EP01	Marine	8	298476	11490	37309.5	104897	74184	304	93801	38	308.6	4979	ERX552244.21.dc.fa	ERX552244.21	ERX552244.21.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552244.21.fa.dc.faa
ERX552277.6.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_1	EP01	Marine	7	262606	14180	37515.1	88268	68927	271	82472	56	304.3	4958	ERX552277.6.dc.fa	ERX552277.6	ERX552277.6.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552277.6.fa.dc.faa
ERX552279.2.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_1	EP01	Marine	16	267823	10222	16738.9	30852	17613	238	85527	32	359.4	3727	ERX552279.2.dc.fa	ERX552279.2	ERX552279.2.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552279.2.fa.dc.faa
ERX552288.49.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_1	EP01	Marine	3	274224	19800	91408.0	149792	149792	292	84065	35	287.9	1886	ERX552288.49.dc.fa	ERX552288.49	ERX552288.49.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552288.49.fa.dc.faa
ERX552302.38.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_1	EP01	Marine	5	280711	10578	56142.2	102370	99936	277	88151	47	318.2	4979	ERX552302.38.dc.fa	ERX552302.38	ERX552302.38.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552302.38.fa.dc.faa
ERX555967.47.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_12	EP12	Marine	6	185312	11470	30885.3	77430	49316	167	54227	42	324.7	2662	ERX555967.47.dc.fa	ERX555967.47	ERX555967.47.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555967.47.fa.dc.faa
ERX250271.266.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_13	EP13	treated palm oil mill effluent	2	103809	50580	51904.5	53229	53229	124	30594	39	246.7	1319	ERX250271.266.dc.fa	ERX250271.266	ERX250271.266.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX250271.266.fa.dc.faa
SRX802202.129.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_2	EP02	Marine	5	362242	16178	72448.4	152734	91444	380	111887	33	294.4	4412	SRX802202.129.dc.fa	SRX802202.129	SRX802202.129.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802202.129.fa.dc.faa
ERX288947.60.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_3	EP03	Marine	2	195216	77352	97608.0	117864	117864	207	59034	31	285.2	1866	ERX288947.60.dc.fa	ERX288947.60	ERX288947.60.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX288947.60.fa.dc.faa
SRX802073.108.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_4	EP04	Marine	3	124871	33807	41623.7	50203	40861	130	35657	31	274.3	1499	SRX802073.108.dc.fa	SRX802073.108	SRX802073.108.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX802073.108.fa.dc.faa
ERX552258.48.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	24	480389	11514	20016.2	39052	22937	596	147111	21	246.8	4285	ERX552258.48.dc.fa	ERX552258.48	ERX552258.48.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552258.48.fa.dc.faa
ERX552277.13.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	24	717475	12510	29894.8	73982	34603	844	214000	30	253.6	4285	ERX552277.13.dc.fa	ERX552277.13	ERX552277.13.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552277.13.fa.dc.faa
ERX552302.24.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	24	650276	12251	27094.8	80719	31420	793	191450	23	241.4	1837	ERX552302.24.dc.fa	ERX552302.24	ERX552302.24.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552302.24.fa.dc.faa
ERX555984.23.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	16	360332	10512	22520.8	41276	24927	477	116450	20	244.1	1712	ERX555984.23.dc.fa	ERX555984.23	ERX555984.23.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX555984.23.fa.dc.faa
SRX803008.74.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	3	316217	55673	105405.7	145855	114689	368	97576	31	265.2	1995	SRX803008.74.dc.fa	SRX803008.74	SRX803008.74.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX803008.74.fa.dc.faa
ERX552244.11.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_6	EP06	Marine	9	213592	10684	23732.4	56425	31366	239	62410	34	261.1	2175	ERX552244.11.dc.fa	ERX552244.11	ERX552244.11.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552244.11.fa.dc.faa
ERX682739.15.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_7	EP07	Freshwater	11	321673	10068	29243.0	131605	46362	417	94045	33	225.5	2200	ERX682739.15.dc.fa	ERX682739.15	ERX682739.15.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX682739.15.fa.dc.faa
ERX552299.29.dc.fa	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_8	EP08	Marine	3	144038	11160	48012.7	100187	100187	176	45409	32	258.0	1498	ERX552299.29.dc.fa	ERX552299.29	ERX552299.29.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552299.29.fa.dc.faa
ERX552261.5.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	9	168731	11680	18747.9	37867	23653	189	53057	33	280.7	2747	ERX552261.5.dc.fa	ERX552261.5	ERX552261.5.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552261.5.fa.dc.faa
ERX552261.56.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	307536	12839	27957.8	45669	27201	346	93418	30	270.0	1639	ERX552261.56.dc.fa	ERX552261.56	ERX552261.56.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552261.56.fa.dc.faa
ERX552270.117.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	6	155701	14806	25950.2	43673	38518	166	49778	21	299.9	1914	ERX552270.117.dc.fa	ERX552270.117	ERX552270.117.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552270.117.fa.dc.faa
ERX552270.122.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	3	100409	22415	33469.7	54533	54533	112	31495	24	281.2	3340	ERX552270.122.dc.fa	ERX552270.122	ERX552270.122.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/ERX552270.122.fa.dc.faa
SRX331703.30.dc.fa	Iridivoridae	Iridivoridae_clade_1	IR01	Freshwater	14	270703	10180	19335.9	36632	22765	291	82599	37	283.8	1354	SRX331703.30.dc.fa	SRX331703.30	SRX331703.30.fa.dc.faa	/home/dmitrii/projects/gv_project/initial_raw/final_bins_prot/SRX331703.30.fa.dc.faa
