align_id	align_description	matched_label	group
553219.CAMSH0001_0679	553219.CAMSH0001_0679	553219.CAMSH0001_0679	cellular
553218.CAMRE0001_2958	553218.CAMRE0001_2958	553218.CAMRE0001_2958	cellular
382638.Hac_0644	382638.Hac_0644	382638.Hac_0644	cellular
360107.CHAB381_1421	360107.CHAB381_1421	360107.CHAB381_1421	cellular
360105.CCV52592_1414	360105.CCV52592_1414	360105.CCV52592_1414	cellular
360104.CCC13826_1408	360104.CCC13826_1408	360104.CCC13826_1408	cellular
354242.Cjejjejuni_010100004405	354242.Cjejjejuni_010100004405	354242.Cjejjejuni_010100004405	cellular
35128.Thaps268965	35128.Thaps268965	35128.Thaps268965	cellular
339671.Asuc_0185	339671.Asuc_0185	339671.Asuc_0185	cellular
329726.AM1_1630	329726.AM1_1630	329726.AM1_1630	cellular
321332.CYB_1587	321332.CYB_1587	321332.CYB_1587	cellular
321327.CYA_1444	321327.CYA_1444	321327.CYA_1444	cellular
ERX556015.14.fa.dc..contig_66525_5...MM09	ERX556015.14.fa.dc..contig_66525_5...MM09	ERX556015.14.fa.dc..contig_66525_5...MM09	viral
ERX556017.61.fa.dc..contig_73878_18...MM09	ERX556017.61.fa.dc..contig_73878_18...MM09	ERX556017.61.fa.dc..contig_73878_18...MM09	viral
ERX555978.20.fa.dc..contig_33772_11...MM09	ERX555978.20.fa.dc..contig_33772_11...MM09	ERX555978.20.fa.dc..contig_33772_11...MM09	viral
ERX555978.8.fa.dc..contig_10978_18...MM01	ERX555978.8.fa.dc..contig_10978_18...MM01	ERX555978.8.fa.dc..contig_10978_18...MM01	viral
ERX556009.6.fa.dc..contig_12041_14...MM01	ERX556009.6.fa.dc..contig_12041_14...MM01	ERX556009.6.fa.dc..contig_12041_14...MM01	viral
ERX556009.7.fa.dc..contig_6442_26...MM01	ERX556009.7.fa.dc..contig_6442_26...MM01	ERX556009.7.fa.dc..contig_6442_26...MM01	viral
ERX555926.27.fa.dc..contig_30772_11...MM01	ERX555926.27.fa.dc..contig_30772_11...MM01	ERX555926.27.fa.dc..contig_30772_11...MM01	viral
ERX555941.31.fa.dc..contig_14892_4...MM09	ERX555941.31.fa.dc..contig_14892_4...MM09	ERX555941.31.fa.dc..contig_14892_4...MM09	viral
ERX555945.3.fa.dc..contig_3898_19...MM09	ERX555945.3.fa.dc..contig_3898_19...MM09	ERX555945.3.fa.dc..contig_3898_19...MM09	viral
ERX555967.90.fa.dc..contig_16658_38...MM01	ERX555967.90.fa.dc..contig_16658_38...MM01	ERX555967.90.fa.dc..contig_16658_38...MM01	viral
ERX556088.18.fa.dc..contig_10377_13...MM01	ERX556088.18.fa.dc..contig_10377_13...MM01	ERX556088.18.fa.dc..contig_10377_13...MM01	viral
32051.SynWH7803_2505	32051.SynWH7803_2505	32051.SynWH7803_2505	cellular
XP_001416185.1	XP_001416185.1	XP_001416185.1	cellular
ERX556101.13.fa.dc..contig_129694_21...MM01	ERX556101.13.fa.dc..contig_129694_21...MM01	ERX556101.13.fa.dc..contig_129694_21...MM01	viral
32049.SYNPCC7002_A1683	32049.SYNPCC7002_A1683	32049.SYNPCC7002_A1683	cellular
ERX556068.30.fa.dc..contig_101664_3...MM01	ERX556068.30.fa.dc..contig_101664_3...MM01	ERX556068.30.fa.dc..contig_101664_3...MM01	viral
