clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552296.3|contig_62860_7|MM01	ERX552296.3	contig_62860_7	MM01	ERX552296.3.fa.dc..contig_62860_7...MM01	ERX552296.3.fa.dc.faa	422
ERX552296.3|contig_62860_8|MM01	ERX552296.3	contig_62860_8	MM01	ERX552296.3.fa.dc..contig_62860_8...MM01	ERX552296.3.fa.dc.faa	320
ERX555926.32|contig_26568_21|MM16	ERX555926.32	contig_26568_21	MM16	ERX555926.32.fa.dc..contig_26568_21...MM16	ERX555926.32.fa.dc.faa	488
ERX556031.42|contig_30532_15|MM01	ERX556031.42	contig_30532_15	MM01	ERX556031.42.fa.dc..contig_30532_15...MM01	ERX556031.42.fa.dc.faa	289
ERX556037.19|contig_3706_1|MM01	ERX556037.19	contig_3706_1	MM01	ERX556037.19.fa.dc..contig_3706_1...MM01	ERX556037.19.fa.dc.faa	417
ERX555945.3|contig_5025_23|nan	ERX555945.3	contig_5025_23		ERX555945.3.fa.dc..contig_5025_23	ERX555945.3.fa.dc.faa	208
ERX555978.20|contig_1509_57|nan	ERX555978.20	contig_1509_57		ERX555978.20.fa.dc..contig_1509_57	ERX555978.20.fa.dc.faa	71
ERX556015.14|contig_36866_17|nan	ERX556015.14	contig_36866_17		ERX556015.14.fa.dc..contig_36866_17	ERX556015.14.fa.dc.faa	93
ERX552254.5|contig_9118_30|nan	ERX552254.5	contig_9118_30		ERX552254.5.fa.dc..contig_9118_30	ERX552254.5.fa.dc.faa	219
ERX555926.32|contig_26568_22|nan	ERX555926.32	contig_26568_22		ERX555926.32.fa.dc..contig_26568_22	ERX555926.32.fa.dc.faa	194
ERX556031.42|contig_15517_1|nan	ERX556031.42	contig_15517_1		ERX556031.42.fa.dc..contig_15517_1	ERX556031.42.fa.dc.faa	394
ERX556037.19|contig_146031_1|nan	ERX556037.19	contig_146031_1		ERX556037.19.fa.dc..contig_146031_1	ERX556037.19.fa.dc.faa	236
