align_id	align_description	matched_label	group
1064592.XP_003675941.1	1064592.XP_003675941.1	1064592.XP_003675941.1	cellular
1064592.XP_003673247.1	1064592.XP_003673247.1	1064592.XP_003673247.1	cellular
743525.TSC_c17730	743525.TSC_c17730	743525.TSC_c17730	cellular
710393.HSUHS1_1088	710393.HSUHS1_1088	710393.HSUHS1_1088	cellular
743721.Psesu_1299	743721.Psesu_1299	743721.Psesu_1299	cellular
743525.TSC_c18960	743525.TSC_c18960	743525.TSC_c18960	cellular
771870.XP_003351694.1	771870.XP_003351694.1	771870.XP_003351694.1	cellular
768679.TTX_0863	768679.TTX_0863	768679.TTX_0863	cellular
ERX556005.35.fa.dc..contig_1072_23...MM09	ERX556005.35.fa.dc..contig_1072_23...MM09	ERX556005.35.fa.dc..contig_1072_23...MM09	viral
ERX555990.11.fa.dc..contig_699_6...MM09	ERX555990.11.fa.dc..contig_699_6...MM09	ERX555990.11.fa.dc..contig_699_6...MM09	viral
ERX555987.28.fa.dc..contig_15542_40...MM09	ERX555987.28.fa.dc..contig_15542_40...MM09	ERX555987.28.fa.dc..contig_15542_40...MM09	viral
ERX555978.20.fa.dc..contig_24397_2...MM09	ERX555978.20.fa.dc..contig_24397_2...MM09	ERX555978.20.fa.dc..contig_24397_2...MM09	viral
ERX555967.81.fa.dc..contig_20121_26...MM01	ERX555967.81.fa.dc..contig_20121_26...MM01	ERX555967.81.fa.dc..contig_20121_26...MM01	viral
4896.SPAC140.01.1	4896.SPAC140.01.1	4896.SPAC140.01.1	cellular
ERX555961.47.fa.dc..contig_1710_37...MM09	ERX555961.47.fa.dc..contig_1710_37...MM09	ERX555961.47.fa.dc..contig_1710_37...MM09	viral
ERX555961.47.fa.dc..contig_42_24...MM09	ERX555961.47.fa.dc..contig_42_24...MM09	ERX555961.47.fa.dc..contig_42_24...MM09	viral
ERX555961.43.fa.dc..contig_774_20...MM09	ERX555961.43.fa.dc..contig_774_20...MM09	ERX555961.43.fa.dc..contig_774_20...MM09	viral
ERX555951.28.fa.dc..contig_105159_8...MM09	ERX555951.28.fa.dc..contig_105159_8...MM09	ERX555951.28.fa.dc..contig_105159_8...MM09	viral
391008.Smal_1538	391008.Smal_1538	391008.Smal_1538	cellular
391592.CMTB2_02488	391592.CMTB2_02488	391592.CMTB2_02488	cellular
381046.XP_002553731.1	381046.XP_002553731.1	381046.XP_002553731.1	cellular
382638.Hac_0376	382638.Hac_0376	382638.Hac_0376	cellular
383407.Xoryp_010100012725	383407.Xoryp_010100012725	383407.Xoryp_010100012725	cellular
384616.Pisl_0670	384616.Pisl_0670	384616.Pisl_0670	cellular
3711.Bra031877.1-P	3711.Bra031877.1-P	3711.Bra031877.1-P	cellular
379508.XP_001525346.1	379508.XP_001525346.1	379508.XP_001525346.1	cellular
380749.HY04AAS1_0305	380749.HY04AAS1_0305	380749.HY04AAS1_0305	cellular
380749.HY04AAS1_0741	380749.HY04AAS1_0741	380749.HY04AAS1_0741	cellular
638303.Thal_1402	638303.Thal_1402	638303.Thal_1402	cellular
39946.BGIOSGA029883-PA	39946.BGIOSGA029883-PA	39946.BGIOSGA029883-PA	cellular
397948.Cmaq_1355	397948.Cmaq_1355	397948.Cmaq_1355	cellular
402676.XP_002171552.1	402676.XP_002171552.1	402676.XP_002171552.1	cellular
39947.LOC_Os09g20440.1	39947.LOC_Os09g20440.1	39947.LOC_Os09g20440.1	cellular
ERX555951.15.fa.dc..contig_51296_7...MM09	ERX555951.15.fa.dc..contig_51296_7...MM09	ERX555951.15.fa.dc..contig_51296_7...MM09	viral
ERX555951.28.fa.dc..contig_64698_14...MM09	ERX555951.28.fa.dc..contig_64698_14...MM09	ERX555951.28.fa.dc..contig_64698_14...MM09	viral
4113.PGSC0003DMT400053128	4113.PGSC0003DMT400053128	4113.PGSC0003DMT400053128	cellular
410359.Pcal_2128	410359.Pcal_2128	410359.Pcal_2128	cellular
4081.Solyc04g055030.1.1	4081.Solyc04g055030.1.1	4081.Solyc04g055030.1.1	cellular
4081.Solyc04g055020.1.1	4081.Solyc04g055020.1.1	4081.Solyc04g055020.1.1	cellular
ERX555917.28.fa.dc..contig_404_25...MM09	ERX555917.28.fa.dc..contig_404_25...MM09	ERX555917.28.fa.dc..contig_404_25...MM09	viral
ERX555926.27.fa.dc..contig_351_15...MM01	ERX555926.27.fa.dc..contig_351_15...MM01	ERX555926.27.fa.dc..contig_351_15...MM01	viral
ERX555913.32.fa.dc..contig_8258_46...MM09	ERX555913.32.fa.dc..contig_8258_46...MM09	ERX555913.32.fa.dc..contig_8258_46...MM09	viral
4113.PGSC0003DMT400086943	4113.PGSC0003DMT400086943	4113.PGSC0003DMT400086943	cellular
ERX555945.3.fa.dc..contig_6012_18...MM09	ERX555945.3.fa.dc..contig_6012_18...MM09	ERX555945.3.fa.dc..contig_6012_18...MM09	viral
