clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288973.1|contig_356_12|MM01	ERX288973.1	contig_356_12	MM01	ERX288973.1.fa.dc..contig_356_12...MM01	ERX288973.1.fa.dc.faa	555
ERX288973.1|contig_356_13|MM01	ERX288973.1	contig_356_13	MM01	ERX288973.1.fa.dc..contig_356_13...MM01	ERX288973.1.fa.dc.faa	416
ERX552270.100|contig_9516_7|MM01	ERX552270.100	contig_9516_7	MM01	ERX552270.100.fa.dc..contig_9516_7...MM01	ERX552270.100.fa.dc.faa	82
ERX552270.100|contig_9516_8|MM01	ERX552270.100	contig_9516_8	MM01	ERX552270.100.fa.dc..contig_9516_8...MM01	ERX552270.100.fa.dc.faa	127
ERX552274.9|contig_13358_14|MM01	ERX552274.9	contig_13358_14	MM01	ERX552274.9.fa.dc..contig_13358_14...MM01	ERX552274.9.fa.dc.faa	840
ERX552296.45|contig_89073_3|MM01	ERX552296.45	contig_89073_3	MM01	ERX552296.45.fa.dc..contig_89073_3...MM01	ERX552296.45.fa.dc.faa	402
ERX555967.81|contig_20121_32|MM01	ERX555967.81	contig_20121_32	MM01	ERX555967.81.fa.dc..contig_20121_32...MM01	ERX555967.81.fa.dc.faa	69
ERX555978.8|contig_10978_18|MM01	ERX555978.8	contig_10978_18	MM01	ERX555978.8.fa.dc..contig_10978_18...MM01	ERX555978.8.fa.dc.faa	832
ERX556017.61|contig_73878_18|MM09	ERX556017.61	contig_73878_18	MM09	ERX556017.61.fa.dc..contig_73878_18...MM09	ERX556017.61.fa.dc.faa	344
ERX556028.57|contig_19068_56|MM01	ERX556028.57	contig_19068_56	MM01	ERX556028.57.fa.dc..contig_19068_56...MM01	ERX556028.57.fa.dc.faa	117
ERX556101.13|contig_129694_21|MM01	ERX556101.13	contig_129694_21	MM01	ERX556101.13.fa.dc..contig_129694_21...MM01	ERX556101.13.fa.dc.faa	384
