clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552243.80|contig_6750_21|MM01	ERX552243.80	contig_6750_21	MM01	ERX552243.80.fa.dc..contig_6750_21...MM01	ERX552243.80.fa.dc.faa	484
ERX552252.1|contig_18116_19|MM01	ERX552252.1	contig_18116_19	MM01	ERX552252.1.fa.dc..contig_18116_19...MM01	ERX552252.1.fa.dc.faa	491
ERX552252.57|contig_3542_1|LP01	ERX552252.57	contig_3542_1	LP01	ERX552252.57.fa.dc..contig_3542_1...LP01	ERX552252.57.fa.dc.faa	504
ERX552255.59|contig_40456_17|MM09	ERX552255.59	contig_40456_17	MM09	ERX552255.59.fa.dc..contig_40456_17...MM09	ERX552255.59.fa.dc.faa	489
ERX552255.59|contig_119760_25|MM09	ERX552255.59	contig_119760_25	MM09	ERX552255.59.fa.dc..contig_119760_25...MM09	ERX552255.59.fa.dc.faa	85
ERX552256.4|contig_79373_13|MM01	ERX552256.4	contig_79373_13	MM01	ERX552256.4.fa.dc..contig_79373_13...MM01	ERX552256.4.fa.dc.faa	506
ERX552256.7|contig_5916_3|MM01	ERX552256.7	contig_5916_3	MM01	ERX552256.7.fa.dc..contig_5916_3...MM01	ERX552256.7.fa.dc.faa	491
ERX552256.7|contig_51555_5|MM01	ERX552256.7	contig_51555_5	MM01	ERX552256.7.fa.dc..contig_51555_5...MM01	ERX552256.7.fa.dc.faa	485
ERX552258.48|contig_3719_11|EP05	ERX552258.48	contig_3719_11	EP05	ERX552258.48.fa.dc..contig_3719_11...EP05	ERX552258.48.fa.dc.faa	493
ERX552270.10|contig_15547_15|MM09	ERX552270.10	contig_15547_15	MM09	ERX552270.10.fa.dc..contig_15547_15...MM09	ERX552270.10.fa.dc.faa	555
ERX552270.114|contig_5668_11|MM01	ERX552270.114	contig_5668_11	MM01	ERX552270.114.fa.dc..contig_5668_11...MM01	ERX552270.114.fa.dc.faa	473
ERX552270.24|contig_35096_27|MM01	ERX552270.24	contig_35096_27	MM01	ERX552270.24.fa.dc..contig_35096_27...MM01	ERX552270.24.fa.dc.faa	359
ERX552270.42|contig_13650_3|MM09	ERX552270.42	contig_13650_3	MM09	ERX552270.42.fa.dc..contig_13650_3...MM09	ERX552270.42.fa.dc.faa	554
ERX552270.56|contig_4343_16|MM09	ERX552270.56	contig_4343_16	MM09	ERX552270.56.fa.dc..contig_4343_16...MM09	ERX552270.56.fa.dc.faa	562
ERX552270.61|contig_19699_12|MM12	ERX552270.61	contig_19699_12	MM12	ERX552270.61.fa.dc..contig_19699_12...MM12	ERX552270.61.fa.dc.faa	91
ERX552270.62|contig_9540_28|MM01	ERX552270.62	contig_9540_28	MM01	ERX552270.62.fa.dc..contig_9540_28...MM01	ERX552270.62.fa.dc.faa	376
ERX552270.62|contig_9540_29|MM01	ERX552270.62	contig_9540_29	MM01	ERX552270.62.fa.dc..contig_9540_29...MM01	ERX552270.62.fa.dc.faa	128
ERX552270.94|contig_21913_8|MM01	ERX552270.94	contig_21913_8	MM01	ERX552270.94.fa.dc..contig_21913_8...MM01	ERX552270.94.fa.dc.faa	509
ERX552274.21|contig_1652_2|MM01	ERX552274.21	contig_1652_2	MM01	ERX552274.21.fa.dc..contig_1652_2...MM01	ERX552274.21.fa.dc.faa	492
ERX552277.13|contig_10353_21|EP05	ERX552277.13	contig_10353_21	EP05	ERX552277.13.fa.dc..contig_10353_21...EP05	ERX552277.13.fa.dc.faa	493
ERX552282.42|contig_26916_30|MM05	ERX552282.42	contig_26916_30	MM05	ERX552282.42.fa.dc..contig_26916_30...MM05	ERX552282.42.fa.dc.faa	256
ERX552283.12|contig_11175_21|LP01	ERX552283.12	contig_11175_21	LP01	ERX552283.12.fa.dc..contig_11175_21...LP01	ERX552283.12.fa.dc.faa	553
ERX552285.69|contig_12819_16|MM05	ERX552285.69	contig_12819_16	MM05	ERX552285.69.fa.dc..contig_12819_16...MM05	ERX552285.69.fa.dc.faa	283
ERX552285.69|contig_12819_17|MM05	ERX552285.69	contig_12819_17	MM05	ERX552285.69.fa.dc..contig_12819_17...MM05	ERX552285.69.fa.dc.faa	348
ERX552287.8|contig_2612_13|MM08	ERX552287.8	contig_2612_13	MM08	ERX552287.8.fa.dc..contig_2612_13...MM08	ERX552287.8.fa.dc.faa	513
ERX552292.53|contig_29204_13|MM01	ERX552292.53	contig_29204_13	MM01	ERX552292.53.fa.dc..contig_29204_13...MM01	ERX552292.53.fa.dc.faa	485
ERX552296.13|contig_10984_1|MM01	ERX552296.13	contig_10984_1	MM01	ERX552296.13.fa.dc..contig_10984_1...MM01	ERX552296.13.fa.dc.faa	220
ERX552302.24|contig_4386_53|EP05	ERX552302.24	contig_4386_53	EP05	ERX552302.24.fa.dc..contig_4386_53...EP05	ERX552302.24.fa.dc.faa	493
ERX552302.25|contig_16075_13|MM01	ERX552302.25	contig_16075_13	MM01	ERX552302.25.fa.dc..contig_16075_13...MM01	ERX552302.25.fa.dc.faa	150
ERX552302.42|contig_30774_10|MM01	ERX552302.42	contig_30774_10	MM01	ERX552302.42.fa.dc..contig_30774_10...MM01	ERX552302.42.fa.dc.faa	522
ERX555907.104|contig_39435_17|MM05	ERX555907.104	contig_39435_17	MM05	ERX555907.104.fa.dc..contig_39435_17...MM05	ERX555907.104.fa.dc.faa	511
ERX555907.104|contig_88349_7|MM05	ERX555907.104	contig_88349_7	MM05	ERX555907.104.fa.dc..contig_88349_7...MM05	ERX555907.104.fa.dc.faa	506
ERX555907.107|contig_17918_10|LP01	ERX555907.107	contig_17918_10	LP01	ERX555907.107.fa.dc..contig_17918_10...LP01	ERX555907.107.fa.dc.faa	49
ERX555907.15|contig_29669_16|MM05	ERX555907.15	contig_29669_16	MM05	ERX555907.15.fa.dc..contig_29669_16...MM05	ERX555907.15.fa.dc.faa	507
ERX555907.31|contig_152500_7|LP03	ERX555907.31	contig_152500_7	LP03	ERX555907.31.fa.dc..contig_152500_7...LP03	ERX555907.31.fa.dc.faa	478
ERX555907.40|contig_21084_32|MM05	ERX555907.40	contig_21084_32	MM05	ERX555907.40.fa.dc..contig_21084_32...MM05	ERX555907.40.fa.dc.faa	496
ERX555907.46|contig_10485_12|MM01	ERX555907.46	contig_10485_12	MM01	ERX555907.46.fa.dc..contig_10485_12...MM01	ERX555907.46.fa.dc.faa	478
ERX555907.69|contig_34749_4|LP03	ERX555907.69	contig_34749_4	LP03	ERX555907.69.fa.dc..contig_34749_4...LP03	ERX555907.69.fa.dc.faa	456
ERX555907.72|contig_11659_15|MM09	ERX555907.72	contig_11659_15	MM09	ERX555907.72.fa.dc..contig_11659_15...MM09	ERX555907.72.fa.dc.faa	172
ERX555907.87|contig_15947_21|MM09	ERX555907.87	contig_15947_21	MM09	ERX555907.87.fa.dc..contig_15947_21...MM09	ERX555907.87.fa.dc.faa	280
ERX555907.89|contig_2369_36|MM05	ERX555907.89	contig_2369_36	MM05	ERX555907.89.fa.dc..contig_2369_36...MM05	ERX555907.89.fa.dc.faa	507
ERX555913.32|contig_5316_1|MM09	ERX555913.32	contig_5316_1	MM09	ERX555913.32.fa.dc..contig_5316_1...MM09	ERX555913.32.fa.dc.faa	377
ERX555913.32|contig_17477_1|MM09	ERX555913.32	contig_17477_1	MM09	ERX555913.32.fa.dc..contig_17477_1...MM09	ERX555913.32.fa.dc.faa	191
ERX555913.6|contig_10235_14|MM01	ERX555913.6	contig_10235_14	MM01	ERX555913.6.fa.dc..contig_10235_14...MM01	ERX555913.6.fa.dc.faa	514
ERX555919.35|contig_109803_5|LP04	ERX555919.35	contig_109803_5	LP04	ERX555919.35.fa.dc..contig_109803_5...LP04	ERX555919.35.fa.dc.faa	482
ERX555926.39|contig_13486_17|MM01	ERX555926.39	contig_13486_17	MM01	ERX555926.39.fa.dc..contig_13486_17...MM01	ERX555926.39.fa.dc.faa	479
ERX555927.8|contig_14772_2|LP01	ERX555927.8	contig_14772_2	LP01	ERX555927.8.fa.dc..contig_14772_2...LP01	ERX555927.8.fa.dc.faa	508
ERX555931.15|contig_9184_17|MM05	ERX555931.15	contig_9184_17	MM05	ERX555931.15.fa.dc..contig_9184_17...MM05	ERX555931.15.fa.dc.faa	512
ERX555931.9|contig_29946_7|MM05	ERX555931.9	contig_29946_7	MM05	ERX555931.9.fa.dc..contig_29946_7...MM05	ERX555931.9.fa.dc.faa	507
ERX555933.22|contig_22880_29|MM01	ERX555933.22	contig_22880_29	MM01	ERX555933.22.fa.dc..contig_22880_29...MM01	ERX555933.22.fa.dc.faa	482
ERX555935.160|contig_24009_2|MM05	ERX555935.160	contig_24009_2	MM05	ERX555935.160.fa.dc..contig_24009_2...MM05	ERX555935.160.fa.dc.faa	519
ERX555945.3|contig_5025_27|MM09	ERX555945.3	contig_5025_27	MM09	ERX555945.3.fa.dc..contig_5025_27...MM09	ERX555945.3.fa.dc.faa	568
ERX555951.10|contig_17408_79|MM01	ERX555951.10	contig_17408_79	MM01	ERX555951.10.fa.dc..contig_17408_79...MM01	ERX555951.10.fa.dc.faa	482
ERX555951.15|contig_1905_42|MM09	ERX555951.15	contig_1905_42	MM09	ERX555951.15.fa.dc..contig_1905_42...MM09	ERX555951.15.fa.dc.faa	560
ERX555958.18|contig_160_43|LP01	ERX555958.18	contig_160_43	LP01	ERX555958.18.fa.dc..contig_160_43...LP01	ERX555958.18.fa.dc.faa	115
ERX555958.4|contig_90_25|MM12	ERX555958.4	contig_90_25	MM12	ERX555958.4.fa.dc..contig_90_25...MM12	ERX555958.4.fa.dc.faa	513
ERX555959.40|contig_1852_30|MM05	ERX555959.40	contig_1852_30	MM05	ERX555959.40.fa.dc..contig_1852_30...MM05	ERX555959.40.fa.dc.faa	241
ERX555961.17|contig_1036_2|LP01	ERX555961.17	contig_1036_2	LP01	ERX555961.17.fa.dc..contig_1036_2...LP01	ERX555961.17.fa.dc.faa	505
ERX555961.3|contig_7957_36|LP01	ERX555961.3	contig_7957_36	LP01	ERX555961.3.fa.dc..contig_7957_36...LP01	ERX555961.3.fa.dc.faa	211
ERX555961.47|contig_7436_3|MM09	ERX555961.47	contig_7436_3	MM09	ERX555961.47.fa.dc..contig_7436_3...MM09	ERX555961.47.fa.dc.faa	557
ERX555963.2|contig_72872_16|MM07	ERX555963.2	contig_72872_16	MM07	ERX555963.2.fa.dc..contig_72872_16...MM07	ERX555963.2.fa.dc.faa	530
ERX555965.10|contig_2505_17|MM01	ERX555965.10	contig_2505_17	MM01	ERX555965.10.fa.dc..contig_2505_17...MM01	ERX555965.10.fa.dc.faa	494
ERX555967.111|contig_58202_18|LP01	ERX555967.111	contig_58202_18	LP01	ERX555967.111.fa.dc..contig_58202_18...LP01	ERX555967.111.fa.dc.faa	451
ERX555967.90|contig_20314_54|MM01	ERX555967.90	contig_20314_54	MM01	ERX555967.90.fa.dc..contig_20314_54...MM01	ERX555967.90.fa.dc.faa	492
ERX555987.30|contig_8198_1|LP01	ERX555987.30	contig_8198_1	LP01	ERX555987.30.fa.dc..contig_8198_1...LP01	ERX555987.30.fa.dc.faa	263
ERX555987.30|contig_23574_33|LP01	ERX555987.30	contig_23574_33	LP01	ERX555987.30.fa.dc..contig_23574_33...LP01	ERX555987.30.fa.dc.faa	221
ERX555988.97|contig_19341_20|MM01	ERX555988.97	contig_19341_20	MM01	ERX555988.97.fa.dc..contig_19341_20...MM01	ERX555988.97.fa.dc.faa	485
ERX556005.53|contig_56506_17|LP04	ERX556005.53	contig_56506_17	LP04	ERX556005.53.fa.dc..contig_56506_17...LP04	ERX556005.53.fa.dc.faa	519
ERX556005.59|contig_5798_1|LP04	ERX556005.59	contig_5798_1	LP04	ERX556005.59.fa.dc..contig_5798_1...LP04	ERX556005.59.fa.dc.faa	195
ERX556009.10|contig_42354_8|MM01	ERX556009.10	contig_42354_8	MM01	ERX556009.10.fa.dc..contig_42354_8...MM01	ERX556009.10.fa.dc.faa	503
ERX556015.14|contig_79042_22|MM09	ERX556015.14	contig_79042_22	MM09	ERX556015.14.fa.dc..contig_79042_22...MM09	ERX556015.14.fa.dc.faa	568
