align_id	align_description	matched_label	group
379508.XP_001526843.1	379508.XP_001526843.1	379508.XP_001526843.1	cellular
378753.KRH_18770	378753.KRH_18770	378753.KRH_18770	cellular
GCA_002966485.1_ASM296648v1..KY523104.1_1174...MM16	GCA_002966485.1_ASM296648v1..KY523104.1_1174...MM16	GCA_002966485.1_ASM296648v1..KY523104.1_1174...MM16	viral
GCA_002966435.1_ASM296643v1..KC008572.1_764...MM16	GCA_002966435.1_ASM296643v1..KC008572.1_764...MM16	GCA_002966435.1_ASM296643v1..KC008572.1_764...MM16	viral
GCA_004156275.1_ASM415627v1..MG807319.1_254...MM16	GCA_004156275.1_ASM415627v1..MG807319.1_254...MM16	GCA_004156275.1_ASM415627v1..MG807319.1_254...MM16	viral
GCA_003814185.1_ASM381418v1..MK072455.1_8...MM16	GCA_003814185.1_ASM381418v1..MK072455.1_8...MM16	GCA_003814185.1_ASM381418v1..MK072455.1_8...MM16	viral
SRX802073.50.fa.dc..contig_6944_44...MM01	SRX802073.50.fa.dc..contig_6944_44...MM01	SRX802073.50.fa.dc..contig_6944_44...MM01	viral
GCA_004156295.1_ASM415629v1..MG807320.1_234...MM16	GCA_004156295.1_ASM415629v1..MG807320.1_234...MM16	GCA_004156295.1_ASM415629v1..MG807320.1_234...MM16	viral
SRX802073.68.fa.dc..contig_122337_5...MM01	SRX802073.68.fa.dc..contig_122337_5...MM01	SRX802073.68.fa.dc..contig_122337_5...MM01	viral
SRX802073.62.fa.dc..contig_44950_7...MM07	SRX802073.62.fa.dc..contig_44950_7...MM07	SRX802073.62.fa.dc..contig_44950_7...MM07	viral
3218.PP1S23_285V6.1	3218.PP1S23_285V6.1	3218.PP1S23_285V6.1	cellular
3218.PP1S189_6V6.1	3218.PP1S189_6V6.1	3218.PP1S189_6V6.1	cellular
318829.MGG_14656T0	318829.MGG_14656T0	318829.MGG_14656T0	cellular
316273.XCV3029	316273.XCV3029	316273.XCV3029	cellular
316056.RPC_0336	316056.RPC_0336	316056.RPC_0336	cellular
316055.RPE_0342	316055.RPE_0342	316055.RPE_0342	cellular
314565.XC_1404	314565.XC_1404	314565.XC_1404	cellular
314315.LSA0100	314315.LSA0100	314315.LSA0100	cellular
666684.AfiDRAFT_1595	666684.AfiDRAFT_1595	666684.AfiDRAFT_1595	cellular
679926.Mpet_2733	679926.Mpet_2733	679926.Mpet_2733	cellular
596327.PORUE0001_0476	596327.PORUE0001_0476	596327.PORUE0001_0476	cellular
59689.fgenesh1_pm.C_scaffold_2001747	59689.fgenesh1_pm.C_scaffold_2001747	59689.fgenesh1_pm.C_scaffold_2001747	cellular
639283.Snov_0324	639283.Snov_0324	639283.Snov_0324	cellular
644223.XP_002493059.1	644223.XP_002493059.1	644223.XP_002493059.1	cellular
575606.HMPREF0525_01261	575606.HMPREF0525_01261	575606.HMPREF0525_01261	cellular
578455.XP_003658173.1	578455.XP_003658173.1	578455.XP_003658173.1	cellular
585524.HMPREF0493_0740	585524.HMPREF0493_0740	585524.HMPREF0493_0740	cellular
585530.HMPREF0183_0184	585530.HMPREF0183_0184	585530.HMPREF0183_0184	cellular
31033.ENSTRUP00000043187	31033.ENSTRUP00000043187	31033.ENSTRUP00000043187	cellular
314253.NB311A_07848	314253.NB311A_07848	314253.NB311A_07848	cellular
709797.CSIRO_0882	709797.CSIRO_0882	709797.CSIRO_0882	cellular
701521.PECL_369	701521.PECL_369	701521.PECL_369	cellular
69293.ENSGACP00000005556	69293.ENSGACP00000005556	69293.ENSGACP00000005556	cellular
680646.RMDY18_17340	680646.RMDY18_17340	680646.RMDY18_17340	cellular
7227.FBpp0082089	7227.FBpp0082089	7227.FBpp0082089	cellular
7222.FBpp0149328	7222.FBpp0149328	7222.FBpp0149328	cellular
7217.FBpp0120928	7217.FBpp0120928	7217.FBpp0120928	cellular
713605.LineA_010100001235	713605.LineA_010100001235	713605.LineA_010100001235	cellular
284593.XP_445966.1	284593.XP_445966.1	284593.XP_445966.1	cellular
288000.BBta_0198	288000.BBta_0198	288000.BBta_0198	cellular
7244.FBpp0225504	7244.FBpp0225504	7244.FBpp0225504	cellular
284590.XP_454486.1	284590.XP_454486.1	284590.XP_454486.1	cellular
29850.GGTG_04458T0	29850.GGTG_04458T0	29850.GGTG_04458T0	cellular
306901.XP_001228498.1	306901.XP_001228498.1	306901.XP_001228498.1	cellular
291272.BPEN_352	291272.BPEN_352	291272.BPEN_352	cellular
294747.XP_002550427.1	294747.XP_002550427.1	294747.XP_002550427.1	cellular
573729.XP_003667312.1	573729.XP_003667312.1	573729.XP_003667312.1	cellular
278197.PEPE_1510	278197.PEPE_1510	278197.PEPE_1510	cellular
7237.FBpp0281457	7237.FBpp0281457	7237.FBpp0281457	cellular
ERX556015.14.fa.dc..contig_73217_2...MM09	ERX556015.14.fa.dc..contig_73217_2...MM09	ERX556015.14.fa.dc..contig_73217_2...MM09	viral
321955.BlinB_010200010739	321955.BlinB_010200010739	321955.BlinB_010200010739	cellular
3218.PP1S81_230V6.1	3218.PP1S81_230V6.1	3218.PP1S81_230V6.1	cellular
SRX802073.99.fa.dc..contig_101081_14...MM01	SRX802073.99.fa.dc..contig_101081_14...MM01	SRX802073.99.fa.dc..contig_101081_14...MM01	viral
SRX802073.99.fa.dc..contig_3483_31...MM01	SRX802073.99.fa.dc..contig_3483_31...MM01	SRX802073.99.fa.dc..contig_3483_31...MM01	viral
272621.LBA0341	272621.LBA0341	272621.LBA0341	cellular
269799.Gmet_1653	269799.Gmet_1653	269799.Gmet_1653	cellular
743721.Psesu_1890	743721.Psesu_1890	743721.Psesu_1890	cellular
748671.LCRIS_00340	748671.LCRIS_00340	748671.LCRIS_00340	cellular
742766.HMPREF9455_03915	742766.HMPREF9455_03915	742766.HMPREF9455_03915	cellular
742767.HMPREF9456_01595	742767.HMPREF9456_01595	742767.HMPREF9456_01595	cellular
7245.FBpp0269548	7245.FBpp0269548	7245.FBpp0269548	cellular
7260.FBpp0240704	7260.FBpp0240704	7260.FBpp0240704	cellular
204773.HEAR2975	204773.HEAR2975	204773.HEAR2975	cellular
203907.Bfl342	203907.Bfl342	203907.Bfl342	cellular
242619.PG0130	242619.PG0130	242619.PG0130	cellular
224911.blr0686	224911.blr0686	224911.blr0686	cellular
246410.XP_001246001.1	246410.XP_001246001.1	246410.XP_001246001.1	cellular
243231.GSU1612	243231.GSU1612	243231.GSU1612	cellular
269797.Mbar_A2961	269797.Mbar_A2961	269797.Mbar_A2961	cellular
78245.Xaut_0360	78245.Xaut_0360	78245.Xaut_0360	cellular
7955.ENSDARP00000095079	7955.ENSDARP00000095079	7955.ENSDARP00000095079	cellular
ERX556031.42.fa.dc..contig_839_60...MM01	ERX556031.42.fa.dc..contig_839_60...MM01	ERX556031.42.fa.dc..contig_839_60...MM01	viral
3711.Bra015637.1-P	3711.Bra015637.1-P	3711.Bra015637.1-P	cellular
257314.LJ0380	257314.LJ0380	257314.LJ0380	cellular
465515.MlutN2_010100005383	465515.MlutN2_010100005383	465515.MlutN2_010100005383	cellular
478801.Ksed_03670	478801.Ksed_03670	478801.Ksed_03670	cellular
4932.YKL152C	4932.YKL152C	4932.YKL152C	cellular
4950.XP_003681823.1	4950.XP_003681823.1	4950.XP_003681823.1	cellular
4555.Si027453m	4555.Si027453m	4555.Si027453m	cellular
4555.Si027613m	4555.Si027613m	4555.Si027613m	cellular
4555.Si028305m	4555.Si028305m	4555.Si028305m	cellular
456442.Mboo_1450	456442.Mboo_1450	456442.Mboo_1450	cellular
771870.XP_003351175.1	771870.XP_003351175.1	771870.XP_003351175.1	cellular
4956.XP_002496115.1	4956.XP_002496115.1	4956.XP_002496115.1	cellular
502779.XP_002797524.1	502779.XP_002797524.1	502779.XP_002797524.1	cellular
859654.BVAF_344	859654.BVAF_344	859654.BVAF_344	cellular
8128.ENSONIP00000010895	8128.ENSONIP00000010895	8128.ENSONIP00000010895	cellular
862514.HMPREF0623_0959	862514.HMPREF0623_0959	862514.HMPREF0623_0959	cellular
861557.XP_003296564.1	861557.XP_003296564.1	861557.XP_003296564.1	cellular
8049.ENSGMOP00000001155	8049.ENSGMOP00000001155	8049.ENSGMOP00000001155	cellular
192952.MM_2993	192952.MM_2993	192952.MM_2993	cellular
8090.ENSORLP00000004570	8090.ENSORLP00000004570	8090.ENSORLP00000004570	cellular
ERX555978.20.fa.dc..contig_13048_25...MM09	ERX555978.20.fa.dc..contig_13048_25...MM09	ERX555978.20.fa.dc..contig_13048_25...MM09	viral
13684.SNOT_15697	13684.SNOT_15697	13684.SNOT_15697	cellular
160492.XF1893	160492.XF1893	160492.XF1893	cellular
188937.MA2400	188937.MA2400	188937.MA2400	cellular
190485.XCC2712	190485.XCC2712	190485.XCC2712	cellular
880072.Desac_2062	880072.Desac_2062	880072.Desac_2062	cellular
879243.Poras_1363	879243.Poras_1363	879243.Poras_1363	cellular
1142511.WIGMOR_0568	1142511.WIGMOR_0568	1142511.WIGMOR_0568	cellular
114615.BRADO0157	114615.BRADO0157	114615.BRADO0157	cellular
SRX802143.125.fa.dc..contig_102666_10...IR01	SRX802143.125.fa.dc..contig_102666_10...IR01	SRX802143.125.fa.dc..contig_102666_10...IR01	viral
SRX802202.55.fa.dc..contig_118243_13...MM01	SRX802202.55.fa.dc..contig_118243_13...MM01	SRX802202.55.fa.dc..contig_118243_13...MM01	viral
ERX556094.51.fa.dc..contig_3925_22...MM16	ERX556094.51.fa.dc..contig_3925_22...MM16	ERX556094.51.fa.dc..contig_3925_22...MM16	viral
4555.Si027314m	4555.Si027314m	4555.Si027314m	cellular
4555.Si026854m	4555.Si026854m	4555.Si026854m	cellular
36630.CADNFIAP00002809	36630.CADNFIAP00002809	36630.CADNFIAP00002809	cellular
SRX802202.149.fa.dc..contig_11699_19...MM01	SRX802202.149.fa.dc..contig_11699_19...MM01	SRX802202.149.fa.dc..contig_11699_19...MM01	viral
441959.XP_002485518.1	441959.XP_002485518.1	441959.XP_002485518.1	cellular
440497.LBJG_01424	440497.LBJG_01424	440497.LBJG_01424	cellular
438753.AZC_0156	438753.AZC_0156	438753.AZC_0156	cellular
436907.XP_001646097.1	436907.XP_001646097.1	436907.XP_001646097.1	cellular
4555.Si012885m	4555.Si012885m	4555.Si012885m	cellular
4555.Si011242m	4555.Si011242m	4555.Si011242m	cellular
4533.OB12G12360.1	4533.OB12G12360.1	4533.OB12G12360.1	cellular
441960.XP_002148721.1	441960.XP_002148721.1	441960.XP_002148721.1	cellular
99883.ENSTNIP00000019086	99883.ENSTNIP00000019086	99883.ENSTNIP00000019086	cellular
ERX288947.1.fa.dc..contig_22823_8...MM01	ERX288947.1.fa.dc..contig_22823_8...MM01	ERX288947.1.fa.dc..contig_22823_8...MM01	viral
GCA_002966195.1_ASM296619v1..MG779313.1_5...MM16	GCA_002966195.1_ASM296619v1..MG779313.1_5...MM16	GCA_002966195.1_ASM296619v1..MG779313.1_5...MM16	viral
88036.EFJ22846	88036.EFJ22846	88036.EFJ22846	cellular
88036.EFJ30798	88036.EFJ30798	88036.EFJ30798	cellular
891391.LAC30SC_01685	891391.LAC30SC_01685	891391.LAC30SC_01685	cellular
913848.LcorcK3_010100002147	913848.LcorcK3_010100002147	913848.LcorcK3_010100002147	cellular
930942.LaniK3_010100002778	930942.LaniK3_010100002778	930942.LaniK3_010100002778	cellular
931890.XP_003648345.1	931890.XP_003648345.1	931890.XP_003648345.1	cellular
936140.LfarK3_010100002922	936140.LfarK3_010100002922	936140.LfarK3_010100002922	cellular
990316.MCON_1404	990316.MCON_1404	990316.MCON_1404	cellular
1033802.SSPSH_11392	1033802.SSPSH_11392	1033802.SSPSH_11392	cellular
1033802.SSPSH_10682	1033802.SSPSH_10682	1033802.SSPSH_10682	cellular
1005048.CFU_4064	1005048.CFU_4064	1005048.CFU_4064	cellular
1047171.EFQ36317	1047171.EFQ36317	1047171.EFQ36317	cellular
1040964.LRU_02300	1040964.LRU_02300	1040964.LRU_02300	cellular
1037409.BJ6T_06580	1037409.BJ6T_06580	1037409.BJ6T_06580	cellular
1033837.WANG_0037	1033837.WANG_0037	1033837.WANG_0037	cellular
1071378.XP_003669289.1	1071378.XP_003669289.1	1071378.XP_003669289.1	cellular
1064592.XP_003677076.1	1064592.XP_003677076.1	1064592.XP_003677076.1	cellular
ERX552270.56.fa.dc..contig_157_7...MM09	ERX552270.56.fa.dc..contig_157_7...MM09	ERX552270.56.fa.dc..contig_157_7...MM09	viral
ERX552270.42.fa.dc..contig_1684_71...MM09	ERX552270.42.fa.dc..contig_1684_71...MM09	ERX552270.42.fa.dc..contig_1684_71...MM09	viral
ERX552270.10.fa.dc..contig_15547_36...MM09	ERX552270.10.fa.dc..contig_15547_36...MM09	ERX552270.10.fa.dc..contig_15547_36...MM09	viral
190486.XAC2874	190486.XAC2874	190486.XAC2874	cellular
ERX552254.13.fa.dc..contig_76171_16...MM16	ERX552254.13.fa.dc..contig_76171_16...MM16	ERX552254.13.fa.dc..contig_76171_16...MM16	viral
ERX552254.13.fa.dc..contig_18272_26...MM16	ERX552254.13.fa.dc..contig_18272_26...MM16	ERX552254.13.fa.dc..contig_18272_26...MM16	viral
ERX552252.49.fa.dc..contig_29689_2...MM09	ERX552252.49.fa.dc..contig_29689_2...MM09	ERX552252.49.fa.dc..contig_29689_2...MM09	viral
ERX288973.1.fa.dc..contig_19960_8...MM01	ERX288973.1.fa.dc..contig_19960_8...MM01	ERX288973.1.fa.dc..contig_19960_8...MM01	viral
ERX288965.16.fa.dc..contig_2903_5...MM01	ERX288965.16.fa.dc..contig_2903_5...MM01	ERX288965.16.fa.dc..contig_2903_5...MM01	viral
ERX288947.23.fa.dc..contig_3898_56...MM16	ERX288947.23.fa.dc..contig_3898_56...MM16	ERX288947.23.fa.dc..contig_3898_56...MM16	viral
405566.lhv_0354	405566.lhv_0354	405566.lhv_0354	cellular
406327.Mevan_1390	406327.Mevan_1390	406327.Mevan_1390	cellular
391623.TERMP_01272	391623.TERMP_01272	391623.TERMP_01272	cellular
39416.CAZ82586	39416.CAZ82586	39416.CAZ82586	cellular
390333.Ldb1734	390333.Ldb1734	390333.Ldb1734	cellular
391008.Smal_1198	391008.Smal_1198	391008.Smal_1198	cellular
381046.XP_002555359.1	381046.XP_002555359.1	381046.XP_002555359.1	cellular
383407.Xoryp_010100007590	383407.Xoryp_010100007590	383407.Xoryp_010100007590	cellular
8083.ENSXMAP00000017065	8083.ENSXMAP00000017065	8083.ENSXMAP00000017065	cellular
426418.XP_001935762.1	426418.XP_001935762.1	426418.XP_001935762.1	cellular
431947.PGN_0243	431947.PGN_0243	431947.PGN_0243	cellular
ERX552257.96.fa.dc..contig_51564_9...MM11	ERX552257.96.fa.dc..contig_51564_9...MM11	ERX552257.96.fa.dc..contig_51564_9...MM11	viral
1071381.XP_003685764.1	1071381.XP_003685764.1	1071381.XP_003685764.1	cellular
1110509.Mhar_0064	1110509.Mhar_0064	1110509.Mhar_0064	cellular
ERX555907.48.fa.dc..contig_20792_14...MM09	ERX555907.48.fa.dc..contig_20792_14...MM09	ERX555907.48.fa.dc..contig_20792_14...MM09	viral
ERX555926.27.fa.dc..contig_47355_9...MM01	ERX555926.27.fa.dc..contig_47355_9...MM01	ERX555926.27.fa.dc..contig_47355_9...MM01	viral
ERX552296.31.fa.dc..contig_20714_10...MM01	ERX552296.31.fa.dc..contig_20714_10...MM01	ERX552296.31.fa.dc..contig_20714_10...MM01	viral
ERX552302.17.fa.dc..contig_42134_7...MM07	ERX552302.17.fa.dc..contig_42134_7...MM07	ERX552302.17.fa.dc..contig_42134_7...MM07	viral
ERX555926.32.fa.dc..contig_7191_2...MM16	ERX555926.32.fa.dc..contig_7191_2...MM16	ERX555926.32.fa.dc..contig_7191_2...MM16	viral
ERX555941.31.fa.dc..contig_32903_41...MM09	ERX555941.31.fa.dc..contig_32903_41...MM09	ERX555941.31.fa.dc..contig_32903_41...MM09	viral
