clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.11|contig_4782_3|MM01	ERX288947.11	contig_4782_3	MM01	ERX288947.11.fa.dc..contig_4782_3...MM01	ERX288947.11.fa.dc.faa	232
ERX288947.1|contig_713_6|MM01	ERX288947.1	contig_713_6	MM01	ERX288947.1.fa.dc..contig_713_6...MM01	ERX288947.1.fa.dc.faa	234
ERX288965.16|contig_1022_38|MM01	ERX288965.16	contig_1022_38	MM01	ERX288965.16.fa.dc..contig_1022_38...MM01	ERX288965.16.fa.dc.faa	234
ERX288973.1|contig_2711_24|MM01	ERX288973.1	contig_2711_24	MM01	ERX288973.1.fa.dc..contig_2711_24...MM01	ERX288973.1.fa.dc.faa	234
ERX288975.8|contig_3035_8|MM01	ERX288975.8	contig_3035_8	MM01	ERX288975.8.fa.dc..contig_3035_8...MM01	ERX288975.8.fa.dc.faa	234
ERX552241.31|contig_1580_10|MM05	ERX552241.31	contig_1580_10	MM05	ERX552241.31.fa.dc..contig_1580_10...MM05	ERX552241.31.fa.dc.faa	245
ERX552243.92|contig_11886_10|MM01	ERX552243.92	contig_11886_10	MM01	ERX552243.92.fa.dc..contig_11886_10...MM01	ERX552243.92.fa.dc.faa	227
ERX552243.92|contig_14178_8|MM01	ERX552243.92	contig_14178_8	MM01	ERX552243.92.fa.dc..contig_14178_8...MM01	ERX552243.92.fa.dc.faa	224
ERX552243.92|contig_35652_27|MM01	ERX552243.92	contig_35652_27	MM01	ERX552243.92.fa.dc..contig_35652_27...MM01	ERX552243.92.fa.dc.faa	224
ERX552244.21|contig_23274_6|EP01	ERX552244.21	contig_23274_6	EP01	ERX552244.21.fa.dc..contig_23274_6...EP01	ERX552244.21.fa.dc.faa	289
ERX552246.27|contig_1900_64|MM01	ERX552246.27	contig_1900_64	MM01	ERX552246.27.fa.dc..contig_1900_64...MM01	ERX552246.27.fa.dc.faa	230
ERX552252.1|contig_478_27|MM01	ERX552252.1	contig_478_27	MM01	ERX552252.1.fa.dc..contig_478_27...MM01	ERX552252.1.fa.dc.faa	230
ERX552254.5|contig_12628_13|MM01	ERX552254.5	contig_12628_13	MM01	ERX552254.5.fa.dc..contig_12628_13...MM01	ERX552254.5.fa.dc.faa	145
ERX552254.5|contig_20480_22|MM01	ERX552254.5	contig_20480_22	MM01	ERX552254.5.fa.dc..contig_20480_22...MM01	ERX552254.5.fa.dc.faa	114
ERX552255.28|contig_30449_50|MM01	ERX552255.28	contig_30449_50	MM01	ERX552255.28.fa.dc..contig_30449_50...MM01	ERX552255.28.fa.dc.faa	225
ERX552255.59|contig_51540_11|MM09	ERX552255.59	contig_51540_11	MM09	ERX552255.59.fa.dc..contig_51540_11...MM09	ERX552255.59.fa.dc.faa	226
ERX552256.88|contig_7625_3|MM07	ERX552256.88	contig_7625_3	MM07	ERX552256.88.fa.dc..contig_7625_3...MM07	ERX552256.88.fa.dc.faa	221
ERX552257.75|contig_84087_1|MM01	ERX552257.75	contig_84087_1	MM01	ERX552257.75.fa.dc..contig_84087_1...MM01	ERX552257.75.fa.dc.faa	279
ERX552264.42|contig_4102_15|MM05	ERX552264.42	contig_4102_15	MM05	ERX552264.42.fa.dc..contig_4102_15...MM05	ERX552264.42.fa.dc.faa	245
ERX552270.106|contig_1128_27|MM01	ERX552270.106	contig_1128_27	MM01	ERX552270.106.fa.dc..contig_1128_27...MM01	ERX552270.106.fa.dc.faa	228
ERX552270.114|contig_40016_10|MM01	ERX552270.114	contig_40016_10	MM01	ERX552270.114.fa.dc..contig_40016_10...MM01	ERX552270.114.fa.dc.faa	298
ERX552270.24|contig_15452_25|MM01	ERX552270.24	contig_15452_25	MM01	ERX552270.24.fa.dc..contig_15452_25...MM01	ERX552270.24.fa.dc.faa	231
ERX552270.38|contig_22176_17|MM05	ERX552270.38	contig_22176_17	MM05	ERX552270.38.fa.dc..contig_22176_17...MM05	ERX552270.38.fa.dc.faa	226
ERX552270.52|contig_2542_12|MM01	ERX552270.52	contig_2542_12	MM01	ERX552270.52.fa.dc..contig_2542_12...MM01	ERX552270.52.fa.dc.faa	231
ERX552270.62|contig_10622_21|MM01	ERX552270.62	contig_10622_21	MM01	ERX552270.62.fa.dc..contig_10622_21...MM01	ERX552270.62.fa.dc.faa	221
