seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
SRX331703.16|contig_16620_13|MM01	17.34306205356283	22	0	0	10	10	12	12	1.0	1.0	310	SRX331703.16|contig_16620_13|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=SRX331703.16 protein=contig_16620_13 clade=MM01
ERX556031.42|contig_3538_97|MM01	17.34306205356283	22	0	0	10	10	12	12	1.0	1.0	306	ERX556031.42|contig_3538_97|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX556031.42 protein=contig_3538_97 clade=MM01
ERX943721.3|contig_26088_3|MM01	17.34306205356283	22	0	0	10	10	12	12	1.0	1.0	303	ERX943721.3|contig_26088_3|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX943721.3 protein=contig_26088_3 clade=MM01
SRX802073.18|contig_20285_17|MM01	16.62698165155278	21	1	0	10	10	11	12	1.0	0.9166666666666666	314	SRX802073.18|contig_20285_17|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=SRX802073.18 protein=contig_20285_17 clade=MM01
ERX555943.14|contig_12481_13|MM01	16.61052003311577	21	1	0	10	10	11	12	1.0	0.9166666666666666	309	ERX555943.14|contig_12481_13|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX555943.14 protein=contig_12481_13 clade=MM01
ERX556019.13|contig_3127_12|MM01	16.61052003311577	21	1	0	10	10	11	12	1.0	0.9166666666666666	309	ERX556019.13|contig_3127_12|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX556019.13 protein=contig_3127_12 clade=MM01
SRX331950.13|contig_18601_1|MM01	16.580917999961493	21	1	0	10	10	11	12	1.0	0.9166666666666666	397	SRX331950.13|contig_18601_1|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=SRX331950.13 protein=contig_18601_1 clade=MM01
ERX556049.12|contig_168_21|MM01	16.580917999961493	21	1	0	10	10	11	12	1.0	0.9166666666666666	336	ERX556049.12|contig_168_21|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX556049.12 protein=contig_168_21 clade=MM01
ERX556009.10|contig_53237_12|MM01	16.580917999961493	21	1	0	10	10	11	12	1.0	0.9166666666666666	335	ERX556009.10|contig_53237_12|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX556009.10 protein=contig_53237_12 clade=MM01
ERX555943.9|contig_21299_20|MM01	16.564745181847936	21	1	0	10	10	11	12	1.0	0.9166666666666666	344	ERX555943.9|contig_21299_20|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX555943.9 protein=contig_21299_20 clade=MM01
ERX556019.45|contig_28826_3|MM01	16.564745181847936	21	1	0	10	10	11	12	1.0	0.9166666666666666	344	ERX556019.45|contig_28826_3|MM01 source=viral family=Phosphate_starvation_inducible_PhoH mag=ERX556019.45 protein=contig_28826_3 clade=MM01
