clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.1|contig_22823_8|MM01	ERX288947.1	contig_22823_8	MM01	ERX288947.1.fa.dc..contig_22823_8...MM01	ERX288947.1.fa.dc.faa	202
ERX288947.23|contig_3898_56|MM16	ERX288947.23	contig_3898_56	MM16	ERX288947.23.fa.dc..contig_3898_56...MM16	ERX288947.23.fa.dc.faa	213
ERX288965.16|contig_2903_5|MM01	ERX288965.16	contig_2903_5	MM01	ERX288965.16.fa.dc..contig_2903_5...MM01	ERX288965.16.fa.dc.faa	202
ERX288973.1|contig_19960_8|MM01	ERX288973.1	contig_19960_8	MM01	ERX288973.1.fa.dc..contig_19960_8...MM01	ERX288973.1.fa.dc.faa	202
ERX552252.49|contig_29689_2|MM09	ERX552252.49	contig_29689_2	MM09	ERX552252.49.fa.dc..contig_29689_2...MM09	ERX552252.49.fa.dc.faa	229
ERX552254.13|contig_18272_26|MM16	ERX552254.13	contig_18272_26	MM16	ERX552254.13.fa.dc..contig_18272_26...MM16	ERX552254.13.fa.dc.faa	196
ERX552254.13|contig_76171_16|MM16	ERX552254.13	contig_76171_16	MM16	ERX552254.13.fa.dc..contig_76171_16...MM16	ERX552254.13.fa.dc.faa	398
ERX552257.96|contig_51564_9|MM11	ERX552257.96	contig_51564_9	MM11	ERX552257.96.fa.dc..contig_51564_9...MM11	ERX552257.96.fa.dc.faa	319
ERX552270.10|contig_15547_36|MM09	ERX552270.10	contig_15547_36	MM09	ERX552270.10.fa.dc..contig_15547_36...MM09	ERX552270.10.fa.dc.faa	232
ERX552270.42|contig_1684_71|MM09	ERX552270.42	contig_1684_71	MM09	ERX552270.42.fa.dc..contig_1684_71...MM09	ERX552270.42.fa.dc.faa	230
ERX552270.56|contig_157_7|MM09	ERX552270.56	contig_157_7	MM09	ERX552270.56.fa.dc..contig_157_7...MM09	ERX552270.56.fa.dc.faa	233
ERX552296.31|contig_20714_10|MM01	ERX552296.31	contig_20714_10	MM01	ERX552296.31.fa.dc..contig_20714_10...MM01	ERX552296.31.fa.dc.faa	502
ERX552302.17|contig_42134_7|MM07	ERX552302.17	contig_42134_7	MM07	ERX552302.17.fa.dc..contig_42134_7...MM07	ERX552302.17.fa.dc.faa	398
ERX555907.48|contig_20792_14|MM09	ERX555907.48	contig_20792_14	MM09	ERX555907.48.fa.dc..contig_20792_14...MM09	ERX555907.48.fa.dc.faa	69
ERX555926.27|contig_47355_9|MM01	ERX555926.27	contig_47355_9	MM01	ERX555926.27.fa.dc..contig_47355_9...MM01	ERX555926.27.fa.dc.faa	244
ERX555926.32|contig_1510_18|MM16	ERX555926.32	contig_1510_18	MM16	ERX555926.32.fa.dc..contig_1510_18...MM16	ERX555926.32.fa.dc.faa	309
ERX555926.32|contig_4413_15|MM16	ERX555926.32	contig_4413_15	MM16	ERX555926.32.fa.dc..contig_4413_15...MM16	ERX555926.32.fa.dc.faa	246
ERX555926.32|contig_7191_2|MM16	ERX555926.32	contig_7191_2	MM16	ERX555926.32.fa.dc..contig_7191_2...MM16	ERX555926.32.fa.dc.faa	213
ERX555941.31|contig_32903_41|MM09	ERX555941.31	contig_32903_41	MM09	ERX555941.31.fa.dc..contig_32903_41...MM09	ERX555941.31.fa.dc.faa	229
ERX555945.3|contig_11999_20|MM09	ERX555945.3	contig_11999_20	MM09	ERX555945.3.fa.dc..contig_11999_20...MM09	ERX555945.3.fa.dc.faa	229
ERX555952.65|contig_26895_19|MM16	ERX555952.65	contig_26895_19	MM16	ERX555952.65.fa.dc..contig_26895_19...MM16	ERX555952.65.fa.dc.faa	249
ERX555978.20|contig_13048_25|MM09	ERX555978.20	contig_13048_25	MM09	ERX555978.20.fa.dc..contig_13048_25...MM09	ERX555978.20.fa.dc.faa	229
