clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.1|contig_22823_8|MM01	ERX288947.1	contig_22823_8	MM01	ERX288947.1.fa.dc..contig_22823_8...MM01	ERX288947.1.fa.dc.faa	202
ERX288965.16|contig_2903_5|MM01	ERX288965.16	contig_2903_5	MM01	ERX288965.16.fa.dc..contig_2903_5...MM01	ERX288965.16.fa.dc.faa	202
ERX288973.1|contig_19960_8|MM01	ERX288973.1	contig_19960_8	MM01	ERX288973.1.fa.dc..contig_19960_8...MM01	ERX288973.1.fa.dc.faa	202
ERX552254.13|contig_18272_26|MM16	ERX552254.13	contig_18272_26	MM16	ERX552254.13.fa.dc..contig_18272_26...MM16	ERX552254.13.fa.dc.faa	196
ERX555907.48|contig_20792_14|MM09	ERX555907.48	contig_20792_14	MM09	ERX555907.48.fa.dc..contig_20792_14...MM09	ERX555907.48.fa.dc.faa	69
ERX556094.51|contig_3925_22|MM16	ERX556094.51	contig_3925_22	MM16	ERX556094.51.fa.dc..contig_3925_22...MM16	ERX556094.51.fa.dc.faa	195
SRX802073.50|contig_6944_44|MM01	SRX802073.50	contig_6944_44	MM01	SRX802073.50.fa.dc..contig_6944_44...MM01	SRX802073.50.fa.dc.faa	208
SRX802073.62|contig_44950_7|MM07	SRX802073.62	contig_44950_7	MM07	SRX802073.62.fa.dc..contig_44950_7...MM07	SRX802073.62.fa.dc.faa	195
SRX802073.99|contig_3483_31|MM01	SRX802073.99	contig_3483_31	MM01	SRX802073.99.fa.dc..contig_3483_31...MM01	SRX802073.99.fa.dc.faa	199
SRX802073.99|contig_101081_14|MM01	SRX802073.99	contig_101081_14	MM01	SRX802073.99.fa.dc..contig_101081_14...MM01	SRX802073.99.fa.dc.faa	200
SRX802077.79|contig_50_53|MM16	SRX802077.79	contig_50_53	MM16	SRX802077.79.fa.dc..contig_50_53...MM16	SRX802077.79.fa.dc.faa	192
SRX802202.149|contig_2365_18|MM01	SRX802202.149	contig_2365_18	MM01	SRX802202.149.fa.dc..contig_2365_18...MM01	SRX802202.149.fa.dc.faa	194
SRX802202.149|contig_5254_56|MM01	SRX802202.149	contig_5254_56	MM01	SRX802202.149.fa.dc..contig_5254_56...MM01	SRX802202.149.fa.dc.faa	200
SRX802202.149|contig_11699_19|MM01	SRX802202.149	contig_11699_19	MM01	SRX802202.149.fa.dc..contig_11699_19...MM01	SRX802202.149.fa.dc.faa	197
