seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX555926.27|contig_351_11|MM01	55.78004642819458	67	2	0	31	31	36	38	1.0	0.9473684210526315	612	ERX555926.27|contig_351_11|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX555926.27 protein=contig_351_11 clade=MM01
ERX552244.17|contig_41245_13|MM09	54.810956790123456	66	3	0	30	31	36	38	0.967741935483871	0.9473684210526315	604	ERX552244.17|contig_41245_13|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX552244.17 protein=contig_41245_13 clade=MM09
ERX552302.18|contig_8566_4|MM09	54.810956790123456	66	3	0	30	31	36	38	0.967741935483871	0.9473684210526315	604	ERX552302.18|contig_8566_4|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX552302.18 protein=contig_8566_4 clade=MM09
ERX555967.81|contig_20121_29|MM01	54.525491226880106	66	3	0	29	31	37	38	0.9354838709677419	0.9736842105263158	600	ERX555967.81|contig_20121_29|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX555967.81 protein=contig_20121_29 clade=MM01
ERX556009.10|contig_8666_23|MM01	53.88560085319344	65	4	0	30	31	35	38	0.967741935483871	0.9210526315789473	614	ERX556009.10|contig_8666_23|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX556009.10 protein=contig_8666_23 clade=MM01
ERX556106.20|contig_1611_176|MM01	53.84903676570344	65	4	0	30	31	35	38	0.967741935483871	0.9210526315789473	610	ERX556106.20|contig_1611_176|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX556106.20 protein=contig_1611_176 clade=MM01
ERX556049.12|contig_18569_24|MM01	53.252752905530684	64	5	0	30	31	34	38	0.967741935483871	0.8947368421052632	610	ERX556049.12|contig_18569_24|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX556049.12 protein=contig_18569_24 clade=MM01
ERX552302.42|contig_5953_19|MM01	53.108442055201316	64	5	0	29	31	35	38	0.9354838709677419	0.9210526315789473	613	ERX552302.42|contig_5953_19|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX552302.42 protein=contig_5953_19 clade=MM01
ERX556127.29|contig_14182_29|MM01	52.80362041936117	64	5	0	28	31	36	38	0.9032258064516129	0.9473684210526315	601	ERX556127.29|contig_14182_29|MM01 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX556127.29 protein=contig_14182_29 clade=MM01
ERX552270.56|contig_4343_8|MM09	51.66808928383002	63	6	0	28	31	35	38	0.9032258064516129	0.9210526315789473	606	ERX552270.56|contig_4343_8|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX552270.56 protein=contig_4343_8 clade=MM09
ERX555941.31|contig_2895_1|MM09	36.61795380545381	47	22	0	19	31	28	38	0.6129032258064516	0.7368421052631579	627	ERX555941.31|contig_2895_1|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX555941.31 protein=contig_2895_1 clade=MM09
ERX555945.3|contig_5025_24|MM09	31.214740763351873	43	19	7	19	31	24	38	0.6129032258064516	0.631578947368421	534	ERX555945.3|contig_5025_24|MM09 source=viral family=TCA_succinate_dehydrogenase_subunit_A mag=ERX555945.3 protein=contig_5025_24 clade=MM09
