seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX555963.2|contig_72872_16|MM07	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	530	ERX555963.2|contig_72872_16|MM07 source=viral family=Phosphate_permease mag=ERX555963.2 protein=contig_72872_16 clade=MM07
ERX555935.160|contig_24009_2|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	519	ERX555935.160|contig_24009_2|MM05 source=viral family=Phosphate_permease mag=ERX555935.160 protein=contig_24009_2 clade=MM05
ERX555913.6|contig_10235_14|MM01	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	514	ERX555913.6|contig_10235_14|MM01 source=viral family=Phosphate_permease mag=ERX555913.6 protein=contig_10235_14 clade=MM01
ERX555907.104|contig_39435_17|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	511	ERX555907.104|contig_39435_17|MM05 source=viral family=Phosphate_permease mag=ERX555907.104 protein=contig_39435_17 clade=MM05
ERX555907.15|contig_29669_16|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	507	ERX555907.15|contig_29669_16|MM05 source=viral family=Phosphate_permease mag=ERX555907.15 protein=contig_29669_16 clade=MM05
ERX555907.89|contig_2369_36|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	507	ERX555907.89|contig_2369_36|MM05 source=viral family=Phosphate_permease mag=ERX555907.89 protein=contig_2369_36 clade=MM05
ERX555931.9|contig_29946_7|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	507	ERX555931.9|contig_29946_7|MM05 source=viral family=Phosphate_permease mag=ERX555931.9 protein=contig_29946_7 clade=MM05
ERX556063.22|contig_3057_9|MM05	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	507	ERX556063.22|contig_3057_9|MM05 source=viral family=Phosphate_permease mag=ERX556063.22 protein=contig_3057_9 clade=MM05
ERX556127.29|contig_44094_10|MM01	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	504	ERX556127.29|contig_44094_10|MM01 source=viral family=Phosphate_permease mag=ERX556127.29 protein=contig_44094_10 clade=MM01
ERX556009.10|contig_42354_8|MM01	34.466877321022324	42	0	0	22	22	20	20	1.0	1.0	503	ERX556009.10|contig_42354_8|MM01 source=viral family=Phosphate_permease mag=ERX556009.10 protein=contig_42354_8 clade=MM01
