clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.1|contig_4850_13|MM01	ERX288947.1	contig_4850_13	MM01	ERX288947.1.fa.dc..contig_4850_13...MM01	ERX288947.1.fa.dc.faa	877
ERX288965.16|contig_2422_13|MM01	ERX288965.16	contig_2422_13	MM01	ERX288965.16.fa.dc..contig_2422_13...MM01	ERX288965.16.fa.dc.faa	877
ERX288973.1|contig_356_12|MM01	ERX288973.1	contig_356_12	MM01	ERX288973.1.fa.dc..contig_356_12...MM01	ERX288973.1.fa.dc.faa	555
ERX288973.1|contig_356_13|MM01	ERX288973.1	contig_356_13	MM01	ERX288973.1.fa.dc..contig_356_13...MM01	ERX288973.1.fa.dc.faa	416
ERX288975.8|contig_12831_4|MM01	ERX288975.8	contig_12831_4	MM01	ERX288975.8.fa.dc..contig_12831_4...MM01	ERX288975.8.fa.dc.faa	877
ERX552252.49|contig_7299_10|MM09	ERX552252.49	contig_7299_10	MM09	ERX552252.49.fa.dc..contig_7299_10...MM09	ERX552252.49.fa.dc.faa	862
ERX552254.32|contig_19166_34|MM01	ERX552254.32	contig_19166_34	MM01	ERX552254.32.fa.dc..contig_19166_34...MM01	ERX552254.32.fa.dc.faa	863
ERX552256.7|contig_5916_13|MM01	ERX552256.7	contig_5916_13	MM01	ERX552256.7.fa.dc..contig_5916_13...MM01	ERX552256.7.fa.dc.faa	878
ERX552256.7|contig_23928_4|MM01	ERX552256.7	contig_23928_4	MM01	ERX552256.7.fa.dc..contig_23928_4...MM01	ERX552256.7.fa.dc.faa	891
ERX552270.100|contig_9516_8|MM01	ERX552270.100	contig_9516_8	MM01	ERX552270.100.fa.dc..contig_9516_8...MM01	ERX552270.100.fa.dc.faa	127
ERX552274.30|contig_19128_12|MM01	ERX552274.30	contig_19128_12	MM01	ERX552274.30.fa.dc..contig_19128_12...MM01	ERX552274.30.fa.dc.faa	991
ERX552274.9|contig_13358_14|MM01	ERX552274.9	contig_13358_14	MM01	ERX552274.9.fa.dc..contig_13358_14...MM01	ERX552274.9.fa.dc.faa	840
ERX552288.111|contig_19603_32|MM01	ERX552288.111	contig_19603_32	MM01	ERX552288.111.fa.dc..contig_19603_32...MM01	ERX552288.111.fa.dc.faa	861
ERX552296.45|contig_89073_3|MM01	ERX552296.45	contig_89073_3	MM01	ERX552296.45.fa.dc..contig_89073_3...MM01	ERX552296.45.fa.dc.faa	402
ERX552302.42|contig_30774_14|MM01	ERX552302.42	contig_30774_14	MM01	ERX552302.42.fa.dc..contig_30774_14...MM01	ERX552302.42.fa.dc.faa	865
ERX555907.48|contig_3127_17|MM09	ERX555907.48	contig_3127_17	MM09	ERX555907.48.fa.dc..contig_3127_17...MM09	ERX555907.48.fa.dc.faa	862
ERX555926.27|contig_30772_11|MM01	ERX555926.27	contig_30772_11	MM01	ERX555926.27.fa.dc..contig_30772_11...MM01	ERX555926.27.fa.dc.faa	875
ERX555941.31|contig_14892_4|MM09	ERX555941.31	contig_14892_4	MM09	ERX555941.31.fa.dc..contig_14892_4...MM09	ERX555941.31.fa.dc.faa	862
ERX555945.3|contig_3898_19|MM09	ERX555945.3	contig_3898_19	MM09	ERX555945.3.fa.dc..contig_3898_19...MM09	ERX555945.3.fa.dc.faa	862
ERX555967.90|contig_16658_38|MM01	ERX555967.90	contig_16658_38	MM01	ERX555967.90.fa.dc..contig_16658_38...MM01	ERX555967.90.fa.dc.faa	865
ERX555978.20|contig_33772_11|MM09	ERX555978.20	contig_33772_11	MM09	ERX555978.20.fa.dc..contig_33772_11...MM09	ERX555978.20.fa.dc.faa	862
ERX555978.8|contig_10978_18|MM01	ERX555978.8	contig_10978_18	MM01	ERX555978.8.fa.dc..contig_10978_18...MM01	ERX555978.8.fa.dc.faa	832
ERX556009.6|contig_12041_14|MM01	ERX556009.6	contig_12041_14	MM01	ERX556009.6.fa.dc..contig_12041_14...MM01	ERX556009.6.fa.dc.faa	862
ERX556009.7|contig_6442_26|MM01	ERX556009.7	contig_6442_26	MM01	ERX556009.7.fa.dc..contig_6442_26...MM01	ERX556009.7.fa.dc.faa	861
ERX556015.14|contig_66525_5|MM09	ERX556015.14	contig_66525_5	MM09	ERX556015.14.fa.dc..contig_66525_5...MM09	ERX556015.14.fa.dc.faa	862
ERX556017.61|contig_73878_18|MM09	ERX556017.61	contig_73878_18	MM09	ERX556017.61.fa.dc..contig_73878_18...MM09	ERX556017.61.fa.dc.faa	344
ERX556068.30|contig_101664_3|MM01	ERX556068.30	contig_101664_3	MM01	ERX556068.30.fa.dc..contig_101664_3...MM01	ERX556068.30.fa.dc.faa	863
ERX556088.18|contig_10377_13|MM01	ERX556088.18	contig_10377_13	MM01	ERX556088.18.fa.dc..contig_10377_13...MM01	ERX556088.18.fa.dc.faa	863
ERX556101.13|contig_129694_21|MM01	ERX556101.13	contig_129694_21	MM01	ERX556101.13.fa.dc..contig_129694_21...MM01	ERX556101.13.fa.dc.faa	384
