clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552270.27|contig_4795_47|MM01	ERX552270.27	contig_4795_47	MM01	ERX552270.27.fa.dc..contig_4795_47...MM01	ERX552270.27.fa.dc.faa	342
ERX552288.95|contig_10523_14|MM01	ERX552288.95	contig_10523_14	MM01	ERX552288.95.fa.dc..contig_10523_14...MM01	ERX552288.95.fa.dc.faa	337
ERX552296.31|contig_2342_2|MM01	ERX552296.31	contig_2342_2	MM01	ERX552296.31.fa.dc..contig_2342_2...MM01	ERX552296.31.fa.dc.faa	306
ERX552296.8|contig_12176_61|MM01	ERX552296.8	contig_12176_61	MM01	ERX552296.8.fa.dc..contig_12176_61...MM01	ERX552296.8.fa.dc.faa	349
ERX555943.14|contig_12481_13|MM01	ERX555943.14	contig_12481_13	MM01	ERX555943.14.fa.dc..contig_12481_13...MM01	ERX555943.14.fa.dc.faa	309
ERX555943.9|contig_7353_7|MM01	ERX555943.9	contig_7353_7	MM01	ERX555943.9.fa.dc..contig_7353_7...MM01	ERX555943.9.fa.dc.faa	337
ERX555943.9|contig_21299_20|MM01	ERX555943.9	contig_21299_20	MM01	ERX555943.9.fa.dc..contig_21299_20...MM01	ERX555943.9.fa.dc.faa	344
ERX555954.29|contig_31747_14|MM01	ERX555954.29	contig_31747_14	MM01	ERX555954.29.fa.dc..contig_31747_14...MM01	ERX555954.29.fa.dc.faa	314
ERX555961.17|contig_1036_20|LP01	ERX555961.17	contig_1036_20	LP01	ERX555961.17.fa.dc..contig_1036_20...LP01	ERX555961.17.fa.dc.faa	307
ERX555964.34|contig_21590_4|MM01	ERX555964.34	contig_21590_4	MM01	ERX555964.34.fa.dc..contig_21590_4...MM01	ERX555964.34.fa.dc.faa	327
ERX556009.10|contig_53237_12|MM01	ERX556009.10	contig_53237_12	MM01	ERX556009.10.fa.dc..contig_53237_12...MM01	ERX556009.10.fa.dc.faa	335
ERX556019.13|contig_3127_12|MM01	ERX556019.13	contig_3127_12	MM01	ERX556019.13.fa.dc..contig_3127_12...MM01	ERX556019.13.fa.dc.faa	309
ERX556019.45|contig_1744_85|MM01	ERX556019.45	contig_1744_85	MM01	ERX556019.45.fa.dc..contig_1744_85...MM01	ERX556019.45.fa.dc.faa	337
ERX556019.45|contig_28826_3|MM01	ERX556019.45	contig_28826_3	MM01	ERX556019.45.fa.dc..contig_28826_3...MM01	ERX556019.45.fa.dc.faa	344
ERX556022.14|contig_15444_15|MM01	ERX556022.14	contig_15444_15	MM01	ERX556022.14.fa.dc..contig_15444_15...MM01	ERX556022.14.fa.dc.faa	340
ERX556031.42|contig_3538_97|MM01	ERX556031.42	contig_3538_97	MM01	ERX556031.42.fa.dc..contig_3538_97...MM01	ERX556031.42.fa.dc.faa	306
ERX556049.12|contig_168_21|MM01	ERX556049.12	contig_168_21	MM01	ERX556049.12.fa.dc..contig_168_21...MM01	ERX556049.12.fa.dc.faa	336
ERX556054.14|contig_19896_8|MM01	ERX556054.14	contig_19896_8	MM01	ERX556054.14.fa.dc..contig_19896_8...MM01	ERX556054.14.fa.dc.faa	305
ERX556094.26|contig_11783_21|MM16	ERX556094.26	contig_11783_21	MM16	ERX556094.26.fa.dc..contig_11783_21...MM16	ERX556094.26.fa.dc.faa	311
ERX943721.3|contig_26088_3|MM01	ERX943721.3	contig_26088_3	MM01	ERX943721.3.fa.dc..contig_26088_3...MM01	ERX943721.3.fa.dc.faa	303
SRX327520.258|contig_218964_4|MM01	SRX327520.258	contig_218964_4	MM01	SRX327520.258.fa.dc..contig_218964_4...MM01	SRX327520.258.fa.dc.faa	417
SRX331703.16|contig_16620_13|MM01	SRX331703.16	contig_16620_13	MM01	SRX331703.16.fa.dc..contig_16620_13...MM01	SRX331703.16.fa.dc.faa	310
SRX331703.27|contig_3079_20|MM01	SRX331703.27	contig_3079_20	MM01	SRX331703.27.fa.dc..contig_3079_20...MM01	SRX331703.27.fa.dc.faa	342
SRX331703.39|contig_3931_10|MM01	SRX331703.39	contig_3931_10	MM01	SRX331703.39.fa.dc..contig_3931_10...MM01	SRX331703.39.fa.dc.faa	327
SRX331950.13|contig_18601_1|MM01	SRX331950.13	contig_18601_1	MM01	SRX331950.13.fa.dc..contig_18601_1...MM01	SRX331950.13.fa.dc.faa	397
SRX802073.18|contig_20285_17|MM01	SRX802073.18	contig_20285_17	MM01	SRX802073.18.fa.dc..contig_20285_17...MM01	SRX802073.18.fa.dc.faa	314
SRX802073.61|contig_21329_9|MM01	SRX802073.61	contig_21329_9	MM01	SRX802073.61.fa.dc..contig_21329_9...MM01	SRX802073.61.fa.dc.faa	328
SRX802077.122|contig_19816_14|MM01	SRX802077.122	contig_19816_14	MM01	SRX802077.122.fa.dc..contig_19816_14...MM01	SRX802077.122.fa.dc.faa	309
SRX802077.84|contig_5272_4|MM01	SRX802077.84	contig_5272_4	MM01	SRX802077.84.fa.dc..contig_5272_4...MM01	SRX802077.84.fa.dc.faa	324
SRX802143.26|contig_1979_12|MM01	SRX802143.26	contig_1979_12	MM01	SRX802143.26.fa.dc..contig_1979_12...MM01	SRX802143.26.fa.dc.faa	329
