seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX556133.24|contig_24684_28|MM12	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	304	ERX556133.24|contig_24684_28|MM12 source=viral family=Chl_ab_binding_proteins mag=ERX556133.24 protein=contig_24684_28 clade=MM12
ERX552270.62|contig_9540_40|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	303	ERX552270.62|contig_9540_40|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552270.62 protein=contig_9540_40 clade=MM01
ERX555958.4|contig_90_41|MM12	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	303	ERX555958.4|contig_90_41|MM12 source=viral family=Chl_ab_binding_proteins mag=ERX555958.4 protein=contig_90_41 clade=MM12
ERX556091.17|contig_2052_54|MM12	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	301	ERX556091.17|contig_2052_54|MM12 source=viral family=Chl_ab_binding_proteins mag=ERX556091.17 protein=contig_2052_54 clade=MM12
ERX556059.41|contig_736_49|MM12	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	298	ERX556059.41|contig_736_49|MM12 source=viral family=Chl_ab_binding_proteins mag=ERX556059.41 protein=contig_736_49 clade=MM12
ERX556091.17|contig_3849_10|MM12	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	222	ERX556091.17|contig_3849_10|MM12 source=viral family=Chl_ab_binding_proteins mag=ERX556091.17 protein=contig_3849_10 clade=MM12
ERX555907.69|contig_665_22|LP03	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	213	ERX555907.69|contig_665_22|LP03 source=viral family=Chl_ab_binding_proteins mag=ERX555907.69 protein=contig_665_22 clade=LP03
ERX552261.31|contig_763_3|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	205	ERX552261.31|contig_763_3|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX552261.31 protein=contig_763_3 clade=MM09
ERX552270.10|contig_23559_13|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	200	ERX552270.10|contig_23559_13|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX552270.10 protein=contig_23559_13 clade=MM09
ERX555926.32|contig_26568_13|MM16	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	198	ERX555926.32|contig_26568_13|MM16 source=viral family=Chl_ab_binding_proteins mag=ERX555926.32 protein=contig_26568_13 clade=MM16
ERX288947.1|contig_4397_21|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	194	ERX288947.1|contig_4397_21|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX288947.1 protein=contig_4397_21 clade=MM01
ERX288965.16|contig_4107_26|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	194	ERX288965.16|contig_4107_26|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX288965.16 protein=contig_4107_26 clade=MM01
ERX288973.1|contig_592_26|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	194	ERX288973.1|contig_592_26|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX288973.1 protein=contig_592_26 clade=MM01
ERX288975.8|contig_2012_22|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	194	ERX288975.8|contig_2012_22|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX288975.8 protein=contig_2012_22 clade=MM01
ERX552302.25|contig_34212_5|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	194	ERX552302.25|contig_34212_5|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552302.25 protein=contig_34212_5 clade=MM01
ERX552283.9|contig_1798_39|LP04	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	190	ERX552283.9|contig_1798_39|LP04 source=viral family=Chl_ab_binding_proteins mag=ERX552283.9 protein=contig_1798_39 clade=LP04
ERX555917.66|contig_76030_11|LP04	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	190	ERX555917.66|contig_76030_11|LP04 source=viral family=Chl_ab_binding_proteins mag=ERX555917.66 protein=contig_76030_11 clade=LP04
ERX552252.49|contig_24919_19|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	ERX552252.49|contig_24919_19|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX552252.49 protein=contig_24919_19 clade=MM09
ERX552254.5|contig_15403_21|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	ERX552254.5|contig_15403_21|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552254.5 protein=contig_15403_21 clade=MM01
ERX552302.42|contig_30774_11|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	ERX552302.42|contig_30774_11|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552302.42 protein=contig_30774_11 clade=MM01
ERX555978.20|contig_19825_9|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	ERX555978.20|contig_19825_9|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX555978.20 protein=contig_19825_9 clade=MM09
ERX556015.14|contig_22536_9|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	ERX556015.14|contig_22536_9|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX556015.14 protein=contig_22536_9 clade=MM09
SRX802189.37|contig_39320_52|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	SRX802189.37|contig_39320_52|MM01 source=viral family=Chl_ab_binding_proteins mag=SRX802189.37 protein=contig_39320_52 clade=MM01
SRX803008.24|contig_14000_43|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	189	SRX803008.24|contig_14000_43|MM01 source=viral family=Chl_ab_binding_proteins mag=SRX803008.24 protein=contig_14000_43 clade=MM01
ERX552270.94|contig_28937_25|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	188	ERX552270.94|contig_28937_25|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552270.94 protein=contig_28937_25 clade=MM01
ERX552274.9|contig_25174_16|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	188	ERX552274.9|contig_25174_16|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552274.9 protein=contig_25174_16 clade=MM01
ERX552270.42|contig_3082_8|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	187	ERX552270.42|contig_3082_8|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX552270.42 protein=contig_3082_8 clade=MM09
ERX552270.56|contig_4353_144|MM09	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	187	ERX552270.56|contig_4353_144|MM09 source=viral family=Chl_ab_binding_proteins mag=ERX552270.56 protein=contig_4353_144 clade=MM09
ERX555907.46|contig_26713_28|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	187	ERX555907.46|contig_26713_28|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX555907.46 protein=contig_26713_28 clade=MM01
ERX552270.65|contig_18233_6|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	186	ERX552270.65|contig_18233_6|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552270.65 protein=contig_18233_6 clade=MM01
ERX552298.27|contig_77618_10|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	186	ERX552298.27|contig_77618_10|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552298.27 protein=contig_77618_10 clade=MM01
ERX555926.27|contig_47355_13|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	186	ERX555926.27|contig_47355_13|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX555926.27 protein=contig_47355_13 clade=MM01
ERX552256.7|contig_8903_72|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	185	ERX552256.7|contig_8903_72|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552256.7 protein=contig_8903_72 clade=MM01
ERX552270.86|contig_1709_81|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	185	ERX552270.86|contig_1709_81|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552270.86 protein=contig_1709_81 clade=MM01
ERX552274.30|contig_4064_9|MM01	0.6180555555555556	1	0	0	0	0	1	1	0.0	1.0	185	ERX552274.30|contig_4064_9|MM01 source=viral family=Chl_ab_binding_proteins mag=ERX552274.30 protein=contig_4064_9 clade=MM01
