gene_family	domain_group	raw_label	seq_core	mag_id_short	clade	has_explicit_viral_suffix
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	236097.ADG881_527	236097.ADG881_527			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	83406.HDN1F_36450	83406.HDN1F_36450			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	575586.HMPREF0016_01419	575586.HMPREF0016_01419			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	553217.ENHAE0001_0261	553217.ENHAE0001_0261			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	857571.EA1_03265	857571.EA1_03265			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	349106.PsycPRwf_1559	349106.PsycPRwf_1559			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	335284.Pcryo_1842	335284.Pcryo_1842			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	314232.SKA53_13696	314232.SKA53_13696			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	391593.RCCS2_07679	391593.RCCS2_07679			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	388401.RB2150_15391	388401.RB2150_15391			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	398580.Dshi_2685	398580.Dshi_2685			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	290400.Jann_3828	290400.Jann_3828			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	314270.RB2083_2171	314270.RB2083_2171			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	318586.Pden_1060	318586.Pden_1060			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	89187.ISM_05255	89187.ISM_05255			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	633131.TR2A62_3480	633131.TR2A62_3480			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	391619.RGBS107_09781	391619.RGBS107_09781			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	644076.SCH4B_2565	644076.SCH4B_2565			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	644107.SL1157_0239	644107.SL1157_0239			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	314262.MED193_09400	314262.MED193_09400			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	501479.CSE45_5178	501479.CSE45_5178			False
Glycolysis_Glyc_3_P_dehydrogenase	Bacteria	314265.R2601_01340	314265.R2601_01340			False
