align_id	align_description	matched_label	group
546263.NEIELOOT_02869	546263.NEIELOOT_02869	546263.NEIELOOT_02869	cellular
545695.TREAZ_3383	545695.TREAZ_3383	545695.TREAZ_3383	cellular
553204.CORAM0001_0406	553204.CORAM0001_0406	553204.CORAM0001_0406	cellular
547559.Nmag_2141	547559.Nmag_2141	547559.Nmag_2141	cellular
565045.NOR51B_1550	565045.NOR51B_1550	565045.NOR51B_1550	cellular
553207.HMPREF0299_5578	553207.HMPREF0299_5578	553207.HMPREF0299_5578	cellular
5691.AAZ11987	5691.AAZ11987	5691.AAZ11987	cellular
566466.NOR53_3374	566466.NOR53_3374	566466.NOR53_3374	cellular
575586.HMPREF0016_01419	575586.HMPREF0016_01419	575586.HMPREF0016_01419	cellular
572546.Arcpr_0732	572546.Arcpr_0732	572546.Arcpr_0732	cellular
36630.CADNFIAP00008928	36630.CADNFIAP00008928	36630.CADNFIAP00008928	cellular
3218.PP1S57_242V6.1	3218.PP1S57_242V6.1	3218.PP1S57_242V6.1	cellular
323259.Mhun_2462	323259.Mhun_2462	323259.Mhun_2462	cellular
3218.PP1S309_73V6.1	3218.PP1S309_73V6.1	3218.PP1S309_73V6.1	cellular
3218.PP1S323_65V6.1	3218.PP1S323_65V6.1	3218.PP1S323_65V6.1	cellular
3218.PP1S49_34V6.1	3218.PP1S49_34V6.1	3218.PP1S49_34V6.1	cellular
3218.PP1S49_96V6.1	3218.PP1S49_96V6.1	3218.PP1S49_96V6.1	cellular
316067.Geob_1167	316067.Geob_1167	316067.Geob_1167	cellular
318586.Pden_1060	318586.Pden_1060	318586.Pden_1060	cellular
32049.SYNPCC7002_A2697	32049.SYNPCC7002_A2697	32049.SYNPCC7002_A2697	cellular
320771.Cflav_PD3555	320771.Cflav_PD3555	320771.Cflav_PD3555	cellular
679901.Mzhil_1145	679901.Mzhil_1145	679901.Mzhil_1145	cellular
675817.VDA_001240	675817.VDA_001240	675817.VDA_001240	cellular
644295.Metev_0436	644295.Metev_0436	644295.Metev_0436	cellular
644107.SL1157_0239	644107.SL1157_0239	644107.SL1157_0239	cellular
644076.SCH4B_2565	644076.SCH4B_2565	644076.SCH4B_2565	cellular
64091.VNG0095G	64091.VNG0095G	64091.VNG0095G	cellular
675812.VHA_002160	675812.VHA_002160	675812.VHA_002160	cellular
663331.XP_003012948.1	663331.XP_003012948.1	663331.XP_003012948.1	cellular
663321.REG_1912	663321.REG_1912	663321.REG_1912	cellular
65071.PYU1_T013665	65071.PYU1_T013665	65071.PYU1_T013665	cellular
357804.Ping_1771	357804.Ping_1771	357804.Ping_1771	cellular
357804.Ping_2004	357804.Ping_2004	357804.Ping_2004	cellular
351348.Maqu_1932	351348.Maqu_1932	351348.Maqu_1932	cellular
351605.Gura_2659	351605.Gura_2659	351605.Gura_2659	cellular
349521.HCH_01536	349521.HCH_01536	349521.HCH_01536	cellular
349521.HCH_02684	349521.HCH_02684	349521.HCH_02684	cellular
349106.PsycPRwf_1559	349106.PsycPRwf_1559	349106.PsycPRwf_1559	cellular
349307.Mthe_0701	349307.Mthe_0701	349307.Mthe_0701	cellular
ERX555990.11.fa.dc..contig_14252_11...MM09	ERX555990.11.fa.dc..contig_14252_11...MM09	ERX555990.11.fa.dc..contig_14252_11...MM09	viral
ERX555965.60.fa.dc..contig_20713_3...MM01	ERX555965.60.fa.dc..contig_20713_3...MM01	ERX555965.60.fa.dc..contig_20713_3...MM01	viral
ERX556005.37.fa.dc..contig_9478_40...MM09	ERX556005.37.fa.dc..contig_9478_40...MM09	ERX556005.37.fa.dc..contig_9478_40...MM09	viral
ERX556005.35.fa.dc..contig_32831_14...MM09	ERX556005.35.fa.dc..contig_32831_14...MM09	ERX556005.35.fa.dc..contig_32831_14...MM09	viral
ERX556028.57.fa.dc..contig_1014_16...MM01	ERX556028.57.fa.dc..contig_1014_16...MM01	ERX556028.57.fa.dc..contig_1014_16...MM01	viral
ERX556015.14.fa.dc..contig_79042_12...MM09	ERX556015.14.fa.dc..contig_79042_12...MM09	ERX556015.14.fa.dc..contig_79042_12...MM09	viral
ERX556045.12.fa.dc..contig_60835_9...MM01	ERX556045.12.fa.dc..contig_60835_9...MM01	ERX556045.12.fa.dc..contig_60835_9...MM01	viral
ERX556034.16.fa.dc..contig_14072_13...MM09	ERX556034.16.fa.dc..contig_14072_13...MM09	ERX556034.16.fa.dc..contig_14072_13...MM09	viral
273075.Ta1103	273075.Ta1103	273075.Ta1103	cellular
273116.TVN0458	273116.TVN0458	273116.TVN0458	cellular
274854.MG2_1246	274854.MG2_1246	274854.MG2_1246	cellular
281689.Dace_0164	281689.Dace_0164	281689.Dace_0164	cellular
259564.Mbur_0851	259564.Mbur_0851	259564.Mbur_0851	cellular
263820.PTO0742	263820.PTO0742	263820.PTO0742	cellular
269797.Mbar_A2189	269797.Mbar_A2189	269797.Mbar_A2189	cellular
272569.rrnAC2262	272569.rrnAC2262	272569.rrnAC2262	cellular
283942.IL2213	283942.IL2213	283942.IL2213	cellular
290340.AAur_2411	290340.AAur_2411	290340.AAur_2411	cellular
858619.CVAR_1851	858619.CVAR_1851	858619.CVAR_1851	cellular
857571.EA1_03265	857571.EA1_03265	857571.EA1_03265	cellular
83406.HDN1F_33020	83406.HDN1F_33020	83406.HDN1F_33020	cellular
797210.Halxa_1641	797210.Halxa_1641	797210.Halxa_1641	cellular
85643.Tmz1t_2599	85643.Tmz1t_2599	85643.Tmz1t_2599	cellular
83406.HDN1F_36450	83406.HDN1F_36450	83406.HDN1F_36450	cellular
765952.PUV_06120	765952.PUV_06120	765952.PUV_06120	cellular
76114.ebA6546	76114.ebA6546	76114.ebA6546	cellular
797209.ZOD2009_11025	797209.ZOD2009_11025	797209.ZOD2009_11025	cellular
795797.HacjB3_14555	795797.HacjB3_14555	795797.HacjB3_14555	cellular
402676.XP_002171328.1	402676.XP_002171328.1	402676.XP_002171328.1	cellular
40559.EDN30462	40559.EDN30462	40559.EDN30462	cellular
391615.GP5015_46	391615.GP5015_46	391615.GP5015_46	cellular
391619.RGBS107_09781	391619.RGBS107_09781	391619.RGBS107_09781	cellular
39416.CAZ84931	39416.CAZ84931	39416.CAZ84931	cellular
395961.Cyan7425_0425	395961.Cyan7425_0425	395961.Cyan7425_0425	cellular
398580.Dshi_2685	398580.Dshi_2685	398580.Dshi_2685	cellular
39946.BGIOSGA016636-PA	39946.BGIOSGA016636-PA	39946.BGIOSGA016636-PA	cellular
399739.Pmen_1594	399739.Pmen_1594	399739.Pmen_1594	cellular
400668.Mmwyl1_4318	400668.Mmwyl1_4318	400668.Mmwyl1_4318	cellular
ERX552255.59.fa.dc..contig_119760_19...MM09	ERX552255.59.fa.dc..contig_119760_19...MM09	ERX552255.59.fa.dc..contig_119760_19...MM09	viral
ERX552253.3.fa.dc..contig_12878_15...MM09	ERX552253.3.fa.dc..contig_12878_15...MM09	ERX552253.3.fa.dc..contig_12878_15...MM09	viral
ERX552252.36.fa.dc..contig_6817_15...MM09	ERX552252.36.fa.dc..contig_6817_15...MM09	ERX552252.36.fa.dc..contig_6817_15...MM09	viral
ERX552302.45.fa.dc..contig_34_4...MM09	ERX552302.45.fa.dc..contig_34_4...MM09	ERX552302.45.fa.dc..contig_34_4...MM09	viral
ERX552298.2.fa.dc..contig_230615_4...MM09	ERX552298.2.fa.dc..contig_230615_4...MM09	ERX552298.2.fa.dc..contig_230615_4...MM09	viral
ERX552277.41.fa.dc..contig_23564_4...MM09	ERX552277.41.fa.dc..contig_23564_4...MM09	ERX552277.41.fa.dc..contig_23564_4...MM09	viral
ERX552257.96.fa.dc..contig_14060_4...MM11	ERX552257.96.fa.dc..contig_14060_4...MM11	ERX552257.96.fa.dc..contig_14060_4...MM11	viral
ERX555907.72.fa.dc..contig_11659_9...MM09	ERX555907.72.fa.dc..contig_11659_9...MM09	ERX555907.72.fa.dc..contig_11659_9...MM09	viral
ERX555907.45.fa.dc..contig_1613_14...MM09	ERX555907.45.fa.dc..contig_1613_14...MM09	ERX555907.45.fa.dc..contig_1613_14...MM09	viral
ERX555961.47.fa.dc..contig_3220_24...MM09	ERX555961.47.fa.dc..contig_3220_24...MM09	ERX555961.47.fa.dc..contig_3220_24...MM09	viral
ERX555965.10.fa.dc..contig_7490_11...MM01	ERX555965.10.fa.dc..contig_7490_11...MM01	ERX555965.10.fa.dc..contig_7490_11...MM01	viral
9593.ENSGGOP00000018377	9593.ENSGGOP00000018377	9593.ENSGGOP00000018377	cellular
9593.ENSGGOP00000017508	9593.ENSGGOP00000017508	9593.ENSGGOP00000017508	cellular
9544.ENSMMUP00000017649	9544.ENSMMUP00000017649	9544.ENSMMUP00000017649	cellular
9544.ENSMMUP00000011098	9544.ENSMMUP00000011098	9544.ENSMMUP00000011098	cellular
9544.ENSMMUP00000008494	9544.ENSMMUP00000008494	9544.ENSMMUP00000008494	cellular
9544.ENSMMUP00000004042	9544.ENSMMUP00000004042	9544.ENSMMUP00000004042	cellular
9483.ENSCJAP00000052080	9483.ENSCJAP00000052080	9483.ENSCJAP00000052080	cellular
9483.ENSCJAP00000051270	9483.ENSCJAP00000051270	9483.ENSCJAP00000051270	cellular
391593.RCCS2_07679	391593.RCCS2_07679	391593.RCCS2_07679	cellular
9593.ENSGGOP00000021813	9593.ENSGGOP00000021813	9593.ENSGGOP00000021813	cellular
9593.ENSGGOP00000018542	9593.ENSGGOP00000018542	9593.ENSGGOP00000018542	cellular
4641.GSMUA_Achr11P19110_001	4641.GSMUA_Achr11P19110_001	4641.GSMUA_Achr11P19110_001	cellular
4641.GSMUA_Achr5P00230_001	4641.GSMUA_Achr5P00230_001	4641.GSMUA_Achr5P00230_001	cellular
456320.Mvol_1211	456320.Mvol_1211	456320.Mvol_1211	cellular
456442.Mboo_2454	456442.Mboo_2454	456442.Mboo_2454	cellular
481448.Minf_1033	481448.Minf_1033	481448.Minf_1033	cellular
485914.Hmuk_0529	485914.Hmuk_0529	485914.Hmuk_0529	cellular
469382.Hbor_26990	469382.Hbor_26990	469382.Hbor_26990	cellular
471881.PROPEN_02797	471881.PROPEN_02797	471881.PROPEN_02797	cellular
486041.XP_001879715.1	486041.XP_001879715.1	486041.XP_001879715.1	cellular
489825.LYNGBM3L_01440	489825.LYNGBM3L_01440	489825.LYNGBM3L_01440	cellular
164328.Phyra72392	164328.Phyra72392	164328.Phyra72392	cellular
159087.Daro_3593	159087.Daro_3593	159087.Daro_3593	cellular
177437.HRM2_05230	177437.HRM2_05230	177437.HRM2_05230	cellular
167879.CPS_2344	167879.CPS_2344	167879.CPS_2344	cellular
1148.SYNGTS_1035	1148.SYNGTS_1035	1148.SYNGTS_1035	cellular
1140.Synpcc7942_0245	1140.Synpcc7942_0245	1140.Synpcc7942_0245	cellular
156578.ATW7_08662	156578.ATW7_08662	156578.ATW7_08662	cellular
115713.CPn0624	115713.CPn0624	115713.CPn0624	cellular
190192.MK0618	190192.MK0618	190192.MK0618	cellular
187272.Mlg_1514	187272.Mlg_1514	187272.Mlg_1514	cellular
585529.HMPREF0291_12074	585529.HMPREF0291_12074	585529.HMPREF0291_12074	cellular
585530.HMPREF0183_0526	585530.HMPREF0183_0526	585530.HMPREF0183_0526	cellular
58051.PE36_04178	58051.PE36_04178	58051.PE36_04178	cellular
583355.Caka_2991	583355.Caka_2991	583355.Caka_2991	cellular
62928.azo2418	62928.azo2418	62928.azo2418	cellular
633131.TR2A62_3480	633131.TR2A62_3480	633131.TR2A62_3480	cellular
589924.Ferp_1302	589924.Ferp_1302	589924.Ferp_1302	cellular
59463.ENSMLUP00000017054	59463.ENSMLUP00000017054	59463.ENSMLUP00000017054	cellular
637905.SVI_0715	637905.SVI_0715	637905.SVI_0715	cellular
640081.Dsui_1558	640081.Dsui_1558	640081.Dsui_1558	cellular
314292.VAS14_13644	314292.VAS14_13644	314292.VAS14_13644	cellular
314287.GB2207_09031	314287.GB2207_09031	314287.GB2207_09031	cellular
314232.SKA53_13696	314232.SKA53_13696	314232.SKA53_13696	cellular
312284.A20C1_10740	312284.A20C1_10740	312284.A20C1_10740	cellular
