align_id	align_description	matched_label	group
4787.PITG_02049T0	4787.PITG_02049T0	4787.PITG_02049T0	cellular
321955.BlinB_010200007424	321955.BlinB_010200007424	321955.BlinB_010200007424	cellular
122586.NMB0954	122586.NMB0954	122586.NMB0954	cellular
272952.HpaP807402	272952.HpaP807402	272952.HpaP807402	cellular
272952.HpaP807401	272952.HpaP807401	272952.HpaP807401	cellular
272569.rrnAC2511	272569.rrnAC2511	272569.rrnAC2511	cellular
266940.Krad_0109	266940.Krad_0109	266940.Krad_0109	cellular
265072.Mfla_0061	265072.Mfla_0061	265072.Mfla_0061	cellular
117187.FVEG_09500T0	117187.FVEG_09500T0	117187.FVEG_09500T0	cellular
263358.VAB18032_15680	263358.VAB18032_15680	263358.VAB18032_15680	cellular
262316.MAP0295c	262316.MAP0295c	262316.MAP0295c	cellular
246196.MSMEG_6647	246196.MSMEG_6647	246196.MSMEG_6647	cellular
243365.CV_1070	243365.CV_1070	243365.CV_1070	cellular
543526.Htur_3036	543526.Htur_3036	543526.Htur_3036	cellular
545696.HOLDEFILI_03197	545696.HOLDEFILI_03197	545696.HOLDEFILI_03197	cellular
526221.XP_003006896.1	526221.XP_003006896.1	526221.XP_003006896.1	cellular
526226.Gbro_1815	526226.Gbro_1815	526226.Gbro_1815	cellular
528354.NGFG_00814	528354.NGFG_00814	528354.NGFG_00814	cellular
528357.NgonPI_010100008582	528357.NgonPI_010100008582	528357.NgonPI_010100008582	cellular
525260.HMPREF0276_1404	525260.HMPREF0276_1404	525260.HMPREF0276_1404	cellular
525263.HMPREF0298_2269	525263.HMPREF0298_2269	525263.HMPREF0298_2269	cellular
525264.HMPREF0305_10701	525264.HMPREF0305_10701	525264.HMPREF0305_10701	cellular
525268.HMPREF0308_1642	525268.HMPREF0308_1642	525268.HMPREF0308_1642	cellular
65071.PYU1_T005735	65071.PYU1_T005735	65071.PYU1_T005735	cellular
229533.XP_381598.1	229533.XP_381598.1	229533.XP_381598.1	cellular
