clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552244.9|contig_8865_2|MM01	ERX552244.9	contig_8865_2	MM01	ERX552244.9.fa.dc..contig_8865_2...MM01	ERX552244.9.fa.dc.faa	470
ERX552252.37|contig_16371_2|MM07	ERX552252.37	contig_16371_2	MM07	ERX552252.37.fa.dc..contig_16371_2...MM07	ERX552252.37.fa.dc.faa	582
ERX552252.6|contig_7505_49|LP01	ERX552252.6	contig_7505_49	LP01	ERX552252.6.fa.dc..contig_7505_49...LP01	ERX552252.6.fa.dc.faa	493
ERX552253.37|contig_5406_5|MM07	ERX552253.37	contig_5406_5	MM07	ERX552253.37.fa.dc..contig_5406_5...MM07	ERX552253.37.fa.dc.faa	696
ERX552257.96|contig_80165_1|MM11	ERX552257.96	contig_80165_1	MM11	ERX552257.96.fa.dc..contig_80165_1...MM11	ERX552257.96.fa.dc.faa	317
ERX552257.96|contig_87940_15|MM11	ERX552257.96	contig_87940_15	MM11	ERX552257.96.fa.dc..contig_87940_15...MM11	ERX552257.96.fa.dc.faa	449
ERX552274.25|contig_2091_50|LP01	ERX552274.25	contig_2091_50	LP01	ERX552274.25.fa.dc..contig_2091_50...LP01	ERX552274.25.fa.dc.faa	493
ERX552295.44|contig_18987_32|LP01	ERX552295.44	contig_18987_32	LP01	ERX552295.44.fa.dc..contig_18987_32...LP01	ERX552295.44.fa.dc.faa	493
ERX555957.21|contig_8755_13|MM07	ERX555957.21	contig_8755_13	MM07	ERX555957.21.fa.dc..contig_8755_13...MM07	ERX555957.21.fa.dc.faa	481
ERX555965.60|contig_39981_12|MM01	ERX555965.60	contig_39981_12	MM01	ERX555965.60.fa.dc..contig_39981_12...MM01	ERX555965.60.fa.dc.faa	757
ERX555978.25|contig_21541_1|LP01	ERX555978.25	contig_21541_1	LP01	ERX555978.25.fa.dc..contig_21541_1...LP01	ERX555978.25.fa.dc.faa	320
ERX555984.3|contig_3899_55|LP01	ERX555984.3	contig_3899_55	LP01	ERX555984.3.fa.dc..contig_3899_55...LP01	ERX555984.3.fa.dc.faa	493
ERX556035.15|contig_5103_59|LP01	ERX556035.15	contig_5103_59	LP01	ERX556035.15.fa.dc..contig_5103_59...LP01	ERX556035.15.fa.dc.faa	494
ERX556045.12|contig_8833_18|MM01	ERX556045.12	contig_8833_18	MM01	ERX556045.12.fa.dc..contig_8833_18...MM01	ERX556045.12.fa.dc.faa	757
ERX556059.7|contig_1052_2|LP01	ERX556059.7	contig_1052_2	LP01	ERX556059.7.fa.dc..contig_1052_2...LP01	ERX556059.7.fa.dc.faa	493
SRX514547.41|contig_1356_19|LP01	SRX514547.41	contig_1356_19	LP01	SRX514547.41.fa.dc..contig_1356_19...LP01	SRX514547.41.fa.dc.faa	253
SRX514547.41|contig_1356_20|LP01	SRX514547.41	contig_1356_20	LP01	SRX514547.41.fa.dc..contig_1356_20...LP01	SRX514547.41.fa.dc.faa	194
