seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX552252.49|contig_7299_10|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX552252.49|contig_7299_10|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX552252.49 protein=contig_7299_10 clade=MM09
ERX555907.48|contig_3127_17|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX555907.48|contig_3127_17|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX555907.48 protein=contig_3127_17 clade=MM09
ERX555941.31|contig_14892_4|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX555941.31|contig_14892_4|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX555941.31 protein=contig_14892_4 clade=MM09
ERX555945.3|contig_3898_19|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX555945.3|contig_3898_19|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX555945.3 protein=contig_3898_19 clade=MM09
ERX555978.20|contig_33772_11|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX555978.20|contig_33772_11|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX555978.20 protein=contig_33772_11 clade=MM09
ERX556015.14|contig_66525_5|MM09	53.21787996348698	65	4	0	39	39	26	30	1.0	0.8666666666666667	862	ERX556015.14|contig_66525_5|MM09 source=viral family=TCA_cycle_Aconitase mag=ERX556015.14 protein=contig_66525_5 clade=MM09
ERX552256.7|contig_5916_13|MM01	50.10660403671585	61	8	0	38	39	23	30	0.9743589743589743	0.7666666666666667	878	ERX552256.7|contig_5916_13|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX552256.7 protein=contig_5916_13 clade=MM01
ERX552256.7|contig_23928_4|MM01	50.0073976875095	61	8	0	37	39	24	30	0.9487179487179487	0.8	891	ERX552256.7|contig_23928_4|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX552256.7 protein=contig_23928_4 clade=MM01
ERX288947.1|contig_4850_13|MM01	49.582204979968566	61	8	0	37	39	24	30	0.9487179487179487	0.8	877	ERX288947.1|contig_4850_13|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX288947.1 protein=contig_4850_13 clade=MM01
ERX288965.16|contig_2422_13|MM01	49.582204979968566	61	8	0	37	39	24	30	0.9487179487179487	0.8	877	ERX288965.16|contig_2422_13|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX288965.16 protein=contig_2422_13 clade=MM01
ERX288975.8|contig_12831_4|MM01	49.582204979968566	61	8	0	37	39	24	30	0.9487179487179487	0.8	877	ERX288975.8|contig_12831_4|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX288975.8 protein=contig_12831_4 clade=MM01
ERX555926.27|contig_30772_11|MM01	49.294760129824034	60	9	0	36	39	24	30	0.9230769230769231	0.8	875	ERX555926.27|contig_30772_11|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX555926.27 protein=contig_30772_11 clade=MM01
ERX556009.6|contig_12041_14|MM01	47.536684162482885	59	10	0	35	39	24	30	0.8974358974358975	0.8	862	ERX556009.6|contig_12041_14|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX556009.6 protein=contig_12041_14 clade=MM01
ERX552288.111|contig_19603_32|MM01	46.21882448400021	57	12	0	35	39	22	30	0.8974358974358975	0.7333333333333333	861	ERX552288.111|contig_19603_32|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX552288.111 protein=contig_19603_32 clade=MM01
ERX556009.7|contig_6442_26|MM01	46.21882448400021	57	12	0	35	39	22	30	0.8974358974358975	0.7333333333333333	861	ERX556009.7|contig_6442_26|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX556009.7 protein=contig_6442_26 clade=MM01
ERX552254.32|contig_19166_34|MM01	45.46872305897866	56	13	0	35	39	21	30	0.8974358974358975	0.7	863	ERX552254.32|contig_19166_34|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX552254.32 protein=contig_19166_34 clade=MM01
ERX556088.18|contig_10377_13|MM01	45.46872305897866	56	13	0	35	39	21	30	0.8974358974358975	0.7	863	ERX556088.18|contig_10377_13|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX556088.18 protein=contig_10377_13 clade=MM01
ERX552302.42|contig_30774_14|MM01	45.140486332978355	55	14	0	37	39	18	30	0.9487179487179487	0.6	865	ERX552302.42|contig_30774_14|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX552302.42 protein=contig_30774_14 clade=MM01
ERX555967.90|contig_16658_38|MM01	44.24252624372434	55	14	0	35	39	20	30	0.8974358974358975	0.6666666666666666	865	ERX555967.90|contig_16658_38|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX555967.90 protein=contig_16658_38 clade=MM01
ERX556068.30|contig_101664_3|MM01	40.08115269536995	51	18	0	33	39	18	30	0.8461538461538461	0.6	863	ERX556068.30|contig_101664_3|MM01 source=viral family=TCA_cycle_Aconitase mag=ERX556068.30 protein=contig_101664_3 clade=MM01
