clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552244.17|contig_34560_1|MM09	ERX552244.17	contig_34560_1	MM09	ERX552244.17.fa.dc..contig_34560_1...MM09	ERX552244.17.fa.dc.faa	231
ERX552244.17|contig_34560_2|MM09	ERX552244.17	contig_34560_2	MM09	ERX552244.17.fa.dc..contig_34560_2...MM09	ERX552244.17.fa.dc.faa	120
ERX552252.1|contig_81377_20|MM01	ERX552252.1	contig_81377_20	MM01	ERX552252.1.fa.dc..contig_81377_20...MM01	ERX552252.1.fa.dc.faa	271
ERX552252.26|contig_2355_34|LP01	ERX552252.26	contig_2355_34	LP01	ERX552252.26.fa.dc..contig_2355_34...LP01	ERX552252.26.fa.dc.faa	201
ERX552252.36|contig_1130_7|MM09	ERX552252.36	contig_1130_7	MM09	ERX552252.36.fa.dc..contig_1130_7...MM09	ERX552252.36.fa.dc.faa	255
ERX552252.49|contig_84629_12|MM09	ERX552252.49	contig_84629_12	MM09	ERX552252.49.fa.dc..contig_84629_12...MM09	ERX552252.49.fa.dc.faa	240
ERX552252.57|contig_4660_8|LP01	ERX552252.57	contig_4660_8	LP01	ERX552252.57.fa.dc..contig_4660_8...LP01	ERX552252.57.fa.dc.faa	201
ERX552252.6|contig_7505_50|LP01	ERX552252.6	contig_7505_50	LP01	ERX552252.6.fa.dc..contig_7505_50...LP01	ERX552252.6.fa.dc.faa	203
ERX552252.6|contig_13625_44|LP01	ERX552252.6	contig_13625_44	LP01	ERX552252.6.fa.dc..contig_13625_44...LP01	ERX552252.6.fa.dc.faa	243
ERX552253.3|contig_6685_5|MM09	ERX552253.3	contig_6685_5	MM09	ERX552253.3.fa.dc..contig_6685_5...MM09	ERX552253.3.fa.dc.faa	270
ERX552253.3|contig_17914_10|MM09	ERX552253.3	contig_17914_10	MM09	ERX552253.3.fa.dc..contig_17914_10...MM09	ERX552253.3.fa.dc.faa	239
ERX552253.44|contig_29285_37|LP01	ERX552253.44	contig_29285_37	LP01	ERX552253.44.fa.dc..contig_29285_37...LP01	ERX552253.44.fa.dc.faa	201
ERX552254.13|contig_18272_14|MM16	ERX552254.13	contig_18272_14	MM16	ERX552254.13.fa.dc..contig_18272_14...MM16	ERX552254.13.fa.dc.faa	245
ERX552255.59|contig_29295_6|MM09	ERX552255.59	contig_29295_6	MM09	ERX552255.59.fa.dc..contig_29295_6...MM09	ERX552255.59.fa.dc.faa	273
ERX552255.59|contig_195893_7|MM09	ERX552255.59	contig_195893_7	MM09	ERX552255.59.fa.dc..contig_195893_7...MM09	ERX552255.59.fa.dc.faa	257
ERX552255.7|contig_869_9|MM09	ERX552255.7	contig_869_9	MM09	ERX552255.7.fa.dc..contig_869_9...MM09	ERX552255.7.fa.dc.faa	240
ERX552261.23|contig_26370_28|MM12	ERX552261.23	contig_26370_28	MM12	ERX552261.23.fa.dc..contig_26370_28...MM12	ERX552261.23.fa.dc.faa	251
