clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.11|contig_3684_30|MM01	ERX288947.11	contig_3684_30	MM01	ERX288947.11.fa.dc..contig_3684_30...MM01	ERX288947.11.fa.dc.faa	179
ERX288947.1|contig_4397_21|MM01	ERX288947.1	contig_4397_21	MM01	ERX288947.1.fa.dc..contig_4397_21...MM01	ERX288947.1.fa.dc.faa	194
ERX288947.59|contig_25629_14|MM01	ERX288947.59	contig_25629_14	MM01	ERX288947.59.fa.dc..contig_25629_14...MM01	ERX288947.59.fa.dc.faa	177
ERX288965.16|contig_4107_26|MM01	ERX288965.16	contig_4107_26	MM01	ERX288965.16.fa.dc..contig_4107_26...MM01	ERX288965.16.fa.dc.faa	194
ERX288973.1|contig_592_26|MM01	ERX288973.1	contig_592_26	MM01	ERX288973.1.fa.dc..contig_592_26...MM01	ERX288973.1.fa.dc.faa	194
ERX288975.8|contig_2012_22|MM01	ERX288975.8	contig_2012_22	MM01	ERX288975.8.fa.dc..contig_2012_22...MM01	ERX288975.8.fa.dc.faa	194
ERX289005.28|contig_65405_7|MM01	ERX289005.28	contig_65405_7	MM01	ERX289005.28.fa.dc..contig_65405_7...MM01	ERX289005.28.fa.dc.faa	177
ERX552252.1|contig_1513_9|MM01	ERX552252.1	contig_1513_9	MM01	ERX552252.1.fa.dc..contig_1513_9...MM01	ERX552252.1.fa.dc.faa	183
ERX552252.49|contig_24919_19|MM09	ERX552252.49	contig_24919_19	MM09	ERX552252.49.fa.dc..contig_24919_19...MM09	ERX552252.49.fa.dc.faa	189
ERX552252.57|contig_4660_29|LP01	ERX552252.57	contig_4660_29	LP01	ERX552252.57.fa.dc..contig_4660_29...LP01	ERX552252.57.fa.dc.faa	205
ERX552252.57|contig_4660_30|LP01	ERX552252.57	contig_4660_30	LP01	ERX552252.57.fa.dc..contig_4660_30...LP01	ERX552252.57.fa.dc.faa	185
ERX552252.6|contig_13625_2|LP01	ERX552252.6	contig_13625_2	LP01	ERX552252.6.fa.dc..contig_13625_2...LP01	ERX552252.6.fa.dc.faa	141
ERX552254.5|contig_15403_21|MM01	ERX552254.5	contig_15403_21	MM01	ERX552254.5.fa.dc..contig_15403_21...MM01	ERX552254.5.fa.dc.faa	189
ERX552256.7|contig_8903_72|MM01	ERX552256.7	contig_8903_72	MM01	ERX552256.7.fa.dc..contig_8903_72...MM01	ERX552256.7.fa.dc.faa	185
ERX552258.48|contig_43208_1|EP05	ERX552258.48	contig_43208_1	EP05	ERX552258.48.fa.dc..contig_43208_1...EP05	ERX552258.48.fa.dc.faa	281
ERX552261.31|contig_763_3|MM09	ERX552261.31	contig_763_3	MM09	ERX552261.31.fa.dc..contig_763_3...MM09	ERX552261.31.fa.dc.faa	205
ERX552270.100|contig_9516_17|MM01	ERX552270.100	contig_9516_17	MM01	ERX552270.100.fa.dc..contig_9516_17...MM01	ERX552270.100.fa.dc.faa	183
ERX552270.10|contig_23559_13|MM09	ERX552270.10	contig_23559_13	MM09	ERX552270.10.fa.dc..contig_23559_13...MM09	ERX552270.10.fa.dc.faa	200
