seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX556031.10|contig_5776_6|MM01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	177	ERX556031.10|contig_5776_6|MM01 source=viral family=Superoxide_dismutase mag=ERX556031.10 protein=contig_5776_6 clade=MM01
ERX552287.8|contig_42684_6|MM08	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	167	ERX552287.8|contig_42684_6|MM08 source=viral family=Superoxide_dismutase mag=ERX552287.8 protein=contig_42684_6 clade=MM08
ERX555933.22|contig_122030_10|MM01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	167	ERX555933.22|contig_122030_10|MM01 source=viral family=Superoxide_dismutase mag=ERX555933.22 protein=contig_122030_10 clade=MM01
ERX555957.21|contig_26834_14|MM07	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	160	ERX555957.21|contig_26834_14|MM07 source=viral family=Superoxide_dismutase mag=ERX555957.21 protein=contig_26834_14 clade=MM07
ERX552309.9|contig_224_5|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	159	ERX552309.9|contig_224_5|LP01 source=viral family=Superoxide_dismutase mag=ERX552309.9 protein=contig_224_5 clade=LP01
ERX552326.9|contig_3254_4|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	159	ERX552326.9|contig_3254_4|LP01 source=viral family=Superoxide_dismutase mag=ERX552326.9 protein=contig_3254_4 clade=LP01
ERX552348.26|contig_554_24|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	159	ERX552348.26|contig_554_24|LP01 source=viral family=Superoxide_dismutase mag=ERX552348.26 protein=contig_554_24 clade=LP01
SRX514547.41|contig_1356_13|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	159	SRX514547.41|contig_1356_13|LP01 source=viral family=Superoxide_dismutase mag=SRX514547.41 protein=contig_1356_13 clade=LP01
ERX555958.13|contig_1291_16|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	158	ERX555958.13|contig_1291_16|LP01 source=viral family=Superoxide_dismutase mag=ERX555958.13 protein=contig_1291_16 clade=LP01
ERX556034.38|contig_80926_53|LP01	9.631804780779019	13	0	0	2	2	11	11	1.0	1.0	158	ERX556034.38|contig_80926_53|LP01 source=viral family=Superoxide_dismutase mag=ERX556034.38 protein=contig_80926_53 clade=LP01
