clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.11|contig_3684_13|MM01	ERX288947.11	contig_3684_13	MM01	ERX288947.11.fa.dc..contig_3684_13...MM01	ERX288947.11.fa.dc.faa	166
ERX288947.1|contig_492_3|MM01	ERX288947.1	contig_492_3	MM01	ERX288947.1.fa.dc..contig_492_3...MM01	ERX288947.1.fa.dc.faa	151
ERX288947.59|contig_8722_9|MM01	ERX288947.59	contig_8722_9	MM01	ERX288947.59.fa.dc..contig_8722_9...MM01	ERX288947.59.fa.dc.faa	219
ERX288965.16|contig_9173_18|MM01	ERX288965.16	contig_9173_18	MM01	ERX288965.16.fa.dc..contig_9173_18...MM01	ERX288965.16.fa.dc.faa	151
ERX288975.8|contig_10047_3|MM01	ERX288975.8	contig_10047_3	MM01	ERX288975.8.fa.dc..contig_10047_3...MM01	ERX288975.8.fa.dc.faa	151
ERX289005.28|contig_83908_10|MM01	ERX289005.28	contig_83908_10	MM01	ERX289005.28.fa.dc..contig_83908_10...MM01	ERX289005.28.fa.dc.faa	219
ERX289005.60|contig_18666_35|MM01	ERX289005.60	contig_18666_35	MM01	ERX289005.60.fa.dc..contig_18666_35...MM01	ERX289005.60.fa.dc.faa	211
ERX552254.32|contig_12452_10|MM01	ERX552254.32	contig_12452_10	MM01	ERX552254.32.fa.dc..contig_12452_10...MM01	ERX552254.32.fa.dc.faa	179
ERX552261.56|contig_3811_12|IR01	ERX552261.56	contig_3811_12	IR01	ERX552261.56.fa.dc..contig_3811_12...IR01	ERX552261.56.fa.dc.faa	184
ERX552270.100|contig_9516_12|MM01	ERX552270.100	contig_9516_12	MM01	ERX552270.100.fa.dc..contig_9516_12...MM01	ERX552270.100.fa.dc.faa	277
ERX552270.122|contig_7529_23|IR01	ERX552270.122	contig_7529_23	IR01	ERX552270.122.fa.dc..contig_7529_23...IR01	ERX552270.122.fa.dc.faa	193
ERX552270.52|contig_56405_1|MM01	ERX552270.52	contig_56405_1	MM01	ERX552270.52.fa.dc..contig_56405_1...MM01	ERX552270.52.fa.dc.faa	124
ERX552270.8|contig_41436_22|LP05	ERX552270.8	contig_41436_22	LP05	ERX552270.8.fa.dc..contig_41436_22...LP05	ERX552270.8.fa.dc.faa	166
ERX552270.94|contig_28937_22|MM01	ERX552270.94	contig_28937_22	MM01	ERX552270.94.fa.dc..contig_28937_22...MM01	ERX552270.94.fa.dc.faa	174
ERX552274.5|contig_38889_8|MM01	ERX552274.5	contig_38889_8	MM01	ERX552274.5.fa.dc..contig_38889_8...MM01	ERX552274.5.fa.dc.faa	219
ERX552287.8|contig_42684_6|MM08	ERX552287.8	contig_42684_6	MM08	ERX552287.8.fa.dc..contig_42684_6...MM08	ERX552287.8.fa.dc.faa	167
ERX552288.39|contig_767_4|MM01	ERX552288.39	contig_767_4	MM01	ERX552288.39.fa.dc..contig_767_4...MM01	ERX552288.39.fa.dc.faa	167
ERX552292.53|contig_32032_16|MM01	ERX552292.53	contig_32032_16	MM01	ERX552292.53.fa.dc..contig_32032_16...MM01	ERX552292.53.fa.dc.faa	342
ERX552296.13|contig_9877_22|MM01	ERX552296.13	contig_9877_22	MM01	ERX552296.13.fa.dc..contig_9877_22...MM01	ERX552296.13.fa.dc.faa	604
ERX552296.13|contig_19936_10|MM01	ERX552296.13	contig_19936_10	MM01	ERX552296.13.fa.dc..contig_19936_10...MM01	ERX552296.13.fa.dc.faa	161
ERX552296.31|contig_27115_15|MM01	ERX552296.31	contig_27115_15	MM01	ERX552296.31.fa.dc..contig_27115_15...MM01	ERX552296.31.fa.dc.faa	156
ERX552297.51|contig_13110_1|MM01	ERX552297.51	contig_13110_1	MM01	ERX552297.51.fa.dc..contig_13110_1...MM01	ERX552297.51.fa.dc.faa	213
ERX552297.80|contig_76136_9|MM01	ERX552297.80	contig_76136_9	MM01	ERX552297.80.fa.dc..contig_76136_9...MM01	ERX552297.80.fa.dc.faa	172
ERX552309.9|contig_224_5|LP01	ERX552309.9	contig_224_5	LP01	ERX552309.9.fa.dc..contig_224_5...LP01	ERX552309.9.fa.dc.faa	159
