clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552252.36|contig_6817_15|MM09	ERX552252.36	contig_6817_15	MM09	ERX552252.36.fa.dc..contig_6817_15...MM09	ERX552252.36.fa.dc.faa	377
ERX552253.3|contig_12878_15|MM09	ERX552253.3	contig_12878_15	MM09	ERX552253.3.fa.dc..contig_12878_15...MM09	ERX552253.3.fa.dc.faa	377
ERX552255.59|contig_119760_19|MM09	ERX552255.59	contig_119760_19	MM09	ERX552255.59.fa.dc..contig_119760_19...MM09	ERX552255.59.fa.dc.faa	354
ERX552257.96|contig_14060_4|MM11	ERX552257.96	contig_14060_4	MM11	ERX552257.96.fa.dc..contig_14060_4...MM11	ERX552257.96.fa.dc.faa	339
ERX552277.41|contig_23564_4|MM09	ERX552277.41	contig_23564_4	MM09	ERX552277.41.fa.dc..contig_23564_4...MM09	ERX552277.41.fa.dc.faa	377
ERX552298.2|contig_230615_4|MM09	ERX552298.2	contig_230615_4	MM09	ERX552298.2.fa.dc..contig_230615_4...MM09	ERX552298.2.fa.dc.faa	383
ERX552302.45|contig_34_4|MM09	ERX552302.45	contig_34_4	MM09	ERX552302.45.fa.dc..contig_34_4...MM09	ERX552302.45.fa.dc.faa	377
ERX555907.45|contig_1613_14|MM09	ERX555907.45	contig_1613_14	MM09	ERX555907.45.fa.dc..contig_1613_14...MM09	ERX555907.45.fa.dc.faa	377
ERX555907.72|contig_11659_9|MM09	ERX555907.72	contig_11659_9	MM09	ERX555907.72.fa.dc..contig_11659_9...MM09	ERX555907.72.fa.dc.faa	354
ERX555907.87|contig_5701_26|MM09	ERX555907.87	contig_5701_26	MM09	ERX555907.87.fa.dc..contig_5701_26...MM09	ERX555907.87.fa.dc.faa	338
ERX555913.32|contig_39242_19|MM09	ERX555913.32	contig_39242_19	MM09	ERX555913.32.fa.dc..contig_39242_19...MM09	ERX555913.32.fa.dc.faa	377
ERX555917.28|contig_40585_13|MM09	ERX555917.28	contig_40585_13	MM09	ERX555917.28.fa.dc..contig_40585_13...MM09	ERX555917.28.fa.dc.faa	353
ERX555941.31|contig_48368_9|MM09	ERX555941.31	contig_48368_9	MM09	ERX555941.31.fa.dc..contig_48368_9...MM09	ERX555941.31.fa.dc.faa	324
ERX555945.3|contig_5025_37|MM09	ERX555945.3	contig_5025_37	MM09	ERX555945.3.fa.dc..contig_5025_37...MM09	ERX555945.3.fa.dc.faa	324
ERX555951.15|contig_1905_36|MM09	ERX555951.15	contig_1905_36	MM09	ERX555951.15.fa.dc..contig_1905_36...MM09	ERX555951.15.fa.dc.faa	354
ERX555951.28|contig_1884_12|MM09	ERX555951.28	contig_1884_12	MM09	ERX555951.28.fa.dc..contig_1884_12...MM09	ERX555951.28.fa.dc.faa	338
ERX555961.43|contig_5042_4|MM09	ERX555961.43	contig_5042_4	MM09	ERX555961.43.fa.dc..contig_5042_4...MM09	ERX555961.43.fa.dc.faa	377
ERX555961.47|contig_3220_24|MM09	ERX555961.47	contig_3220_24	MM09	ERX555961.47.fa.dc..contig_3220_24...MM09	ERX555961.47.fa.dc.faa	337
ERX555965.10|contig_7490_11|MM01	ERX555965.10	contig_7490_11	MM01	ERX555965.10.fa.dc..contig_7490_11...MM01	ERX555965.10.fa.dc.faa	335
