clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX288947.1|contig_9341_30|MM01	ERX288947.1	contig_9341_30	MM01	ERX288947.1.fa.dc..contig_9341_30...MM01	ERX288947.1.fa.dc.faa	455
ERX288965.16|contig_10138_22|MM01	ERX288965.16	contig_10138_22	MM01	ERX288965.16.fa.dc..contig_10138_22...MM01	ERX288965.16.fa.dc.faa	455
ERX288973.1|contig_2183_31|MM01	ERX288973.1	contig_2183_31	MM01	ERX288973.1.fa.dc..contig_2183_31...MM01	ERX288973.1.fa.dc.faa	351
ERX288975.8|contig_3883_9|MM01	ERX288975.8	contig_3883_9	MM01	ERX288975.8.fa.dc..contig_3883_9...MM01	ERX288975.8.fa.dc.faa	551
ERX552243.92|contig_90099_11|MM01	ERX552243.92	contig_90099_11	MM01	ERX552243.92.fa.dc..contig_90099_11...MM01	ERX552243.92.fa.dc.faa	458
ERX552252.36|contig_15445_23|MM09	ERX552252.36	contig_15445_23	MM09	ERX552252.36.fa.dc..contig_15445_23...MM09	ERX552252.36.fa.dc.faa	481
ERX552256.7|contig_5916_11|MM01	ERX552256.7	contig_5916_11	MM01	ERX552256.7.fa.dc..contig_5916_11...MM01	ERX552256.7.fa.dc.faa	465
ERX552270.56|contig_4353_48|MM09	ERX552270.56	contig_4353_48	MM09	ERX552270.56.fa.dc..contig_4353_48...MM09	ERX552270.56.fa.dc.faa	468
ERX555941.31|contig_13338_4|MM09	ERX555941.31	contig_13338_4	MM09	ERX555941.31.fa.dc..contig_13338_4...MM09	ERX555941.31.fa.dc.faa	481
ERX555945.3|contig_3472_22|MM09	ERX555945.3	contig_3472_22	MM09	ERX555945.3.fa.dc..contig_3472_22...MM09	ERX555945.3.fa.dc.faa	481
ERX555978.20|contig_10556_10|MM09	ERX555978.20	contig_10556_10	MM09	ERX555978.20.fa.dc..contig_10556_10...MM09	ERX555978.20.fa.dc.faa	481
ERX556015.14|contig_43163_4|MM09	ERX556015.14	contig_43163_4	MM09	ERX556015.14.fa.dc..contig_43163_4...MM09	ERX556015.14.fa.dc.faa	481
ERX556017.61|contig_57824_13|MM09	ERX556017.61	contig_57824_13	MM09	ERX556017.61.fa.dc..contig_57824_13...MM09	ERX556017.61.fa.dc.faa	481
SRX802077.79|contig_53318_11|MM16	SRX802077.79	contig_53318_11	MM16	SRX802077.79.fa.dc..contig_53318_11...MM16	SRX802077.79.fa.dc.faa	1016
