seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX552252.36|contig_15445_23|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX552252.36|contig_15445_23|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX552252.36 protein=contig_15445_23 clade=MM09
ERX555941.31|contig_13338_4|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX555941.31|contig_13338_4|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX555941.31 protein=contig_13338_4 clade=MM09
ERX555945.3|contig_3472_22|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX555945.3|contig_3472_22|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX555945.3 protein=contig_3472_22 clade=MM09
ERX555978.20|contig_10556_10|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX555978.20|contig_10556_10|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX555978.20 protein=contig_10556_10 clade=MM09
ERX556015.14|contig_43163_4|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX556015.14|contig_43163_4|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX556015.14 protein=contig_43163_4 clade=MM09
ERX556017.61|contig_57824_13|MM09	33.09058368032727	42	0	0	19	19	23	23	1.0	1.0	481	ERX556017.61|contig_57824_13|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX556017.61 protein=contig_57824_13 clade=MM09
ERX288947.1|contig_9341_30|MM01	30.926619913799406	39	3	0	19	19	20	23	1.0	0.8695652173913043	455	ERX288947.1|contig_9341_30|MM01 source=viral family=TCA_cycle_Citrate_synthase mag=ERX288947.1 protein=contig_9341_30 clade=MM01
ERX288965.16|contig_10138_22|MM01	30.926619913799406	39	3	0	19	19	20	23	1.0	0.8695652173913043	455	ERX288965.16|contig_10138_22|MM01 source=viral family=TCA_cycle_Citrate_synthase mag=ERX288965.16 protein=contig_10138_22 clade=MM01
ERX552270.56|contig_4353_48|MM09	26.272152823434872	34	8	0	18	19	16	23	0.9473684210526315	0.6956521739130435	468	ERX552270.56|contig_4353_48|MM09 source=viral family=TCA_cycle_Citrate_synthase mag=ERX552270.56 protein=contig_4353_48 clade=MM09
ERX552256.7|contig_5916_11|MM01	25.497351888377533	33	9	0	17	19	16	23	0.8947368421052632	0.6956521739130435	465	ERX552256.7|contig_5916_11|MM01 source=viral family=TCA_cycle_Citrate_synthase mag=ERX552256.7 protein=contig_5916_11 clade=MM01
ERX552243.92|contig_90099_11|MM01	13.573635765943456	21	21	0	9	19	12	23	0.47368421052631576	0.5217391304347826	458	ERX552243.92|contig_90099_11|MM01 source=viral family=TCA_cycle_Citrate_synthase mag=ERX552243.92 protein=contig_90099_11 clade=MM01
SRX802077.79|contig_53318_11|MM16	3.5556468697494337	11	31	0	4	19	7	23	0.21052631578947367	0.30434782608695654	1016	SRX802077.79|contig_53318_11|MM16 source=viral family=TCA_cycle_Citrate_synthase mag=SRX802077.79 protein=contig_53318_11 clade=MM16
