seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX556049.12|contig_803_38|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	258	ERX556049.12|contig_803_38|MM01 source=viral family=Rhodopsin mag=ERX556049.12 protein=contig_803_38 clade=MM01
ERX555964.34|contig_6604_52|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	256	ERX555964.34|contig_6604_52|MM01 source=viral family=Rhodopsin mag=ERX555964.34 protein=contig_6604_52 clade=MM01
ERX552270.73|contig_150102_9|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	255	ERX552270.73|contig_150102_9|MM01 source=viral family=Rhodopsin mag=ERX552270.73 protein=contig_150102_9 clade=MM01
SRX802202.7|contig_12118_53|MM08	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	253	SRX802202.7|contig_12118_53|MM08 source=viral family=Rhodopsin mag=SRX802202.7 protein=contig_12118_53 clade=MM08
ERX555954.29|contig_12733_18|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	249	ERX555954.29|contig_12733_18|MM01 source=viral family=Rhodopsin mag=ERX555954.29 protein=contig_12733_18 clade=MM01
ERX552241.31|contig_1580_10|MM05	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	245	ERX552241.31|contig_1580_10|MM05 source=viral family=Rhodopsin mag=ERX552241.31 protein=contig_1580_10 clade=MM05
ERX552264.42|contig_4102_15|MM05	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	245	ERX552264.42|contig_4102_15|MM05 source=viral family=Rhodopsin mag=ERX552264.42 protein=contig_4102_15 clade=MM05
ERX555947.21|contig_14468_17|MM05	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	245	ERX555947.21|contig_14468_17|MM05 source=viral family=Rhodopsin mag=ERX555947.21 protein=contig_14468_17 clade=MM05
SRX802073.99|contig_28561_5|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	245	SRX802073.99|contig_28561_5|MM01 source=viral family=Rhodopsin mag=SRX802073.99 protein=contig_28561_5 clade=MM01
SRX331703.16|contig_625_11|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	240	SRX331703.16|contig_625_11|MM01 source=viral family=Rhodopsin mag=SRX331703.16 protein=contig_625_11 clade=MM01
SRX802073.61|contig_162_6|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	240	SRX802073.61|contig_162_6|MM01 source=viral family=Rhodopsin mag=SRX802073.61 protein=contig_162_6 clade=MM01
SRX802077.119|contig_132_38|MM13	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	240	SRX802077.119|contig_132_38|MM13 source=viral family=Rhodopsin mag=SRX802077.119 protein=contig_132_38 clade=MM13
ERX552296.13|contig_9877_21|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	239	ERX552296.13|contig_9877_21|MM01 source=viral family=Rhodopsin mag=ERX552296.13 protein=contig_9877_21 clade=MM01
ERX552302.42|contig_7778_10|MM01	6.9651860211695	9	0	0	4	4	5	5	1.0	1.0	239	ERX552302.42|contig_7778_10|MM01 source=viral family=Rhodopsin mag=ERX552302.42 protein=contig_7778_10 clade=MM01
