seq_id	score	matched_sites	mismatched_sites	gap_or_x_sites	high_confidence_matches	high_confidence_total	moderate_confidence_matches	moderate_confidence_total	high_confidence_match_fraction	moderate_confidence_match_fraction	raw_length	description
ERX552252.36|contig_6817_15|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX552252.36|contig_6817_15|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX552252.36 protein=contig_6817_15 clade=MM09
ERX552253.3|contig_12878_15|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX552253.3|contig_12878_15|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX552253.3 protein=contig_12878_15 clade=MM09
ERX552277.41|contig_23564_4|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX552277.41|contig_23564_4|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX552277.41 protein=contig_23564_4 clade=MM09
ERX552302.45|contig_34_4|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX552302.45|contig_34_4|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX552302.45 protein=contig_34_4 clade=MM09
ERX555907.45|contig_1613_14|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX555907.45|contig_1613_14|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX555907.45 protein=contig_1613_14 clade=MM09
ERX555913.32|contig_39242_19|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX555913.32|contig_39242_19|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX555913.32 protein=contig_39242_19 clade=MM09
ERX555961.43|contig_5042_4|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	377	ERX555961.43|contig_5042_4|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX555961.43 protein=contig_5042_4 clade=MM09
ERX555917.28|contig_40585_13|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	353	ERX555917.28|contig_40585_13|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX555917.28 protein=contig_40585_13 clade=MM09
ERX556005.35|contig_32831_14|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	353	ERX556005.35|contig_32831_14|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX556005.35 protein=contig_32831_14 clade=MM09
ERX556060.39|contig_47646_17|MM09	26.32355695329775	36	0	0	16	16	20	20	1.0	1.0	353	ERX556060.39|contig_47646_17|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX556060.39 protein=contig_47646_17 clade=MM09
ERX552255.59|contig_119760_19|MM09	25.672551245850453	35	1	0	16	16	19	20	1.0	0.95	354	ERX552255.59|contig_119760_19|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX552255.59 protein=contig_119760_19 clade=MM09
ERX555907.72|contig_11659_9|MM09	25.672551245850453	35	1	0	16	16	19	20	1.0	0.95	354	ERX555907.72|contig_11659_9|MM09 source=viral family=Glycolysis_Glyc_3_P_dehydrogenase mag=ERX555907.72 protein=contig_11659_9 clade=MM09
