align_id	align_description	matched_label	group
353154.XP_954921.1	353154.XP_954921.1	353154.XP_954921.1	cellular
1036673.KNP414_06612	1036673.KNP414_06612	1036673.KNP414_06612	cellular
39946.BGIOSGA007475-PA	39946.BGIOSGA007475-PA	39946.BGIOSGA007475-PA	cellular
580327.Tthe_0547	580327.Tthe_0547	580327.Tthe_0547	cellular
555088.DealDRAFT_3147	555088.DealDRAFT_3147	555088.DealDRAFT_3147	cellular
547559.Nmag_2921	547559.Nmag_2921	547559.Nmag_2921	cellular
543526.Htur_0529	543526.Htur_0529	543526.Htur_0529	cellular
521460.Athe_1213	521460.Athe_1213	521460.Athe_1213	cellular
519442.Huta_1580	519442.Huta_1580	519442.Huta_1580	cellular
517418.Ctha_0213	517418.Ctha_0213	517418.Ctha_0213	cellular
517417.Cpar_0585	517417.Cpar_0585	517417.Cpar_0585	cellular
515635.Dtur_0753	515635.Dtur_0753	515635.Dtur_0753	cellular
509191.AcelC_020100008274	509191.AcelC_020100008274	509191.AcelC_020100008274	cellular
485913.Krac_2463	485913.Krac_2463	485913.Krac_2463	cellular
485914.Hmuk_2079	485914.Hmuk_2079	485914.Hmuk_2079	cellular
453591.Igni_0276	453591.Igni_0276	453591.Igni_0276	cellular
457427.SSOG_08983	457427.SSOG_08983	457427.SSOG_08983	cellular
479433.Caci_2093	479433.Caci_2093	479433.Caci_2093	cellular
481743.GYMC10_0811	481743.GYMC10_0811	481743.GYMC10_0811	cellular
423536.XP_002788434.1	423536.XP_002788434.1	423536.XP_002788434.1	cellular
426418.XP_001938444.1	426418.XP_001938444.1	426418.XP_001938444.1	cellular
441375.XP_002139594.1	441375.XP_002139594.1	441375.XP_002139594.1	cellular
448385.sce3038	448385.sce3038	448385.sce3038	cellular
469382.Hbor_10040	469382.Hbor_10040	469382.Hbor_10040	cellular
5022.CBX95754	5022.CBX95754	5022.CBX95754	cellular
51453.JGI121019	51453.JGI121019	51453.JGI121019	cellular
5141.EFNCRP00000006426	5141.EFNCRP00000006426	5141.EFNCRP00000006426	cellular
513049.AmaxDRAFT_5326	513049.AmaxDRAFT_5326	513049.AmaxDRAFT_5326	cellular
485914.Hmuk_1496	485914.Hmuk_1496	485914.Hmuk_1496	cellular
526226.Gbro_3480	526226.Gbro_3480	526226.Gbro_3480	cellular
526221.XP_003005060.1	526221.XP_003005060.1	526221.XP_003005060.1	cellular
519442.Huta_2832	519442.Huta_2832	519442.Huta_2832	cellular
515849.XP_001908590.1	515849.XP_001908590.1	515849.XP_001908590.1	cellular
4533.OB02G12580.1	4533.OB02G12580.1	4533.OB02G12580.1	cellular
4538.ORGLA02G0026400.1	4538.ORGLA02G0026400.1	4538.ORGLA02G0026400.1	cellular
533240.CRC_02415	533240.CRC_02415	533240.CRC_02415	cellular
533240.CRC_00395	533240.CRC_00395	533240.CRC_00395	cellular
4577.GRMZM2G139689_P01	4577.GRMZM2G139689_P01	4577.GRMZM2G139689_P01	cellular
4641.GSMUA_Achr10P20370_001	4641.GSMUA_Achr10P20370_001	4641.GSMUA_Achr10P20370_001	cellular
4555.Si016595m	4555.Si016595m	4555.Si016595m	cellular
