align_id	align_description	matched_label	group
I0YK02	I0YK02	I0YK02	cellular
F0XYU3	F0XYU3	F0XYU3	cellular
A0A087SNX4	A0A087SNX4	A0A087SNX4	cellular
A4S8L5	A4S8L5	A4S8L5	cellular
A3PAC3	A3PAC3	A3PAC3	cellular
A5GNP5	A5GNP5	A5GNP5	cellular
F0YBM3	F0YBM3	F0YBM3	cellular
A0A0M0K370	A0A0M0K370	A0A0M0K370	cellular
A8J0S5	A8J0S5	A8J0S5	cellular
A0A250WUB2	A0A250WUB2	A0A250WUB2	cellular
F0YKF3	F0YKF3	F0YKF3	cellular
SRX803008.24.fa.dc..contig_14000_43...MM01	SRX803008.24.fa.dc..contig_14000_43...MM01	SRX803008.24.fa.dc..contig_14000_43...MM01	viral
SRX803008.7.fa.dc..contig_2788_50...LP01	SRX803008.7.fa.dc..contig_2788_50...LP01	SRX803008.7.fa.dc..contig_2788_50...LP01	viral
SRX802143.81.fa.dc..contig_62048_7...MM01	SRX802143.81.fa.dc..contig_62048_7...MM01	SRX802143.81.fa.dc..contig_62048_7...MM01	viral
SRX802189.37.fa.dc..contig_39320_52...MM01	SRX802189.37.fa.dc..contig_39320_52...MM01	SRX802189.37.fa.dc..contig_39320_52...MM01	viral
SRX802189.59.fa.dc..contig_23_7...LP01	SRX802189.59.fa.dc..contig_23_7...LP01	SRX802189.59.fa.dc..contig_23_7...LP01	viral
SRX802963.107.fa.dc..contig_46802_3...MM01	SRX802963.107.fa.dc..contig_46802_3...MM01	SRX802963.107.fa.dc..contig_46802_3...MM01	viral
SRX802143.113.fa.dc..contig_17053_27...MM01	SRX802143.113.fa.dc..contig_17053_27...MM01	SRX802143.113.fa.dc..contig_17053_27...MM01	viral
SRX802143.131.fa.dc..contig_26630_152...LP04	SRX802143.131.fa.dc..contig_26630_152...LP04	SRX802143.131.fa.dc..contig_26630_152...LP04	viral
SRX802143.45.fa.dc..contig_18451_5...LP01	SRX802143.45.fa.dc..contig_18451_5...LP01	SRX802143.45.fa.dc..contig_18451_5...LP01	viral
SRX802143.75.fa.dc..contig_9259_36...LP01	SRX802143.75.fa.dc..contig_9259_36...LP01	SRX802143.75.fa.dc..contig_9259_36...LP01	viral
C1E8A2	C1E8A2	C1E8A2	cellular
A0A1J0AGP3	A0A1J0AGP3	A0A1J0AGP3	cellular
