clean_id	mag_id_short	protein_token	clade	raw_label	fasta_file	length_aa
ERX552255.59|contig_119760_25|MM09	ERX552255.59	contig_119760_25	MM09	ERX552255.59.fa.dc..contig_119760_25...MM09	ERX552255.59.fa.dc.faa	85
ERX552270.61|contig_19699_12|MM12	ERX552270.61	contig_19699_12	MM12	ERX552270.61.fa.dc..contig_19699_12...MM12	ERX552270.61.fa.dc.faa	91
ERX552270.62|contig_9540_29|MM01	ERX552270.62	contig_9540_29	MM01	ERX552270.62.fa.dc..contig_9540_29...MM01	ERX552270.62.fa.dc.faa	128
ERX552282.42|contig_26916_30|MM05	ERX552282.42	contig_26916_30	MM05	ERX552282.42.fa.dc..contig_26916_30...MM05	ERX552282.42.fa.dc.faa	256
ERX552296.13|contig_10984_1|MM01	ERX552296.13	contig_10984_1	MM01	ERX552296.13.fa.dc..contig_10984_1...MM01	ERX552296.13.fa.dc.faa	220
ERX552302.25|contig_16075_13|MM01	ERX552302.25	contig_16075_13	MM01	ERX552302.25.fa.dc..contig_16075_13...MM01	ERX552302.25.fa.dc.faa	150
ERX555907.107|contig_17918_10|LP01	ERX555907.107	contig_17918_10	LP01	ERX555907.107.fa.dc..contig_17918_10...LP01	ERX555907.107.fa.dc.faa	49
ERX555907.72|contig_11659_15|MM09	ERX555907.72	contig_11659_15	MM09	ERX555907.72.fa.dc..contig_11659_15...MM09	ERX555907.72.fa.dc.faa	172
ERX555913.32|contig_17477_1|MM09	ERX555913.32	contig_17477_1	MM09	ERX555913.32.fa.dc..contig_17477_1...MM09	ERX555913.32.fa.dc.faa	191
ERX555958.18|contig_160_43|LP01	ERX555958.18	contig_160_43	LP01	ERX555958.18.fa.dc..contig_160_43...LP01	ERX555958.18.fa.dc.faa	115
ERX555959.40|contig_1852_30|MM05	ERX555959.40	contig_1852_30	MM05	ERX555959.40.fa.dc..contig_1852_30...MM05	ERX555959.40.fa.dc.faa	241
ERX555961.3|contig_7957_36|LP01	ERX555961.3	contig_7957_36	LP01	ERX555961.3.fa.dc..contig_7957_36...LP01	ERX555961.3.fa.dc.faa	211
ERX555987.30|contig_8198_1|LP01	ERX555987.30	contig_8198_1	LP01	ERX555987.30.fa.dc..contig_8198_1...LP01	ERX555987.30.fa.dc.faa	263
ERX555987.30|contig_23574_33|LP01	ERX555987.30	contig_23574_33	LP01	ERX555987.30.fa.dc..contig_23574_33...LP01	ERX555987.30.fa.dc.faa	221
ERX556005.59|contig_5798_1|LP04	ERX556005.59	contig_5798_1	LP04	ERX556005.59.fa.dc..contig_5798_1...LP04	ERX556005.59.fa.dc.faa	195
ERX556060.39|contig_8894_1|MM09	ERX556060.39	contig_8894_1	MM09	ERX556060.39.fa.dc..contig_8894_1...MM09	ERX556060.39.fa.dc.faa	124
SRX803008.112|contig_49029_14|MM07	SRX803008.112	contig_49029_14	MM07	SRX803008.112.fa.dc..contig_49029_14...MM07	SRX803008.112.fa.dc.faa	43
