align_id	align_description	matched_label	group
557599.MkanA1_010100006320	557599.MkanA1_010100006320	557599.MkanA1_010100006320	cellular
557599.MkanA1_010100000785	557599.MkanA1_010100000785	557599.MkanA1_010100000785	cellular
561007.MAB_4184c	561007.MAB_4184c	561007.MAB_4184c	cellular
557723.HAPS_0756	557723.HAPS_0756	557723.HAPS_0756	cellular
582899.Hden_1373	582899.Hden_1373	582899.Hden_1373	cellular
573826.XP_002419886.1	573826.XP_002419886.1	573826.XP_002419886.1	cellular
6238.CBG10072	6238.CBG10072	6238.CBG10072	cellular
591023.AM202_03305	591023.AM202_03305	591023.AM202_03305	cellular
634176.NT05HA_0049	634176.NT05HA_0049	634176.NT05HA_0049	cellular
6239.F55H2.1b	6239.F55H2.1b	6239.F55H2.1b	cellular
ERX552336.20.fa.dc..contig_3869_12...LP01	ERX552336.20.fa.dc..contig_3869_12...LP01	ERX552336.20.fa.dc..contig_3869_12...LP01	viral
ERX552270.122.fa.dc..contig_7529_23...IR01	ERX552270.122.fa.dc..contig_7529_23...IR01	ERX552270.122.fa.dc..contig_7529_23...IR01	viral
243230.DR_1546	243230.DR_1546	243230.DR_1546	cellular
246196.MSMEG_0835	246196.MSMEG_0835	246196.MSMEG_0835	cellular
224914.BAWG_1991	224914.BAWG_1991	224914.BAWG_1991	cellular
228399.Aple02000411	228399.Aple02000411	228399.Aple02000411	cellular
228399.appser1_190	228399.appser1_190	228399.appser1_190	cellular
233412.HD0848	233412.HD0848	233412.HD0848	cellular
188937.MA2422	188937.MA2422	188937.MA2422	cellular
216594.MMAR_0747	216594.MMAR_0747	216594.MMAR_0747	cellular
216596.RL1521	216596.RL1521	216596.RL1521	cellular
221988.MS1704	221988.MS1704	221988.MS1704	cellular
7222.FBpp0156215	7222.FBpp0156215	7222.FBpp0156215	cellular
7217.FBpp0119973	7217.FBpp0119973	7217.FBpp0119973	cellular
710685.MycrhN_1237	710685.MycrhN_1237	710685.MycrhN_1237	cellular
709986.Deima_2469	709986.Deima_2469	709986.Deima_2469	cellular
70448.Q015M4	70448.Q015M4	70448.Q015M4	cellular
702113.PP1Y_AT14221	702113.PP1Y_AT14221	702113.PP1Y_AT14221	cellular
7176.CPIJ008621-PA	7176.CPIJ008621-PA	7176.CPIJ008621-PA	cellular
7165.AGAP007497-PA	7165.AGAP007497-PA	7165.AGAP007497-PA	cellular
7159.AAEL014091-PA	7159.AAEL014091-PA	7159.AAEL014091-PA	cellular
710685.MycrhN_1462	710685.MycrhN_1462	710685.MycrhN_1462	cellular
31234.CRE25302	31234.CRE25302	31234.CRE25302	cellular
ERX555915.1.fa.dc..contig_23782_19...MM08	ERX555915.1.fa.dc..contig_23782_19...MM08	ERX555915.1.fa.dc..contig_23782_19...MM08	viral
31033.ENSTRUP00000020467	31033.ENSTRUP00000020467	31033.ENSTRUP00000020467	cellular
311403.Arad_1604	311403.Arad_1604	311403.Arad_1604	cellular
292415.Tbd_0659	292415.Tbd_0659	292415.Tbd_0659	cellular
31033.ENSTRUP00000013501	31033.ENSTRUP00000013501	31033.ENSTRUP00000013501	cellular
284590.XP_454197.1	284590.XP_454197.1	284590.XP_454197.1	cellular
284593.XP_445379.1	284593.XP_445379.1	284593.XP_445379.1	cellular
ERX552297.51.fa.dc..contig_13110_1...MM01	ERX552297.51.fa.dc..contig_13110_1...MM01	ERX552297.51.fa.dc..contig_13110_1...MM01	viral
ERX552296.31.fa.dc..contig_27115_15...MM01	ERX552296.31.fa.dc..contig_27115_15...MM01	ERX552296.31.fa.dc..contig_27115_15...MM01	viral
ERX552309.9.fa.dc..contig_224_5...LP01	ERX552309.9.fa.dc..contig_224_5...LP01	ERX552309.9.fa.dc..contig_224_5...LP01	viral
ERX552297.80.fa.dc..contig_76136_9...MM01	ERX552297.80.fa.dc..contig_76136_9...MM01	ERX552297.80.fa.dc..contig_76136_9...MM01	viral
ERX552333.20.fa.dc..contig_1920_93...LP01	ERX552333.20.fa.dc..contig_1920_93...LP01	ERX552333.20.fa.dc..contig_1920_93...LP01	viral
ERX552326.9.fa.dc..contig_3254_4...LP01	ERX552326.9.fa.dc..contig_3254_4...LP01	ERX552326.9.fa.dc..contig_3254_4...LP01	viral
ERX552348.26.fa.dc..contig_554_24...LP01	ERX552348.26.fa.dc..contig_554_24...LP01	ERX552348.26.fa.dc..contig_554_24...LP01	viral
322710.Avin_30470	322710.Avin_30470	322710.Avin_30470	cellular
SRX802077.164.fa.dc..contig_87678_15...IR01	SRX802077.164.fa.dc..contig_87678_15...IR01	SRX802077.164.fa.dc..contig_87678_15...IR01	viral
SRX802143.48.fa.dc..contig_41027_13...MM01	SRX802143.48.fa.dc..contig_41027_13...MM01	SRX802143.48.fa.dc..contig_41027_13...MM01	viral
SRX802189.102.fa.dc..contig_5559_30...MM01	SRX802189.102.fa.dc..contig_5559_30...MM01	SRX802189.102.fa.dc..contig_5559_30...MM01	viral
SRX802202.135.fa.dc..contig_5286_20...LP04	SRX802202.135.fa.dc..contig_5286_20...LP04	SRX802202.135.fa.dc..contig_5286_20...LP04	viral
SRX514547.41.fa.dc..contig_1356_13...LP01	SRX514547.41.fa.dc..contig_1356_13...LP01	SRX514547.41.fa.dc..contig_1356_13...LP01	viral
SRX802073.110.fa.dc..contig_52855_9...MM01	SRX802073.110.fa.dc..contig_52855_9...MM01	SRX802073.110.fa.dc..contig_52855_9...MM01	viral
SRX802073.62.fa.dc..contig_48876_16...MM07	SRX802073.62.fa.dc..contig_48876_16...MM07	SRX802073.62.fa.dc..contig_48876_16...MM07	viral
