gene_family	domain_group	raw_label	seq_core	mag_id_short	clade	has_explicit_viral_suffix
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552252.36.fa.dc..contig_6817_15...MM09	ERX552252.36.fa.dc..contig_6817_15	ERX552252.36	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552253.3.fa.dc..contig_12878_15...MM09	ERX552253.3.fa.dc..contig_12878_15	ERX552253.3	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552255.59.fa.dc..contig_119760_19...MM09	ERX552255.59.fa.dc..contig_119760_19	ERX552255.59	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552257.96.fa.dc..contig_14060_4...MM11	ERX552257.96.fa.dc..contig_14060_4	ERX552257.96	MM11	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552277.41.fa.dc..contig_23564_4...MM09	ERX552277.41.fa.dc..contig_23564_4	ERX552277.41	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552298.2.fa.dc..contig_230615_4...MM09	ERX552298.2.fa.dc..contig_230615_4	ERX552298.2	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX552302.45.fa.dc..contig_34_4...MM09	ERX552302.45.fa.dc..contig_34_4	ERX552302.45	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555907.45.fa.dc..contig_1613_14...MM09	ERX555907.45.fa.dc..contig_1613_14	ERX555907.45	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555907.72.fa.dc..contig_11659_9...MM09	ERX555907.72.fa.dc..contig_11659_9	ERX555907.72	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555907.87.fa.dc..contig_5701_26...MM09	ERX555907.87.fa.dc..contig_5701_26	ERX555907.87	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555913.32.fa.dc..contig_39242_19...MM09	ERX555913.32.fa.dc..contig_39242_19	ERX555913.32	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555917.28.fa.dc..contig_40585_13...MM09	ERX555917.28.fa.dc..contig_40585_13	ERX555917.28	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555941.31.fa.dc..contig_48368_9...MM09	ERX555941.31.fa.dc..contig_48368_9	ERX555941.31	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555945.3.fa.dc..contig_5025_37...MM09	ERX555945.3.fa.dc..contig_5025_37	ERX555945.3	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555951.15.fa.dc..contig_1905_36...MM09	ERX555951.15.fa.dc..contig_1905_36	ERX555951.15	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555951.28.fa.dc..contig_1884_12...MM09	ERX555951.28.fa.dc..contig_1884_12	ERX555951.28	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555961.43.fa.dc..contig_5042_4...MM09	ERX555961.43.fa.dc..contig_5042_4	ERX555961.43	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555961.47.fa.dc..contig_3220_24...MM09	ERX555961.47.fa.dc..contig_3220_24	ERX555961.47	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555965.10.fa.dc..contig_7490_11...MM01	ERX555965.10.fa.dc..contig_7490_11	ERX555965.10	MM01	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555965.60.fa.dc..contig_20713_3...MM01	ERX555965.60.fa.dc..contig_20713_3	ERX555965.60	MM01	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX555990.11.fa.dc..contig_14252_11...MM09	ERX555990.11.fa.dc..contig_14252_11	ERX555990.11	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556005.35.fa.dc..contig_32831_14...MM09	ERX556005.35.fa.dc..contig_32831_14	ERX556005.35	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556005.37.fa.dc..contig_9478_40...MM09	ERX556005.37.fa.dc..contig_9478_40	ERX556005.37	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556015.14.fa.dc..contig_79042_12...MM09	ERX556015.14.fa.dc..contig_79042_12	ERX556015.14	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556028.57.fa.dc..contig_1014_16...MM01	ERX556028.57.fa.dc..contig_1014_16	ERX556028.57	MM01	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556034.16.fa.dc..contig_14072_13...MM09	ERX556034.16.fa.dc..contig_14072_13	ERX556034.16	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556045.12.fa.dc..contig_60835_9...MM01	ERX556045.12.fa.dc..contig_60835_9	ERX556045.12	MM01	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556054.16.fa.dc..contig_6626_50...MM09	ERX556054.16.fa.dc..contig_6626_50	ERX556054.16	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556060.39.fa.dc..contig_47646_17...MM09	ERX556060.39.fa.dc..contig_47646_17	ERX556060.39	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556094.51.fa.dc..contig_78260_12...MM16	ERX556094.51.fa.dc..contig_78260_12	ERX556094.51	MM16	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556103.23.fa.dc..contig_10695_23...MM09	ERX556103.23.fa.dc..contig_10695_23	ERX556103.23	MM09	True
Glycolysis_Glyc_3_P_dehydrogenase	This_study	ERX556134.17.fa.dc..contig_8517_11...MM09	ERX556134.17.fa.dc..contig_8517_11	ERX556134.17	MM09	True
